Symbol,Name,Sector,Industry,Currency,Volume,TimeZone,Market
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USD,1044301.0,EDT,us_market
AA,Alcoa Corporation,Basic Materials,Aluminum,USD,4828309.0,EDT,us_market
AAC,Ares Acquisition Corporation,Financial Services,Shell Companies,USD,95765.0,EDT,us_market
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,USD,29661.0,EDT,us_market
AACQ,Artius Acquisition Inc.,,,USD,836064.0,EDT,us_market
AACQU,Artius Acquisition Inc.,,,USD,5682.0,EDT,us_market
AACQW,Artius Acquisition Inc.,,,USD,108862.0,EDT,us_market
AAIC,Arlington Asset Investment Corp,Real Estate,REIT—Mortgage,USD,414108.0,EDT,us_market
AAL,"American Airlines Group, Inc.",Industrials,Airlines,USD,31810595.0,EDT,us_market
AAMC,Altisource Asset Management Cor,Financial Services,Asset Management,USD,2378.0,EDT,us_market
AAME,Atlantic American Corporation,Financial Services,Insurance—Life,USD,51885.0,EDT,us_market
AAN,"Aarons Holdings Company, Inc.",Consumer Cyclical,Specialty Retail,USD,238356.0,EDT,us_market
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USD,989640.0,EDT,us_market
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USD,113147.0,EDT,us_market
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,Specialty Retail,USD,392549.0,EDT,us_market
AAPL,Apple Inc.,Technology,Consumer Electronics,USD,74667644.0,EDT,us_market
AAT,"American Assets Trust, Inc.",Real Estate,REIT—Diversified,USD,157677.0,EDT,us_market
AAU,"Almaden Minerals, Ltd.",Basic Materials,Gold,USD,1065546.0,EDT,us_market
AAWW,Atlas Air Worldwide Holdings,Industrials,Airports & Air Services,USD,589448.0,EDT,us_market
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,USD,736941.0,EDT,us_market
ABB,ABB Ltd,Industrials,Electrical Equipment & Parts,USD,1215274.0,EDT,us_market
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,USD,6808151.0,EDT,us_market
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USD,1257060.0,EDT,us_market
ABCB,Ameris Bancorp,Financial Services,Banks—Regional,USD,314992.0,EDT,us_market
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,USD,484657.0,EDT,us_market
ABCM,Abcam plc,Healthcare,Biotechnology,USD,222394.0,EDT,us_market
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USD,772663.0,EDT,us_market
ABEV,Ambev S.A.,Consumer Defensive,Beverages—Brewers,USD,19108082.0,EDT,us_market
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USD,69942.0,EDT,us_market
ABGI,ABG Acquisition Corp. I,Financial Services,Shell Companies,USD,425.0,EDT,us_market
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USD,229175.0,EDT,us_market
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USD,241930.0,EDT,us_market
ABMD,"ABIOMED, Inc.",Healthcare,Medical Devices,USD,183271.0,EDT,us_market
ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USD,7133990.0,EDT,us_market
ABR,Arbor Realty Trust,Real Estate,REIT—Mortgage,USD,2204788.0,EDT,us_market
ABST,Absolute Software Corporation,Technology,Software—Application,USD,173947.0,EDT,us_market
ABT,Abbott Laboratories,Healthcare,Medical Devices,USD,4077773.0,EDT,us_market
ABTX,"Allegiance Bancshares, Inc.",Financial Services,Banks—Regional,USD,22315.0,EDT,us_market
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USD,1504761.0,EDT,us_market
AC,"Associated Capital Group, Inc.",Financial Services,Capital Markets,USD,18987.0,EDT,us_market
ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USD,121775.0,EDT,us_market
ACAC,Acies Acquisition Corp.,Financial Services,Shell Companies,USD,52547.0,EDT,us_market
ACACU,Acies Acquisition Corp.,Financial Services,Shell Companies,USD,620.0,EDT,us_market
ACACW,Acies Acquisition Corp.,,,USD,2802.0,EDT,us_market
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USD,2700997.0,EDT,us_market
ACAH,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,USD,7304.0,EDT,us_market
ACAHU,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,USD,16173.0,EDT,us_market
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,,,,10143.0,EDT,us_market
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,USD,10389273.0,EDT,us_market
ACBAU,Ace Global Business Acquisition,Financial Services,Shell Companies,USD,2500.0,EDT,us_market
ACBI,"Atlantic Capital Bancshares, In",Financial Services,Banks—Regional,USD,42481.0,EDT,us_market
ACC,American Campus Communities Inc,Real Estate,REIT—Residential,USD,617141.0,EDT,us_market
ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USD,1249704.0,EDT,us_market
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USD,377280.0,EDT,us_market
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USD,280951.0,EDT,us_market
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USD,137068.0,EDT,us_market
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USD,65578.0,EDT,us_market
ACEV,ACE Convergence Acquisition Cor,Financial Services,Shell Companies,USD,189522.0,EDT,us_market
ACEVU,ACE Convergence Acquisition Cor,Financial Services,Shell Companies,USD,1606.0,EDT,us_market
ACEVW,ACE Convergence Acquisition Cor,,,USD,41271.0,EDT,us_market
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance—Diversified,USD,2039506.0,EDT,us_market
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,Insurance—Diversified,USD,12205.0,EDT,us_market
ACGLP,Arch Capital Group Ltd. - Depos,Financial Services,Insurance—Diversified,USD,21333.0,EDT,us_market
ACH,Aluminum Corporation of China L,Basic Materials,Aluminum,USD,133266.0,EDT,us_market
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USD,275790.0,EDT,us_market
ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,USD,16126.0,EDT,us_market
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,USD,48938.0,EDT,us_market
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USD,877261.0,EDT,us_market
ACIC,Atlas Crest Investment Corp.,Financial Services,Shell Companies,USD,951685.0,EDT,us_market
ACII,Atlas Crest Investment Corp. II,Financial Services,Shell Companies,USD,26747.0,EDT,us_market
ACIU,AC Immune SA,Healthcare,Biotechnology,USD,93447.0,EDT,us_market
ACIW,"ACI Worldwide, Inc.",Technology,Software—Infrastructure,USD,480168.0,EDT,us_market
ACKIT,Ackrell SPAC Partners I Co.  - ,Financial Services,Shell Companies,USD,2516.0,EDT,us_market
ACKIU,Ackrell SPAC Partners I Co.,Financial Services,Shell Companies,USD,179.0,EDT,us_market
ACKIW,Ackrell SPAC Partners I Co.,,,USD,21230.0,EDT,us_market
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USD,141056.0,EDT,us_market
