,ENTA
2013-03-21,17.18000030517578
2013-03-22,16.809999465942383
2013-03-25,16.829999923706055
2013-03-26,17.09000015258789
2013-03-27,17.09000015258789
2013-03-28,18.200000762939453
2013-04-01,19.93000030517578
2013-04-02,20.15999984741211
2013-04-03,19.93000030517578
2013-04-04,19.84000015258789
2013-04-05,20.34000015258789
2013-04-08,20.799999237060547
2013-04-09,20.649999618530273
2013-04-10,21.690000534057617
2013-04-11,21.1200008392334
2013-04-12,19.68000030517578
2013-04-15,20.350000381469727
2013-04-16,20.0
2013-04-17,19.899999618530273
2013-04-18,20.639999389648438
2013-04-19,20.1299991607666
2013-04-22,20.43000030517578
2013-04-23,20.989999771118164
2013-04-24,21.010000228881836
2013-04-25,18.520000457763672
2013-04-26,20.6200008392334
2013-04-29,20.43000030517578
2013-04-30,19.959999084472656
2013-05-01,19.729999542236328
2013-05-02,19.56999969482422
2013-05-03,19.3700008392334
2013-05-06,19.899999618530273
2013-05-07,19.920000076293945
2013-05-08,20.06999969482422
2013-05-09,20.049999237060547
2013-05-10,19.899999618530273
2013-05-13,19.790000915527344
2013-05-14,19.760000228881836
2013-05-15,20.399999618530273
2013-05-16,20.850000381469727
2013-05-17,20.8799991607666
2013-05-20,20.700000762939453
2013-05-21,20.399999618530273
2013-05-22,20.059999465942383
2013-05-23,19.860000610351562
2013-05-24,20.0
2013-05-28,19.950000762939453
2013-05-29,19.780000686645508
2013-05-30,19.5
2013-05-31,19.479999542236328
2013-06-03,18.969999313354492
2013-06-04,18.56999969482422
2013-06-05,18.889999389648438
2013-06-06,18.75
2013-06-07,18.799999237060547
2013-06-10,18.81999969482422
2013-06-11,18.760000228881836
2013-06-12,18.15999984741211
2013-06-13,17.450000762939453
2013-06-14,16.8700008392334
2013-06-17,16.489999771118164
2013-06-18,17.719999313354492
2013-06-19,17.739999771118164
2013-06-20,17.469999313354492
2013-06-21,17.600000381469727
2013-06-24,17.889999389648438
2013-06-25,18.0
2013-06-26,18.200000762939453
2013-06-27,17.989999771118164
2013-06-28,17.709999084472656
2013-07-01,17.290000915527344
2013-07-02,17.520000457763672
2013-07-03,17.239999771118164
2013-07-05,17.3799991607666
2013-07-08,17.700000762939453
2013-07-09,18.100000381469727
2013-07-10,19.0
2013-07-11,18.290000915527344
2013-07-12,17.799999237060547
2013-07-15,17.959999084472656
2013-07-16,17.690000534057617
2013-07-17,18.700000762939453
2013-07-18,18.190000534057617
2013-07-19,17.649999618530273
2013-07-22,17.440000534057617
2013-07-23,17.200000762939453
2013-07-24,17.190000534057617
2013-07-25,17.440000534057617
2013-07-26,17.3700008392334
2013-07-29,16.979999542236328
2013-07-30,17.010000228881836
2013-07-31,18.34000015258789
2013-08-01,19.18000030517578
2013-08-02,18.93000030517578
2013-08-05,19.100000381469727
2013-08-06,18.920000076293945
2013-08-07,18.09000015258789
2013-08-08,17.690000534057617
2013-08-09,17.670000076293945
2013-08-12,18.8700008392334
2013-08-13,18.979999542236328
2013-08-14,18.709999084472656
2013-08-15,19.020000457763672
2013-08-16,18.579999923706055
2013-08-19,18.719999313354492
2013-08-20,18.799999237060547
2013-08-21,19.049999237060547
2013-08-22,18.979999542236328
2013-08-23,18.5
2013-08-26,18.670000076293945
2013-08-27,18.440000534057617
2013-08-28,18.670000076293945
2013-08-29,18.600000381469727
2013-08-30,18.579999923706055
2013-09-03,18.739999771118164
2013-09-04,18.8700008392334
2013-09-05,18.979999542236328
2013-09-06,18.610000610351562
2013-09-09,18.770000457763672
2013-09-10,19.290000915527344
2013-09-11,19.6200008392334
2013-09-12,19.610000610351562
2013-09-13,19.09000015258789
2013-09-16,19.1299991607666
2013-09-17,21.389999389648438
2013-09-18,22.420000076293945
2013-09-19,24.75
2013-09-20,25.0
2013-09-23,23.59000015258789
2013-09-24,22.950000762939453
2013-09-25,22.75
2013-09-26,23.290000915527344
2013-09-27,23.010000228881836
2013-09-30,22.920000076293945
2013-10-01,23.709999084472656
2013-10-02,23.270000457763672
2013-10-03,22.739999771118164
2013-10-04,21.84000015258789
2013-10-07,21.65999984741211
2013-10-08,20.899999618530273
2013-10-09,20.559999465942383
2013-10-10,20.920000076293945
2013-10-11,20.6200008392334
2013-10-14,19.5
2013-10-15,19.610000610351562
2013-10-16,20.809999465942383
2013-10-17,20.65999984741211
2013-10-18,20.299999237060547
2013-10-21,19.989999771118164
2013-10-22,20.329999923706055
2013-10-23,20.940000534057617
