,CGC
2014-04-07,3.299999952316284
2014-04-08,3.628999948501587
2014-04-09,3.2990000247955322
2014-04-10,3.2850000858306885
2014-04-11,3.0850000381469727
2014-04-14,2.6679999828338623
2014-04-15,2.3440001010894775
2014-04-16,2.880000114440918
2014-04-17,3.0899999141693115
2014-04-21,3.3550000190734863
2014-04-22,3.1080000400543213
2014-04-23,3.0969998836517334
2014-04-24,3.069999933242798
2014-04-25,3.0390000343322754
2014-04-28,3.0260000228881836
2014-04-29,3.0299999713897705
2014-04-30,2.940000057220459
2014-05-01,2.7880001068115234
2014-05-02,2.8580000400543213
2014-05-05,2.9600000381469727
2014-05-06,2.990000009536743
2014-05-07,2.9070000648498535
2014-05-08,2.8929998874664307
2014-05-09,2.7360000610351562
2014-05-12,2.6630001068115234
2014-05-13,2.436000108718872
2014-05-14,2.694999933242798
2014-05-15,2.5850000381469727
2014-05-16,2.496000051498413
2014-05-19,2.496000051498413
2014-05-20,2.4839999675750732
2014-05-21,2.424999952316284
2014-05-22,2.4070000648498535
2014-05-23,2.5859999656677246
2014-05-27,2.934000015258789
2014-05-28,2.8289999961853027
2014-05-29,2.7360000610351562
2014-05-30,2.7239999771118164
2014-06-02,2.686000108718872
2014-06-03,2.5999999046325684
2014-06-04,2.5799999237060547
2014-06-05,2.5329999923706055
2014-06-06,2.494999885559082
2014-06-09,2.5399999618530273
2014-06-10,2.6480000019073486
2014-06-11,2.6989998817443848
2014-06-12,2.615000009536743
2014-06-13,2.6500000953674316
2014-06-16,2.6530001163482666
2014-06-17,2.6659998893737793
2014-06-18,2.6419999599456787
2014-06-19,2.8420000076293945
2014-06-20,2.7869999408721924
2014-06-23,2.74399995803833
2014-06-24,2.7239999771118164
2014-06-25,2.7339999675750732
2014-06-26,2.743000030517578
2014-06-27,2.755000114440918
2014-06-30,2.7360000610351562
2014-07-01,2.7360000610351562
2014-07-02,2.74399995803833
2014-07-03,2.746000051498413
2014-07-07,2.746999979019165
2014-07-08,2.7179999351501465
2014-07-09,2.7149999141693115
2014-07-10,2.6080000400543213
2014-07-11,2.6670000553131104
2014-07-14,2.5920000076293945
2014-07-15,2.628000020980835
2014-07-16,2.5899999141693115
2014-07-17,2.5810000896453857
2014-07-18,2.619999885559082
2014-07-21,2.565999984741211
2014-07-22,2.5829999446868896
2014-07-23,2.5199999809265137
2014-07-24,2.509999990463257
2014-07-25,2.450000047683716
2014-07-28,2.4000000953674316
2014-07-29,2.3459999561309814
2014-07-30,2.071000099182129
2014-07-31,2.2360000610351562
2014-08-01,2.2950000762939453
2014-08-04,2.2950000762939453
