,CPHC
2008-09-08,9.0
2008-09-09,9.130000114440918
2008-09-10,8.960000038146973
2008-09-11,8.960000038146973
2008-09-12,8.899999618530273
2008-09-15,8.899999618530273
2008-09-16,8.989999771118164
2008-09-17,8.989999771118164
2008-09-18,8.699999809265137
2008-09-19,8.819999694824219
2008-09-22,8.800000190734863
2008-09-23,8.800000190734863
2008-09-24,8.600000381469727
2008-09-25,8.600000381469727
2008-09-26,8.5
2008-09-29,8.850000381469727
2008-09-30,8.729999542236328
2008-10-01,7.5
2008-10-02,7.590000152587891
2008-10-03,8.270000457763672
2008-10-06,7.5
2008-10-07,7.960000038146973
2008-10-08,7.5
2008-10-09,7.400000095367432
2008-10-10,7.0
2008-10-13,7.900000095367432
2008-10-14,7.25
2008-10-15,7.389999866485596
2008-10-16,7.0
2008-10-17,7.0
2008-10-20,7.0
2008-10-21,6.610000133514404
2008-10-22,7.0
2008-10-23,6.599999904632568
2008-10-24,6.599999904632568
2008-10-27,6.5
2008-10-28,6.75
2008-10-29,7.0
2008-10-30,7.0
2008-10-31,7.0
2008-11-03,7.190000057220459
2008-11-04,7.0
2008-11-05,7.150000095367432
2008-11-06,6.989999771118164
2008-11-07,7.0
2008-11-10,6.900000095367432
2008-11-11,6.5
2008-11-12,6.5
2008-11-13,7.0
2008-11-14,7.099999904632568
2008-11-17,7.099999904632568
2008-11-18,7.579999923706055
2008-11-19,7.0
2008-11-20,7.0
2008-11-21,6.900000095367432
2008-11-24,6.699999809265137
2008-11-25,6.699999809265137
2008-11-26,6.5
2008-11-28,6.059999942779541
2008-12-01,6.440000057220459
2008-12-02,6.949999809265137
2008-12-03,6.070000171661377
2008-12-04,6.25
2008-12-05,6.099999904632568
2008-12-08,6.010000228881836
2008-12-09,6.300000190734863
2008-12-10,6.300000190734863
2008-12-11,6.199999809265137
2008-12-12,6.150000095367432
2008-12-15,6.150000095367432
2008-12-16,6.190000057220459
2008-12-17,6.150000095367432
2008-12-18,6.139999866485596
2008-12-19,6.940000057220459
2008-12-22,6.050000190734863
2008-12-23,5.75
2008-12-24,5.75
2008-12-26,6.25
2008-12-29,6.099999904632568
2008-12-30,6.050000190734863
2008-12-31,5.909999847412109
2009-01-02,6.639999866485596
2009-01-05,6.679999828338623
2009-01-06,6.590000152587891
2009-01-07,6.699999809265137
2009-01-08,6.400000095367432
2009-01-09,6.400000095367432
2009-01-12,6.050000190734863
2009-01-13,6.050000190734863
2009-01-14,5.800000190734863
2009-01-15,5.949999809265137
2009-01-16,5.949999809265137
2009-01-20,5.949999809265137
2009-01-21,5.949999809265137
2009-01-22,5.949999809265137
2009-01-23,5.949999809265137
2009-01-26,6.139999866485596
2009-01-27,6.25
2009-01-28,6.659999847412109
2009-01-29,6.659999847412109
2009-01-30,6.659999847412109
2009-02-02,6.659999847412109
2009-02-03,6.0
2009-02-04,6.25
2009-02-05,6.25
2009-02-06,6.5
2009-02-09,6.349999904632568
2009-02-10,6.400000095367432
2009-02-11,6.400000095367432
2009-02-12,6.25
2009-02-13,6.460000038146973
2009-02-17,6.0
2009-02-18,6.0
2009-02-19,6.0
2009-02-20,5.900000095367432
2009-02-23,5.849999904632568
2009-02-24,6.230000019073486
2009-02-25,6.25
2009-02-26,5.949999809265137
2009-02-27,5.96999979019165
2009-03-02,5.800000190734863
2009-03-03,5.690000057220459
2009-03-04,5.690000057220459
2009-03-05,5.690000057220459
2009-03-06,5.989999771118164
