,FAAR
2016-05-23,29.8700008392334
2016-05-24,29.8700008392334
2016-05-25,29.8700008392334
2016-05-26,29.8700008392334
2016-05-27,29.899999618530273
2016-05-31,30.0
2016-06-01,29.75
2016-06-02,29.920000076293945
2016-06-03,29.860000610351562
2016-06-06,29.860000610351562
2016-06-07,29.860000610351562
2016-06-08,29.860000610351562
2016-06-09,29.860000610351562
2016-06-10,29.860000610351562
2016-06-13,29.860000610351562
2016-06-14,29.860000610351562
2016-06-15,29.860000610351562
2016-06-16,29.860000610351562
2016-06-17,29.850000381469727
2016-06-20,29.75
2016-06-21,29.551000595092773
2016-06-22,29.551000595092773
2016-06-23,29.600000381469727
2016-06-24,29.600000381469727
2016-06-27,29.56999969482422
2016-06-28,29.56999969482422
2016-06-29,29.56999969482422
2016-06-30,29.56999969482422
2016-07-01,29.56999969482422
2016-07-05,29.950000762939453
2016-07-06,29.950000762939453
2016-07-07,29.950000762939453
2016-07-08,29.950000762939453
2016-07-11,30.030000686645508
2016-07-12,30.030000686645508
2016-07-13,30.200000762939453
2016-07-14,30.200000762939453
2016-07-15,30.200000762939453
2016-07-18,30.200000762939453
2016-07-19,29.625
2016-07-20,29.625
2016-07-21,29.625
2016-07-22,29.625
2016-07-25,29.34000015258789
2016-07-26,29.489999771118164
2016-07-27,29.489999771118164
2016-07-28,29.489999771118164
2016-07-29,29.489999771118164
2016-08-01,29.62700080871582
2016-08-02,29.68000030517578
2016-08-03,29.780000686645508
2016-08-04,29.780000686645508
2016-08-05,29.780000686645508
2016-08-08,29.81999969482422
2016-08-09,29.780000686645508
2016-08-10,29.729999542236328
2016-08-11,29.729999542236328
2016-08-12,29.415000915527344
2016-08-15,29.415000915527344
2016-08-16,29.415000915527344
2016-08-17,29.415000915527344
2016-08-18,29.415000915527344
2016-08-19,29.09000015258789
2016-08-22,29.09000015258789
2016-08-23,29.298999786376953
2016-08-24,29.15999984741211
2016-08-25,29.1560001373291
2016-08-26,29.1560001373291
2016-08-29,29.1560001373291
2016-08-30,29.1560001373291
2016-08-31,29.200000762939453
2016-09-01,29.200000762939453
2016-09-02,29.200000762939453
2016-09-06,29.200000762939453
2016-09-07,29.1299991607666
2016-09-08,29.1299991607666
2016-09-09,29.1299991607666
2016-09-12,29.1299991607666
2016-09-13,29.1299991607666
2016-09-14,29.1299991607666
2016-09-15,29.1299991607666
2016-09-16,29.1299991607666
2016-09-19,29.1299991607666
2016-09-20,29.1299991607666
2016-09-21,29.1299991607666
2016-09-22,29.1299991607666
2016-09-23,29.1299991607666
2016-09-26,29.1299991607666
2016-09-27,29.1299991607666
2016-09-28,29.1299991607666
2016-09-29,29.260000228881836
2016-09-30,29.264999389648438
2016-10-03,29.249000549316406
2016-10-04,29.249000549316406
2016-10-05,29.249000549316406
2016-10-06,29.249000549316406
2016-10-07,29.290000915527344
2016-10-10,29.08099937438965
2016-10-11,29.08099937438965
2016-10-12,29.08099937438965
2016-10-13,29.08099937438965
2016-10-14,29.08099937438965
2016-10-17,29.08099937438965
2016-10-18,29.08099937438965
2016-10-19,29.08099937438965
2016-10-20,29.08099937438965
2016-10-21,29.08099937438965
2016-10-24,29.08099937438965
2016-10-25,29.08099937438965
2016-10-26,29.08099937438965
2016-10-27,29.08099937438965
2016-10-28,29.08099937438965
2016-10-31,29.08099937438965
2016-11-01,28.899999618530273
2016-11-02,28.827999114990234
2016-11-03,28.827999114990234
2016-11-04,28.84000015258789
2016-11-07,28.84000015258789
2016-11-08,28.788000106811523
2016-11-09,28.8700008392334
2016-11-10,28.889999389648438
2016-11-11,28.80699920654297
2016-11-14,28.784000396728516
2016-11-15,28.867000579833984
2016-11-16,28.777999877929688
2016-11-17,28.777999877929688
2016-11-18,28.719999313354492
2016-11-21,28.8700008392334
2016-11-22,28.979999542236328
2016-11-23,29.110000610351562
2016-11-25,29.219999313354492
2016-11-28,29.329999923706055
2016-11-29,29.15999984741211
2016-11-30,29.05500030517578
2016-12-01,29.05500030517578
2016-12-02,29.139999389648438
