,DDMX
2021-01-27,10.239999771118164
2021-01-28,10.0
2021-01-29,10.100000381469727
2021-02-01,10.199999809265137
2021-02-02,10.350000381469727
2021-02-03,10.699999809265137
2021-02-04,10.899999618530273
2021-02-05,10.520000457763672
2021-02-08,10.319999694824219
2021-02-09,10.28499984741211
2021-02-10,10.34000015258789
2021-02-11,10.359999656677246
2021-02-12,10.350000381469727
2021-02-16,10.350000381469727
2021-02-17,10.699999809265137
2021-02-18,10.399999618530273
2021-02-19,10.449999809265137
2021-02-22,10.390000343322754
2021-02-23,10.25
2021-02-24,10.359999656677246
2021-02-25,10.239999771118164
2021-02-26,10.220000267028809
2021-03-01,10.1899995803833
2021-03-02,10.050000190734863
2021-03-03,9.949999809265137
2021-03-04,9.75
2021-03-05,9.920000076293945
2021-03-08,9.920000076293945
2021-03-09,9.9399995803833
2021-03-10,9.850000381469727
2021-03-11,9.9399995803833
2021-03-12,9.890000343322754
2021-03-15,9.850000381469727
2021-03-16,9.800000190734863
2021-03-17,9.760000228881836
2021-03-18,9.779999732971191
2021-03-19,9.989999771118164
2021-03-22,9.770000457763672
2021-03-23,9.770000457763672
2021-03-24,9.75
2021-03-25,9.880000114440918
2021-03-26,9.880000114440918
2021-03-29,9.800000190734863
2021-03-30,9.850000381469727
2021-03-31,9.758000373840332
2021-04-01,9.8100004196167
2021-04-05,9.9399995803833
2021-04-06,9.890000343322754
2021-04-07,9.859999656677246
2021-04-08,9.979999542236328
2021-04-09,10.0
2021-04-12,10.180000305175781
2021-04-13,10.0
2021-04-14,9.944999694824219
2021-04-15,9.90999984741211
2021-04-16,9.899999618530273
2021-04-19,9.9399995803833
2021-04-20,9.899999618530273
2021-04-21,9.90999984741211
2021-04-22,9.800000190734863
2021-04-23,9.956999778747559
2021-04-26,9.75
2021-04-27,9.930000305175781
2021-04-28,9.925000190734863
2021-04-29,9.989999771118164
2021-04-30,9.8100004196167
2021-05-03,9.850000381469727
2021-05-04,9.930000305175781
2021-05-05,9.859999656677246
2021-05-06,9.989999771118164
2021-05-07,9.989999771118164
2021-05-10,9.920000076293945
2021-05-11,10.0
2021-05-12,9.890000343322754
2021-05-13,9.880000114440918
2021-05-14,9.972999572753906
