,COLM
1998-03-27,7.3125
1998-03-30,7.3125
1998-03-31,7.0416669845581055
1998-04-01,7.0
1998-04-02,7.125
1998-04-03,7.0
1998-04-06,7.0833330154418945
1998-04-07,7.0208330154418945
1998-04-08,7.3333330154418945
1998-04-09,7.5416669845581055
1998-04-13,7.6875
1998-04-14,7.6666669845581055
1998-04-15,8.0
1998-04-16,7.8333330154418945
1998-04-17,7.875
1998-04-20,8.25
1998-04-21,8.083333015441895
1998-04-22,7.5833330154418945
1998-04-23,7.4583330154418945
1998-04-24,7.4166669845581055
1998-04-27,7.0
1998-04-28,7.0
1998-04-29,6.875
1998-04-30,7.0833330154418945
1998-05-01,7.0
1998-05-04,6.8333330154418945
1998-05-05,6.625
1998-05-06,6.5833330154418945
1998-05-07,6.2916669845581055
1998-05-08,6.5416669845581055
1998-05-11,6.6458330154418945
1998-05-12,6.6666669845581055
1998-05-13,6.4166669845581055
1998-05-14,6.2916669845581055
1998-05-15,6.3125
1998-05-18,6.2916669845581055
1998-05-19,6.25
1998-05-20,6.2708330154418945
1998-05-21,6.2291669845581055
1998-05-22,6.2083330154418945
1998-05-26,6.25
1998-05-27,6.2083330154418945
1998-05-28,6.5416669845581055
1998-05-29,6.9791669845581055
1998-06-01,7.1666669845581055
1998-06-02,7.2083330154418945
1998-06-03,7.3125
1998-06-04,7.1666669845581055
1998-06-05,7.2916669845581055
1998-06-08,7.6458330154418945
1998-06-09,7.8333330154418945
1998-06-10,7.7708330154418945
1998-06-11,7.6458330154418945
1998-06-12,7.5625
1998-06-15,7.0833330154418945
1998-06-16,6.9166669845581055
1998-06-17,6.9166669845581055
1998-06-18,6.9166669845581055
1998-06-19,6.6041669845581055
1998-06-22,6.3333330154418945
1998-06-23,6.4583330154418945
1998-06-24,6.7083330154418945
1998-06-25,6.7916669845581055
1998-06-26,6.75
1998-06-29,6.625
1998-06-30,6.3333330154418945
1998-07-01,6.4166669845581055
1998-07-02,6.6666669845581055
1998-07-06,6.6458330154418945
1998-07-07,6.625
1998-07-08,6.6666669845581055
1998-07-09,6.5
1998-07-10,6.5
1998-07-13,6.4791669845581055
1998-07-14,6.5208330154418945
1998-07-15,6.5833330154418945
1998-07-16,6.5416669845581055
1998-07-17,6.5833330154418945
1998-07-20,6.9583330154418945
1998-07-21,6.6666669845581055
1998-07-22,6.6666669845581055
1998-07-23,6.375
1998-07-24,6.3125
1998-07-27,6.0833330154418945
1998-07-28,5.9583330154418945
1998-07-29,6.2916669845581055
1998-07-30,6.5
1998-07-31,6.4166669845581055
1998-08-03,6.25
1998-08-04,6.0833330154418945
1998-08-05,5.9166669845581055
1998-08-06,5.9583330154418945
1998-08-07,6.0
1998-08-10,5.9583330154418945
1998-08-11,5.7916669845581055
1998-08-12,5.875
1998-08-13,5.8333330154418945
1998-08-14,5.7916669845581055
1998-08-17,5.8333330154418945
1998-08-18,5.875
1998-08-19,5.6666669845581055
1998-08-20,5.6666669845581055
1998-08-21,5.375
1998-08-24,5.125
1998-08-25,5.2083330154418945
1998-08-26,4.9583330154418945
1998-08-27,4.625
1998-08-28,4.4791669845581055
1998-08-31,4.25
1998-09-01,4.0833330154418945
1998-09-02,4.0
1998-09-03,3.9583330154418945
1998-09-04,3.9166669845581055
1998-09-08,3.875
1998-09-09,3.8333330154418945
1998-09-10,3.7083330154418945
1998-09-11,3.75
1998-09-14,3.6041669845581055
1998-09-15,3.2916669845581055
1998-09-16,3.4583330154418945
1998-09-17,3.375
1998-09-18,4.1666669845581055
