,DWUS
2019-12-27,25.173999786376953
2019-12-30,25.020000457763672
2019-12-31,25.148000717163086
2020-01-02,25.243000030517578
2020-01-03,25.17799949645996
2020-01-06,25.190000534057617
2020-01-07,25.18000030517578
2020-01-08,25.18000030517578
2020-01-09,25.49799919128418
2020-01-10,25.46500015258789
2020-01-13,25.700000762939453
2020-01-14,25.6200008392334
2020-01-15,25.729999542236328
2020-01-16,25.84000015258789
2020-01-17,26.09000015258789
2020-01-21,26.110000610351562
2020-01-22,26.110000610351562
2020-01-23,26.284000396728516
2020-01-24,26.110000610351562
2020-01-27,25.808000564575195
2020-01-28,26.06999969482422
2020-01-29,26.06999969482422
2020-01-30,26.06999969482422
2020-01-31,25.909000396728516
2020-02-03,26.138999938964844
2020-02-04,26.434999465942383
2020-02-05,26.579999923706055
2020-02-06,26.760000228881836
2020-02-07,26.739999771118164
2020-02-10,26.906999588012695
2020-02-11,26.906999588012695
2020-02-12,27.121000289916992
2020-02-13,27.163000106811523
2020-02-14,27.295000076293945
2020-02-18,27.298999786376953
2020-02-19,27.47800064086914
2020-02-20,27.292999267578125
2020-02-21,27.292999267578125
2020-02-24,26.059999465942383
2020-02-25,25.364999771118164
2020-02-26,25.364999771118164
2020-02-27,24.231000900268555
2020-02-28,23.95199966430664
2020-03-02,25.253999710083008
2020-03-03,24.799999237060547
2020-03-04,25.687000274658203
2020-03-05,25.687000274658203
2020-03-06,24.58300018310547
2020-03-09,23.041000366210938
2020-03-10,24.03700065612793
2020-03-11,24.03700065612793
2020-03-12,21.979999542236328
2020-03-13,22.525999069213867
2020-03-16,19.926000595092773
2020-03-17,20.360000610351562
2020-03-18,19.579999923706055
2020-03-19,20.059999465942383
2020-03-20,19.391000747680664
2020-03-23,19.106000900268555
2020-03-24,20.549999237060547
2020-03-25,20.520000457763672
2020-03-26,22.124000549316406
2020-03-27,21.458999633789062
2020-03-30,22.204999923706055
2020-03-31,21.783000946044922
2020-04-01,20.770000457763672
2020-04-02,21.184999465942383
2020-04-03,21.184999465942383
2020-04-06,22.382999420166016
2020-04-07,22.382999420166016
2020-04-08,22.382999420166016
2020-04-09,22.861000061035156
2020-04-13,23.079999923706055
2020-04-14,23.974000930786133
2020-04-15,23.67300033569336
2020-04-16,23.67300033569336
2020-04-17,24.360000610351562
2020-04-20,24.163000106811523
2020-04-21,23.280000686645508
2020-04-22,23.280000686645508
2020-04-23,23.280000686645508
2020-04-24,24.218000411987305
2020-04-27,24.475000381469727
2020-04-28,24.475000381469727
2020-04-29,24.764999389648438
2020-04-30,24.694000244140625
2020-05-01,23.975000381469727
2020-05-04,24.295000076293945
2020-05-05,24.63800048828125
2020-05-06,24.733999252319336
2020-05-07,24.944000244140625
2020-05-08,25.249000549316406
2020-05-11,25.586999893188477
2020-05-12,25.113000869750977
2020-05-13,24.805999755859375
2020-05-14,24.976999282836914
2020-05-15,24.976999282836914
2020-05-18,25.63800048828125
2020-05-19,25.548999786376953
2020-05-20,25.910999298095703
2020-05-21,25.63599967956543
2020-05-22,25.726999282836914
2020-05-26,25.607999801635742
2020-05-27,25.788000106811523
2020-05-28,25.709999084472656
2020-05-29,26.208999633789062
2020-06-01,26.31800079345703
2020-06-02,26.375
2020-06-03,26.423999786376953
2020-06-04,26.14900016784668
2020-06-05,26.584999084472656
2020-06-08,26.770000457763672
2020-06-09,27.020000457763672
2020-06-10,27.34600067138672
2020-06-11,26.01300048828125
2020-06-12,26.18000030517578
2020-06-15,26.464000701904297
2020-06-16,26.899999618530273
2020-06-17,27.052000045776367
2020-06-18,26.969999313354492
2020-06-19,27.20199966430664
2020-06-22,27.461999893188477
2020-06-23,27.479999542236328
2020-06-24,27.479999542236328
2020-06-25,27.320999145507812
2020-06-26,26.756000518798828
2020-06-29,26.902999877929688
2020-06-30,27.500999450683594
2020-07-01,27.8799991607666
