,CMLTU
2021-04-07,11.1899995803833
2021-04-08,11.25
2021-04-09,11.199999809265137
2021-04-12,11.0
2021-04-13,11.180000305175781
2021-04-14,11.069999694824219
2021-04-15,11.100000381469727
2021-04-16,11.079999923706055
2021-04-19,10.949999809265137
2021-04-20,10.899999618530273
2021-04-21,10.9399995803833
2021-04-22,11.020000457763672
2021-04-23,11.029999732971191
2021-04-26,11.069999694824219
2021-04-27,11.020000457763672
2021-04-28,11.0
2021-04-29,11.010000228881836
2021-04-30,10.84000015258789
2021-05-03,10.649999618530273
2021-05-04,10.699999809265137
2021-05-05,10.609999656677246
2021-05-06,10.609999656677246
2021-05-07,11.0
2021-05-10,10.899999618530273
2021-05-11,10.8100004196167
2021-05-12,10.6899995803833
2021-05-13,10.520000457763672
2021-05-14,10.550000190734863
