,FDIV
2014-08-14,50.150001525878906
2014-08-15,50.25
2014-08-18,50.15999984741211
2014-08-19,50.47999954223633
2014-08-20,50.45000076293945
2014-08-21,50.45000076293945
2014-08-22,50.470001220703125
2014-08-25,50.61000061035156
2014-08-26,50.650001525878906
2014-08-27,50.7599983215332
2014-08-28,50.81399917602539
2014-08-29,50.900001525878906
2014-09-02,50.79999923706055
2014-09-03,50.83000183105469
2014-09-04,50.630001068115234
2014-09-05,50.75
2014-09-08,50.5
2014-09-09,50.56999969482422
2014-09-10,50.400001525878906
2014-09-11,50.56999969482422
2014-09-12,50.5
2014-09-15,50.189998626708984
2014-09-16,50.03499984741211
2014-09-17,50.11000061035156
2014-09-18,50.380001068115234
2014-09-19,50.47999954223633
2014-09-22,50.279998779296875
2014-09-23,50.02000045776367
2014-09-24,49.900001525878906
2014-09-25,49.65399932861328
2014-09-26,49.5
2014-09-29,49.65999984741211
2014-09-30,49.709999084472656
2014-10-01,49.77000045776367
2014-10-02,49.58000183105469
2014-10-03,49.77000045776367
2014-10-06,49.849998474121094
2014-10-07,49.720001220703125
2014-10-08,49.75
2014-10-09,49.72999954223633
2014-10-10,48.91999816894531
2014-10-13,49.04100036621094
2014-10-14,48.900001525878906
2014-10-15,48.790000915527344
2014-10-16,49.41999816894531
2014-10-17,49.470001220703125
2014-10-20,49.689998626708984
2014-10-21,49.900001525878906
2014-10-22,49.91999816894531
2014-10-23,50.0
2014-10-24,50.029998779296875
2014-10-27,50.15999984741211
2014-10-28,50.36000061035156
2014-10-29,50.33599853515625
2014-10-30,50.400001525878906
2014-10-31,50.72999954223633
2014-11-03,51.077999114990234
2014-11-04,50.56999969482422
2014-11-05,50.599998474121094
2014-11-06,50.58000183105469
2014-11-07,50.689998626708984
2014-11-10,50.7400016784668
2014-11-11,50.7400016784668
2014-11-12,50.7400016784668
2014-11-13,50.650001525878906
2014-11-14,50.650001525878906
2014-11-17,50.81999969482422
2014-11-18,50.91999816894531
2014-11-19,50.91999816894531
2014-11-20,50.93000030517578
2014-11-21,51.08000183105469
2014-11-24,50.81999969482422
2014-11-25,50.7599983215332
2014-11-26,51.0
2014-11-28,51.0
2014-12-01,50.31999969482422
2014-12-02,50.52000045776367
2014-12-03,50.604000091552734
2014-12-04,50.689998626708984
2014-12-05,50.61000061035156
2014-12-08,50.2599983215332
2014-12-09,50.30699920654297
2014-12-10,49.79999923706055
2014-12-11,49.970001220703125
2014-12-12,49.43000030517578
2014-12-15,49.04999923706055
2014-12-16,49.16999816894531
2014-12-17,49.42599868774414
2014-12-18,50.04999923706055
2014-12-19,49.79999923706055
2014-12-22,50.349998474121094
2014-12-23,50.349998474121094
2014-12-24,50.5
2014-12-26,50.5
2014-12-29,50.90999984741211
2014-12-30,50.90999984741211
2014-12-31,50.90999984741211
2015-01-02,50.90999984741211
2015-01-05,50.16999816894531
2015-01-06,49.959999084472656
2015-01-07,49.959999084472656
2015-01-08,50.540000915527344
2015-01-09,50.38999938964844
2015-01-12,50.150001525878906
2015-01-13,50.150001525878906
2015-01-14,50.13999938964844
2015-01-15,50.05799865722656
2015-01-16,50.290000915527344
2015-01-20,50.361000061035156
2015-01-21,50.459999084472656
2015-01-22,50.71200180053711
2015-01-23,50.7599983215332
2015-01-26,50.63999938964844
2015-01-27,50.79999923706055
2015-01-28,50.970001220703125
2015-01-29,50.3489990234375
2015-01-30,50.08700180053711
2015-02-02,50.209999084472656
2015-02-03,50.79999923706055
2015-02-04,49.880001068115234
2015-02-05,50.779998779296875
2015-02-06,50.04999923706055
2015-02-09,50.33000183105469
2015-02-10,50.02000045776367
2015-02-11,50.27000045776367
2015-02-12,50.400001525878906
2015-02-13,50.400001525878906
2015-02-17,50.4900016784668
2015-02-18,50.52000045776367
2015-02-19,50.4900016784668
2015-02-20,50.29999923706055
2015-02-23,50.380001068115234
2015-02-24,50.45000076293945
2015-02-25,50.54999923706055
2015-02-26,50.279998779296875
2015-02-27,50.33000183105469
2015-03-02,50.22999954223633
2015-03-03,50.25
2015-03-04,50.099998474121094
2015-03-05,50.20000076293945
2015-03-06,50.11000061035156
2015-03-09,50.0
2015-03-10,49.790000915527344
2015-03-11,49.58000183105469
2015-03-12,49.39099884033203
2015-03-13,49.560001373291016
