,BIOTU
2021-01-26,10.3100004196167
2021-01-27,10.300000190734863
2021-01-28,10.300000190734863
2021-01-29,10.289999961853027
2021-02-01,10.350000381469727
2021-02-02,10.399999618530273
2021-02-03,10.350000381469727
2021-02-04,10.40999984741211
2021-02-05,10.40999984741211
2021-02-08,10.4399995803833
2021-02-09,10.699999809265137
2021-02-10,10.760000228881836
2021-02-11,10.729999542236328
2021-02-12,10.699000358581543
2021-02-16,10.5600004196167
2021-02-17,10.640000343322754
2021-02-18,10.5600004196167
2021-02-19,10.694999694824219
2021-02-22,10.680000305175781
2021-02-23,10.609999656677246
2021-02-24,10.529999732971191
2021-02-25,10.479999542236328
2021-02-26,10.359999656677246
2021-03-01,10.34000015258789
2021-03-02,10.199999809265137
2021-03-03,10.1899995803833
2021-03-04,10.039999961853027
2021-03-05,10.199999809265137
2021-03-08,10.210000038146973
2021-03-09,10.130000114440918
2021-03-10,10.1899995803833
2021-03-11,10.180000305175781
2021-03-12,10.100000381469727
2021-03-15,10.039999961853027
2021-03-16,10.050000190734863
2021-03-17,10.036999702453613
2021-03-18,10.04800033569336
2021-03-19,10.039999961853027
2021-03-22,10.050000190734863
2021-03-23,9.979999542236328
2021-03-24,9.9399995803833
2021-03-25,9.899999618530273
2021-03-26,9.890000343322754
2021-03-29,9.989999771118164
2021-03-30,9.920000076293945
2021-03-31,9.890000343322754
2021-04-01,9.979999542236328
2021-04-05,9.979999542236328
2021-04-06,9.979999542236328
2021-04-07,10.069999694824219
2021-04-08,10.0
2021-04-09,10.0600004196167
2021-04-12,10.100000381469727
2021-04-13,10.0600004196167
2021-04-14,10.154999732971191
2021-04-15,10.135000228881836
2021-04-16,10.010000228881836
2021-04-19,10.079999923706055
2021-04-20,10.079999923706055
2021-04-21,9.989999771118164
2021-04-22,9.989999771118164
2021-04-23,9.984999656677246
2021-04-26,9.970000267028809
2021-04-27,10.0
2021-04-28,9.970000267028809
2021-04-29,10.0
2021-04-30,10.012999534606934
2021-05-03,10.010000228881836
2021-05-04,10.020000457763672
2021-05-05,10.050000190734863
2021-05-06,10.039999961853027
2021-05-07,10.010000228881836
2021-05-10,10.020000457763672
2021-05-11,10.020000457763672
2021-05-12,10.01099967956543
2021-05-13,9.989999771118164
2021-05-14,10.0
