,BSCQ
2016-09-22,20.110000610351562
2016-09-23,20.135000228881836
2016-09-26,20.163999557495117
2016-09-27,20.209999084472656
2016-09-28,20.219999313354492
2016-09-29,20.21299934387207
2016-09-30,20.229999542236328
2016-10-03,20.17799949645996
2016-10-04,20.139999389648438
2016-10-05,20.010000228881836
2016-10-06,20.100000381469727
2016-10-07,20.100000381469727
2016-10-10,20.100000381469727
2016-10-11,20.079999923706055
2016-10-12,20.06999969482422
2016-10-13,20.06999969482422
2016-10-14,20.06999969482422
2016-10-17,20.06999969482422
2016-10-18,20.06999969482422
2016-10-19,20.110000610351562
2016-10-20,20.1200008392334
2016-10-21,20.1200008392334
2016-10-24,20.100000381469727
2016-10-25,20.079999923706055
2016-10-26,20.079999923706055
2016-10-27,19.969999313354492
2016-10-28,19.902999877929688
2016-10-31,19.959999084472656
2016-11-01,19.90999984741211
2016-11-02,19.905000686645508
2016-11-03,19.899999618530273
2016-11-04,19.899999618530273
2016-11-07,19.93000030517578
2016-11-08,19.93000030517578
2016-11-09,19.639999389648438
2016-11-10,19.600000381469727
2016-11-11,19.503000259399414
2016-11-14,19.464000701904297
2016-11-15,19.5
2016-11-16,19.440000534057617
2016-11-17,19.3799991607666
2016-11-18,19.229999542236328
2016-11-21,19.229999542236328
2016-11-22,19.25
2016-11-23,19.15999984741211
2016-11-25,19.20800018310547
2016-11-28,19.214000701904297
2016-11-29,19.290000915527344
2016-11-30,19.15999984741211
2016-12-01,19.079999923706055
2016-12-02,19.15999984741211
2016-12-05,19.18000030517578
2016-12-06,19.15999984741211
2016-12-07,19.29800033569336
2016-12-08,19.139999389648438
2016-12-09,19.141000747680664
2016-12-12,19.040000915527344
2016-12-13,19.059999465942383
2016-12-14,18.920000076293945
2016-12-15,18.979999542236328
2016-12-16,18.93199920654297
2016-12-19,19.049999237060547
2016-12-20,19.031999588012695
2016-12-21,19.030000686645508
2016-12-22,19.030000686645508
2016-12-23,19.020999908447266
2016-12-27,19.038999557495117
2016-12-28,19.049999237060547
2016-12-29,19.09000015258789
2016-12-30,19.149999618530273
2017-01-03,19.209999084472656
2017-01-04,19.222000122070312
2017-01-05,19.299999237060547
2017-01-06,19.21500015258789
2017-01-09,19.270999908447266
2017-01-10,19.250999450683594
2017-01-11,19.25
2017-01-12,19.299999237060547
2017-01-13,19.260000228881836
2017-01-17,19.360000610351562
2017-01-18,19.190000534057617
2017-01-19,19.15999984741211
2017-01-20,19.170000076293945
2017-01-23,19.239999771118164
2017-01-24,19.18000030517578
