,AVIR
2020-10-30,30.34000015258789
2020-11-02,29.739999771118164
2020-11-03,28.149999618530273
2020-11-04,31.030000686645508
2020-11-05,34.0
2020-11-06,34.16999816894531
2020-11-09,26.360000610351562
2020-11-10,26.940000534057617
2020-11-11,28.25
2020-11-12,29.530000686645508
2020-11-13,32.31999969482422
2020-11-16,32.459999084472656
2020-11-17,33.349998474121094
2020-11-18,32.08000183105469
2020-11-19,32.54999923706055
2020-11-20,33.16999816894531
2020-11-23,33.540000915527344
2020-11-24,34.06999969482422
2020-11-25,33.79999923706055
2020-11-27,34.439998626708984
2020-11-30,33.31999969482422
2020-12-01,32.029998779296875
2020-12-02,30.6299991607666
2020-12-03,28.139999389648438
2020-12-04,29.25
2020-12-07,28.510000228881836
2020-12-08,28.1299991607666
2020-12-09,27.770000457763672
2020-12-10,28.34000015258789
2020-12-11,29.770000457763672
2020-12-14,31.040000915527344
2020-12-15,30.709999084472656
2020-12-16,30.780000686645508
2020-12-17,31.139999389648438
2020-12-18,34.11000061035156
2020-12-21,34.91999816894531
2020-12-22,36.209999084472656
2020-12-23,34.58000183105469
2020-12-24,34.47999954223633
2020-12-28,39.09000015258789
2020-12-29,39.34000015258789
2020-12-30,41.709999084472656
2020-12-31,41.779998779296875
2021-01-04,41.41999816894531
2021-01-05,41.79999923706055
2021-01-06,43.380001068115234
2021-01-07,44.2599983215332
2021-01-08,48.060001373291016
2021-01-11,47.040000915527344
2021-01-12,45.22999954223633
2021-01-13,50.310001373291016
2021-01-14,52.099998474121094
2021-01-15,53.439998626708984
2021-01-19,55.13999938964844
2021-01-20,57.849998474121094
2021-01-21,54.150001525878906
2021-01-22,54.27000045776367
2021-01-25,55.38999938964844
2021-01-26,56.0
2021-01-27,58.099998474121094
2021-01-28,59.13999938964844
2021-01-29,73.0
2021-02-01,75.58999633789062
2021-02-02,83.81999969482422
2021-02-03,88.2699966430664
2021-02-04,81.95999908447266
2021-02-05,86.05999755859375
2021-02-08,88.44000244140625
2021-02-09,87.0999984741211
2021-02-10,87.83000183105469
2021-02-11,87.91999816894531
2021-02-12,82.02999877929688
2021-02-16,84.1500015258789
2021-02-17,86.06999969482422
2021-02-18,83.4000015258789
2021-02-19,83.62999725341797
2021-02-22,83.61000061035156
2021-02-23,76.2300033569336
2021-02-24,80.0
2021-02-25,81.29000091552734
2021-02-26,75.36000061035156
2021-03-01,73.7699966430664
2021-03-02,71.81999969482422
2021-03-03,70.61000061035156
2021-03-04,63.040000915527344
2021-03-05,59.97999954223633
2021-03-08,58.810001373291016
2021-03-09,61.70000076293945
2021-03-10,64.08000183105469
2021-03-11,67.5
2021-03-12,67.86000061035156
2021-03-15,69.80000305175781
2021-03-16,77.19999694824219
2021-03-17,77.41000366210938
2021-03-18,75.37000274658203
2021-03-19,78.08999633789062
2021-03-22,77.3499984741211
2021-03-23,69.3499984741211
2021-03-24,67.81999969482422
2021-03-25,59.95000076293945
2021-03-26,60.15999984741211
2021-03-29,58.650001525878906
2021-03-30,56.22999954223633
2021-03-31,61.75
2021-04-01,57.810001373291016
2021-04-05,58.709999084472656
2021-04-06,59.08000183105469
2021-04-07,57.20000076293945
2021-04-08,56.790000915527344
2021-04-09,56.5099983215332
2021-04-12,55.310001373291016
2021-04-13,57.220001220703125
2021-04-14,54.58000183105469
2021-04-15,46.0099983215332
2021-04-16,44.939998626708984
2021-04-19,44.5
2021-04-20,42.34000015258789
2021-04-21,40.709999084472656
2021-04-22,39.7599983215332
2021-04-23,36.40999984741211
2021-04-26,36.459999084472656
2021-04-27,33.599998474121094
2021-04-28,26.649999618530273
2021-04-29,26.3799991607666
2021-04-30,24.709999084472656
2021-05-03,22.979999542236328
2021-05-04,21.079999923706055
2021-05-05,21.100000381469727
2021-05-06,22.020000457763672
2021-05-07,21.31999969482422
2021-05-10,19.6299991607666
2021-05-11,20.690000534057617
2021-05-12,19.739999771118164
2021-05-13,19.219999313354492
2021-05-14,22.90999984741211
