,DLTH
2015-11-20,13.649999618530273
2015-11-23,14.15999984741211
2015-11-24,14.300000190734863
2015-11-25,14.329999923706055
2015-11-27,14.210000038146973
2015-11-30,14.350000381469727
2015-12-01,15.470000267028809
2015-12-02,15.039999961853027
2015-12-03,15.319999694824219
2015-12-04,15.979999542236328
2015-12-07,16.0
2015-12-08,15.9399995803833
2015-12-09,15.960000038146973
2015-12-10,16.200000762939453
2015-12-11,16.440000534057617
2015-12-14,15.949999809265137
2015-12-15,16.149999618530273
2015-12-16,16.360000610351562
2015-12-17,15.699999809265137
2015-12-18,14.619999885559082
2015-12-21,14.6899995803833
2015-12-22,13.9399995803833
2015-12-23,14.539999961853027
2015-12-24,14.470000267028809
2015-12-28,14.739999771118164
2015-12-29,14.890000343322754
2015-12-30,14.569999694824219
2015-12-31,14.59000015258789
2016-01-04,14.729999542236328
2016-01-05,14.680000305175781
2016-01-06,14.960000038146973
2016-01-07,14.90999984741211
2016-01-08,13.989999771118164
2016-01-11,14.949999809265137
2016-01-12,15.039999961853027
2016-01-13,14.359999656677246
2016-01-14,14.600000381469727
2016-01-15,14.15999984741211
2016-01-19,14.079999923706055
2016-01-20,14.510000228881836
2016-01-21,14.75
2016-01-22,15.5600004196167
2016-01-25,15.630000114440918
2016-01-26,16.68000030517578
2016-01-27,17.270000457763672
2016-01-28,16.5
2016-01-29,16.510000228881836
2016-02-01,16.459999084472656
2016-02-02,16.350000381469727
2016-02-03,15.449999809265137
2016-02-04,14.770000457763672
2016-02-05,14.09000015258789
2016-02-08,14.380000114440918
2016-02-09,14.029999732971191
2016-02-10,14.350000381469727
2016-02-11,14.390000343322754
2016-02-12,14.989999771118164
2016-02-16,15.319999694824219
2016-02-17,16.309999465942383
2016-02-18,16.18000030517578
2016-02-19,16.780000686645508
2016-02-22,16.899999618530273
2016-02-23,16.229999542236328
2016-02-24,16.559999465942383
2016-02-25,17.290000915527344
2016-02-26,17.309999465942383
2016-02-29,16.549999237060547
2016-03-01,17.0
