,CPTA
2013-09-25,112.80000305175781
2013-09-26,114.9000015258789
2013-09-27,114.30000305175781
2013-09-30,115.19999694824219
2013-10-01,113.69999694824219
2013-10-02,112.31999969482422
2013-10-03,109.5
2013-10-04,107.69999694824219
2013-10-07,109.86000061035156
2013-10-08,109.68000030517578
2013-10-09,111.30000305175781
2013-10-10,111.0
2013-10-11,110.4000015258789
2013-10-14,111.12000274658203
2013-10-15,109.26000213623047
2013-10-16,108.36000061035156
2013-10-17,112.68000030517578
2013-10-18,111.77999877929688
2013-10-21,115.26000213623047
2013-10-22,114.66000366210938
2013-10-23,115.5
2013-10-24,114.66000366210938
2013-10-25,115.44000244140625
2013-10-28,116.16000366210938
2013-10-29,117.5999984741211
2013-10-30,114.9000015258789
2013-10-31,113.0999984741211
2013-11-01,114.0
2013-11-04,114.05999755859375
2013-11-05,114.05999755859375
2013-11-06,115.26000213623047
2013-11-07,112.13999938964844
2013-11-08,116.94000244140625
2013-11-11,116.4000015258789
2013-11-12,114.0
2013-11-13,114.9000015258789
2013-11-14,115.19999694824219
2013-11-15,114.30000305175781
2013-11-18,114.0
2013-11-19,115.13999938964844
2013-11-20,114.9000015258789
2013-11-21,116.4000015258789
2013-11-22,116.4000015258789
2013-11-25,117.0
2013-11-26,117.18000030517578
2013-11-27,118.73999786376953
2013-11-29,119.33999633789062
2013-12-02,119.4000015258789
2013-12-03,119.4000015258789
2013-12-04,118.73999786376953
2013-12-05,119.0999984741211
2013-12-06,118.80000305175781
2013-12-09,118.0199966430664
2013-12-10,116.87999725341797
2013-12-11,117.4800033569336
2013-12-12,118.73999786376953
2013-12-13,118.55999755859375
2013-12-16,118.73999786376953
2013-12-17,118.5
2013-12-18,118.73999786376953
2013-12-19,117.30000305175781
2013-12-20,121.19999694824219
2013-12-23,120.0
2013-12-24,118.80000305175781
2013-12-26,119.63999938964844
2013-12-27,118.55999755859375
2013-12-30,117.66000366210938
2013-12-31,119.4000015258789
