,EOSE
2020-11-02,10.069999694824219
2020-11-03,10.09000015258789
2020-11-04,10.09000015258789
2020-11-05,10.109999656677246
2020-11-06,10.25
2020-11-09,10.15999984741211
2020-11-10,10.210000038146973
2020-11-11,10.430000305175781
2020-11-12,10.520000457763672
2020-11-13,10.819999694824219
2020-11-16,10.680000305175781
2020-11-17,10.59000015258789
2020-11-18,12.140000343322754
2020-11-19,12.600000381469727
2020-11-20,14.069999694824219
2020-11-23,15.449999809265137
2020-11-24,14.130000114440918
2020-11-25,15.0
2020-11-27,14.989999771118164
2020-11-30,15.069999694824219
2020-12-01,13.770000457763672
2020-12-02,13.8100004196167
2020-12-03,14.449999809265137
2020-12-04,14.5600004196167
2020-12-07,15.350000381469727
2020-12-08,14.430000305175781
2020-12-09,14.65999984741211
2020-12-10,15.399999618530273
2020-12-11,14.649999618530273
2020-12-14,14.630000114440918
2020-12-15,14.779999732971191
2020-12-16,14.619999885559082
2020-12-17,14.5600004196167
2020-12-18,14.5600004196167
2020-12-21,15.109999656677246
2020-12-22,16.0
2020-12-23,23.1299991607666
2020-12-24,19.229999542236328
2020-12-28,22.469999313354492
2020-12-29,23.739999771118164
2020-12-30,23.149999618530273
2020-12-31,20.84000015258789
2021-01-04,23.899999618530273
2021-01-05,23.09000015258789
2021-01-06,23.1299991607666
2021-01-07,26.559999465942383
2021-01-08,28.829999923706055
2021-01-11,30.219999313354492
2021-01-12,30.440000534057617
2021-01-13,28.40999984741211
2021-01-14,24.559999465942383
2021-01-15,23.030000686645508
2021-01-19,26.200000762939453
2021-01-20,26.549999237060547
2021-01-21,24.950000762939453
2021-01-22,23.479999542236328
2021-01-25,21.899999618530273
2021-01-26,23.110000610351562
2021-01-27,22.56999969482422
2021-01-28,23.450000762939453
2021-01-29,22.350000381469727
2021-02-01,23.219999313354492
2021-02-02,24.56999969482422
2021-02-03,25.170000076293945
2021-02-04,25.530000686645508
2021-02-05,25.09000015258789
2021-02-08,24.440000534057617
2021-02-09,24.729999542236328
2021-02-10,24.809999465942383
2021-02-11,26.239999771118164
2021-02-12,25.489999771118164
2021-02-16,24.309999465942383
2021-02-17,23.829999923706055
2021-02-18,23.170000076293945
2021-02-19,23.56999969482422
2021-02-22,23.06999969482422
2021-02-23,22.260000228881836
2021-02-24,21.93000030517578
2021-02-25,19.18000030517578
2021-02-26,21.260000228881836
2021-03-01,21.079999923706055
2021-03-02,21.969999313354492
2021-03-03,19.8700008392334
2021-03-04,18.1299991607666
2021-03-05,17.6200008392334
2021-03-08,15.5
2021-03-09,15.850000381469727
2021-03-10,17.34000015258789
2021-03-11,19.0
2021-03-12,18.979999542236328
2021-03-15,19.899999618530273
2021-03-16,20.06999969482422
2021-03-17,21.520000457763672
2021-03-18,19.75
2021-03-19,21.90999984741211
2021-03-22,20.219999313354492
2021-03-23,18.790000915527344
2021-03-24,18.93000030517578
2021-03-25,17.459999084472656
2021-03-26,18.0
2021-03-29,18.100000381469727
2021-03-30,18.309999465942383
2021-03-31,19.719999313354492
2021-04-01,18.139999389648438
2021-04-05,18.860000610351562
2021-04-06,17.450000762939453
2021-04-07,16.959999084472656
2021-04-08,16.739999771118164
2021-04-09,17.149999618530273
2021-04-12,16.40999984741211
2021-04-13,15.470000267028809
2021-04-14,15.600000381469727
2021-04-15,14.739999771118164
2021-04-16,14.34000015258789
2021-04-19,13.390000343322754
2021-04-20,12.729999542236328
2021-04-21,13.109999656677246
2021-04-22,13.350000381469727
2021-04-23,13.710000038146973
2021-04-26,14.329999923706055
2021-04-27,14.34000015258789
2021-04-28,14.279999732971191
2021-04-29,14.25
2021-04-30,13.149999618530273
2021-05-03,13.420000076293945
2021-05-04,12.65999984741211
2021-05-05,12.119999885559082
2021-05-06,11.65999984741211
2021-05-07,11.460000038146973
2021-05-10,11.329999923706055
2021-05-11,11.640000343322754
2021-05-12,10.949999809265137
2021-05-13,10.600000381469727
2021-05-14,11.914999961853027
