,ESGRP
2018-06-20,25.200000762939453
2018-06-21,25.209999084472656
2018-06-22,25.280000686645508
2018-06-25,25.239999771118164
2018-06-26,25.31999969482422
2018-06-27,25.30900001525879
2018-06-28,25.299999237060547
2018-06-29,25.260000228881836
2018-07-02,25.309999465942383
2018-07-03,25.450000762939453
2018-07-05,25.790000915527344
2018-07-06,25.700000762939453
2018-07-09,25.649999618530273
2018-07-10,25.639999389648438
2018-07-11,25.700000762939453
2018-07-12,25.690000534057617
2018-07-13,25.700000762939453
2018-07-16,25.6200008392334
2018-07-17,25.520000457763672
2018-07-18,25.479999542236328
2018-07-19,25.459999084472656
2018-07-20,25.440000534057617
2018-07-23,25.420000076293945
2018-07-24,25.3700008392334
2018-07-25,25.520000457763672
2018-07-26,25.520000457763672
2018-07-27,25.510000228881836
2018-07-30,25.700000762939453
2018-07-31,25.670000076293945
2018-08-01,25.559999465942383
2018-08-02,25.700000762939453
2018-08-03,25.799999237060547
2018-08-06,25.790000915527344
2018-08-07,25.850000381469727
2018-08-08,25.8799991607666
2018-08-09,25.950000762939453
2018-08-10,25.93000030517578
2018-08-13,26.0
2018-08-14,25.899999618530273
2018-08-15,25.81999969482422
2018-08-16,25.889999389648438
2018-08-17,25.899999618530273
2018-08-20,25.969999313354492
2018-08-21,25.989999771118164
2018-08-22,26.05500030517578
2018-08-23,26.09000015258789
2018-08-24,26.09000015258789
2018-08-27,26.07900047302246
2018-08-28,26.190000534057617
2018-08-29,26.110000610351562
2018-08-30,26.149999618530273
2018-08-31,26.110000610351562
2018-09-04,26.024999618530273
2018-09-05,26.08799934387207
2018-09-06,26.059999465942383
2018-09-07,26.0
2018-09-10,26.06999969482422
2018-09-11,26.100000381469727
2018-09-12,26.139999389648438
2018-09-13,26.1200008392334
2018-09-14,26.139999389648438
2018-09-17,26.139999389648438
2018-09-18,26.100000381469727
2018-09-19,26.100000381469727
2018-09-20,26.200000762939453
2018-09-21,26.15999984741211
2018-09-24,26.209999084472656
2018-09-25,26.200000762939453
2018-09-26,26.239999771118164
2018-09-27,26.3799991607666
2018-09-28,26.399999618530273
2018-10-01,26.290000915527344
2018-10-02,26.34000015258789
2018-10-03,26.100000381469727
2018-10-04,25.860000610351562
2018-10-05,25.959999084472656
2018-10-08,25.770000457763672
2018-10-09,25.81999969482422
2018-10-10,25.760000228881836
2018-10-11,25.719999313354492
2018-10-12,25.770000457763672
2018-10-15,25.700000762939453
2018-10-16,25.729999542236328
2018-10-17,25.690000534057617
2018-10-18,25.69300079345703
2018-10-19,25.75
2018-10-22,25.739999771118164
2018-10-23,25.719999313354492
2018-10-24,25.729999542236328
2018-10-25,25.700000762939453
2018-10-26,25.70599937438965
2018-10-29,25.65999984741211
2018-10-30,25.6299991607666
2018-10-31,25.690000534057617
2018-11-01,25.75
2018-11-02,25.520000457763672
2018-11-05,25.549999237060547
2018-11-06,25.700000762939453
2018-11-07,25.729999542236328
2018-11-08,25.860000610351562
2018-11-09,25.889999389648438
2018-11-12,25.790000915527344
2018-11-13,25.81999969482422
2018-11-14,25.260000228881836
2018-11-15,25.110000610351562
2018-11-16,25.079999923706055
2018-11-19,24.959999084472656
2018-11-20,24.780000686645508
2018-11-21,24.920000076293945
2018-11-23,24.93000030517578
2018-11-26,24.90999984741211
2018-11-27,24.889999389648438
2018-11-28,24.84000015258789
2018-11-29,24.850000381469727
2018-11-30,24.850000381469727
2018-12-03,24.850000381469727
2018-12-04,24.690000534057617
2018-12-06,24.75
2018-12-07,24.6299991607666
2018-12-10,24.6299991607666
2018-12-11,24.579999923706055
2018-12-12,24.610000610351562
2018-12-13,24.59000015258789
2018-12-14,24.729999542236328
2018-12-17,24.309999465942383
2018-12-18,23.979999542236328
2018-12-19,23.886999130249023
2018-12-20,23.600000381469727
2018-12-21,23.709999084472656
2018-12-24,23.34000015258789
2018-12-26,23.3799991607666
2018-12-27,22.719999313354492
2018-12-28,23.100000381469727
2018-12-31,23.399999618530273
2019-01-02,23.68000030517578
2019-01-03,23.799999237060547
2019-01-04,24.15999984741211
2019-01-07,24.270000457763672
2019-01-08,24.290000915527344
2019-01-09,24.209999084472656
2019-01-10,24.030000686645508
2019-01-11,24.15999984741211
2019-01-14,24.06999969482422
2019-01-15,24.040000915527344
2019-01-16,24.1299991607666
2019-01-17,24.200000762939453
2019-01-18,24.360000610351562
2019-01-22,24.209999084472656
2019-01-23,24.600000381469727
2019-01-24,24.75
2019-01-25,25.09000015258789
2019-01-28,25.1200008392334
2019-01-29,25.010000228881836
2019-01-30,25.06999969482422
2019-01-31,25.440000534057617
2019-02-01,25.5
2019-02-04,25.450000762939453
2019-02-05,25.6299991607666
2019-02-06,25.200000762939453
2019-02-07,25.170000076293945
2019-02-08,25.510000228881836
2019-02-11,25.479999542236328
2019-02-12,25.59000015258789
2019-02-13,25.700000762939453
2019-02-14,25.360000610351562
2019-02-15,25.610000610351562
2019-02-19,25.719999313354492
2019-02-20,25.75
2019-02-21,25.709999084472656
2019-02-22,25.610000610351562
2019-02-25,25.450000762939453
2019-02-26,25.049999237060547
2019-02-27,24.899999618530273
2019-02-28,24.56999969482422
2019-03-01,24.899999618530273
2019-03-04,24.84000015258789
2019-03-05,25.0
2019-03-06,25.059999465942383
2019-03-07,24.90999984741211
2019-03-08,24.829999923706055
2019-03-11,24.790000915527344
2019-03-12,24.809999465942383
2019-03-13,25.020000457763672
2019-03-14,24.969999313354492
2019-03-15,24.969999313354492
2019-03-18,25.239999771118164
2019-03-19,25.06999969482422
2019-03-20,25.010000228881836
2019-03-21,25.170000076293945
2019-03-22,25.15999984741211
2019-03-25,25.079999923706055
2019-03-26,25.139999389648438
2019-03-27,25.270000457763672
2019-03-28,25.174999237060547
2019-03-29,25.469999313354492
2019-04-01,25.8700008392334
2019-04-02,25.780000686645508
2019-04-03,26.15999984741211
2019-04-04,26.239999771118164
2019-04-05,26.219999313354492
2019-04-08,26.040000915527344
2019-04-09,25.979999542236328
2019-04-10,26.25
2019-04-11,25.989999771118164
2019-04-12,25.989999771118164
2019-04-15,26.010000228881836
2019-04-16,26.190000534057617
2019-04-17,26.059999465942383
2019-04-18,25.979999542236328
2019-04-22,25.940000534057617
2019-04-23,26.1200008392334
2019-04-24,26.110000610351562
2019-04-25,26.09000015258789
2019-04-26,25.969999313354492
2019-04-29,26.15999984741211
2019-04-30,25.850000381469727
2019-05-01,25.959999084472656
2019-05-02,25.90999984741211
2019-05-03,26.010000228881836
2019-05-06,26.100000381469727
2019-05-07,26.15999984741211
2019-05-08,26.200000762939453
2019-05-09,26.18000030517578
2019-05-10,26.270000457763672
2019-05-13,26.110000610351562
2019-05-14,25.850000381469727
2019-05-15,25.969999313354492
2019-05-16,26.209999084472656
2019-05-17,26.097999572753906
2019-05-20,25.770000457763672
2019-05-21,25.889999389648438
2019-05-22,26.06999969482422
2019-05-23,25.950000762939453
2019-05-24,25.989999771118164
2019-05-28,26.09000015258789
2019-05-29,25.989999771118164
2019-05-30,25.989999771118164
2019-05-31,25.690000534057617
2019-06-03,25.84600067138672
2019-06-04,25.899999618530273
2019-06-05,25.979999542236328
2019-06-06,25.976999282836914
2019-06-07,26.030000686645508
2019-06-10,26.010000228881836
2019-06-11,25.889999389648438
2019-06-12,25.979999542236328
2019-06-13,26.06999969482422
2019-06-14,26.1299991607666
2019-06-17,26.0
2019-06-18,26.139999389648438
2019-06-19,25.899999618530273
2019-06-20,25.979999542236328
2019-06-21,26.0
2019-06-24,25.90999984741211
2019-06-25,26.0
2019-06-26,25.90999984741211
2019-06-27,25.829999923706055
2019-06-28,25.719999313354492
2019-07-01,25.850000381469727
2019-07-02,26.31999969482422
2019-07-03,26.280000686645508
2019-07-05,26.200000762939453
2019-07-08,26.200000762939453
2019-07-09,26.149999618530273
2019-07-10,26.149999618530273
2019-07-11,26.149999618530273
2019-07-12,26.25
2019-07-15,26.229999542236328
2019-07-16,26.299999237060547
2019-07-17,26.31999969482422
2019-07-18,26.600000381469727
