,FOREU
2021-02-10,10.300000190734863
2021-02-11,10.399999618530273
2021-02-12,10.34000015258789
2021-02-16,10.364999771118164
2021-02-17,10.329999923706055
2021-02-18,10.300000190734863
2021-02-19,10.390000343322754
2021-02-22,10.399999618530273
2021-02-23,10.369999885559082
2021-02-24,10.359999656677246
2021-02-25,10.300000190734863
2021-02-26,10.199999809265137
2021-03-01,10.1899995803833
2021-03-02,10.079999923706055
2021-03-03,10.0600004196167
2021-03-04,10.039999961853027
2021-03-05,10.140000343322754
2021-03-08,10.260000228881836
2021-03-09,10.100000381469727
2021-03-10,10.09000015258789
2021-03-11,10.03499984741211
2021-03-12,10.029999732971191
2021-03-15,9.989999771118164
2021-03-16,9.989999771118164
2021-03-17,9.979999542236328
2021-03-18,10.0
2021-03-19,10.0
2021-03-22,9.970000267028809
2021-03-23,9.949999809265137
2021-03-24,9.869999885559082
2021-03-25,9.890000343322754
2021-03-26,9.979999542236328
2021-03-29,9.9399995803833
2021-03-30,9.960000038146973
2021-03-31,9.90999984741211
2021-04-01,9.949999809265137
2021-04-05,9.949999809265137
2021-04-06,9.970000267028809
2021-04-07,9.975000381469727
2021-04-08,9.970000267028809
2021-04-09,9.949999809265137
2021-04-12,10.050000190734863
2021-04-13,10.0
2021-04-14,9.994999885559082
2021-04-15,10.0600004196167
2021-04-16,10.029999732971191
2021-04-19,10.069999694824219
2021-04-20,9.989999771118164
2021-04-21,9.989999771118164
2021-04-22,10.0
2021-04-23,10.0
2021-04-26,10.0
2021-04-27,9.949999809265137
2021-04-28,9.979999542236328
2021-04-29,10.0
2021-04-30,10.0
2021-05-03,10.0
2021-05-04,10.0
2021-05-05,10.015000343322754
2021-05-06,10.006999969482422
2021-05-07,9.99899959564209
2021-05-10,10.0
2021-05-11,10.010000228881836
2021-05-12,10.0
2021-05-13,10.0
2021-05-14,10.0
