,CTAQW
2021-02-08,2.0399999618530273
2021-02-09,2.049999952316284
2021-02-10,2.0
2021-02-11,1.840000033378601
2021-02-12,1.809999942779541
2021-02-16,1.809999942779541
2021-02-17,1.809999942779541
2021-02-18,1.8600000143051147
2021-02-19,1.909999966621399
2021-02-22,1.899999976158142
2021-02-23,1.815000057220459
2021-02-24,1.7300000190734863
2021-02-25,1.5199999809265137
2021-02-26,1.4900000095367432
2021-03-01,1.5
2021-03-02,1.215000033378601
2021-03-03,1.059999942779541
2021-03-04,0.9049999713897705
2021-03-05,1.2100000381469727
2021-03-08,1.159999966621399
2021-03-09,1.2400000095367432
2021-03-10,1.25
2021-03-11,1.1799999475479126
2021-03-12,1.2000000476837158
2021-03-15,1.1299999952316284
2021-03-16,1.1299999952316284
2021-03-17,1.1399999856948853
2021-03-18,1.190000057220459
2021-03-19,1.2000000476837158
2021-03-22,1.1200000047683716
2021-03-23,1.0800000429153442
2021-03-24,1.0199999809265137
2021-03-25,0.949999988079071
2021-03-26,0.9380000233650208
2021-03-29,0.9800000190734863
2021-03-30,0.8999999761581421
2021-03-31,0.8299999833106995
2021-04-01,0.9200000166893005
2021-04-05,0.8500000238418579
2021-04-06,0.8999999761581421
2021-04-07,0.925000011920929
2021-04-08,1.0399999618530273
2021-04-09,0.9800000190734863
2021-04-12,0.9350000023841858
2021-04-13,0.949999988079071
2021-04-14,0.9700000286102295
2021-04-15,0.9700000286102295
2021-04-16,0.9390000104904175
2021-04-19,0.8799999952316284
2021-04-20,0.8500000238418579
2021-04-21,0.8199999928474426
2021-04-22,0.8100000023841858
2021-04-23,0.8299999833106995
2021-04-26,0.8299999833106995
2021-04-27,0.8500000238418579
2021-04-28,0.8399999737739563
2021-04-29,0.8399999737739563
2021-04-30,0.8100000023841858
2021-05-03,0.8500000238418579
2021-05-04,0.8399999737739563
2021-05-05,0.800000011920929
2021-05-06,0.8100000023841858
2021-05-07,0.8309999704360962
2021-05-10,0.8500000238418579
2021-05-11,0.8500000238418579
2021-05-12,0.8299999833106995
2021-05-13,0.800000011920929
2021-05-14,0.8140000104904175
