,FEUZ
2014-10-27,30.840999603271484
2014-10-28,30.840999603271484
2014-10-29,30.840999603271484
2014-10-30,30.8799991607666
2014-10-31,30.8799991607666
2014-11-03,31.329999923706055
2014-11-04,31.299999237060547
2014-11-05,31.299999237060547
2014-11-06,31.25
2014-11-07,31.06999969482422
2014-11-10,31.257999420166016
2014-11-11,31.420000076293945
2014-11-12,31.420000076293945
2014-11-13,31.260000228881836
2014-11-14,31.260000228881836
2014-11-17,31.260000228881836
2014-11-18,31.969999313354492
2014-11-19,32.11000061035156
2014-11-20,32.11000061035156
2014-11-21,31.959999084472656
2014-11-24,32.53499984741211
2014-11-25,32.70000076293945
2014-11-26,32.709999084472656
2014-11-28,32.61000061035156
2014-12-01,32.720001220703125
2014-12-02,32.599998474121094
2014-12-03,32.52000045776367
2014-12-04,32.560001373291016
2014-12-05,32.720001220703125
2014-12-08,32.459999084472656
2014-12-09,32.04999923706055
2014-12-10,31.790000915527344
2014-12-11,31.450000762939453
2014-12-12,30.84000015258789
2014-12-15,30.329999923706055
2014-12-16,30.540000915527344
2014-12-17,30.959999084472656
2014-12-18,31.350000381469727
2014-12-19,31.229999542236328
2014-12-22,31.389999389648438
2014-12-23,31.450000762939453
2014-12-24,31.549999237060547
2014-12-26,31.479999542236328
2014-12-29,31.6200008392334
2014-12-30,31.100000381469727
2014-12-31,30.700000762939453
2015-01-02,30.75
2015-01-05,30.0
2015-01-06,29.459999084472656
2015-01-07,29.649999618530273
2015-01-08,30.010000228881836
2015-01-09,29.940000534057617
2015-01-12,29.850000381469727
2015-01-13,30.020000457763672
2015-01-14,30.059999465942383
2015-01-15,29.81999969482422
2015-01-16,30.469999313354492
2015-01-20,30.68000030517578
2015-01-21,30.8799991607666
2015-01-22,31.010000228881836
2015-01-23,30.709999084472656
2015-01-26,31.43000030517578
2015-01-27,31.280000686645508
2015-01-28,30.670000076293945
2015-01-29,31.399999618530273
2015-01-30,30.8799991607666
2015-02-02,31.139999389648438
2015-02-03,31.969999313354492
2015-02-04,31.420000076293945
2015-02-05,31.940000534057617
2015-02-06,31.329999923706055
2015-02-09,30.979999542236328
2015-02-10,31.68000030517578
2015-02-11,31.309999465942383
2015-02-12,32.255001068115234
2015-02-13,32.369998931884766
2015-02-17,32.41999816894531
2015-02-18,32.529998779296875
2015-02-19,32.68199920654297
2015-02-20,33.040000915527344
2015-02-23,32.83000183105469
2015-02-24,33.16999816894531
2015-02-25,33.029998779296875
2015-02-26,32.77000045776367
2015-02-27,33.09000015258789
2015-03-02,33.11000061035156
2015-03-03,32.630001068115234
2015-03-04,32.415000915527344
2015-03-05,32.630001068115234
2015-03-06,32.029998779296875
2015-03-09,32.20000076293945
2015-03-10,31.440000534057617
2015-03-11,31.791000366210938
2015-03-12,31.979999542236328
2015-03-13,31.739999771118164
2015-03-16,32.310001373291016
2015-03-17,32.18000030517578
2015-03-18,32.599998474121094
2015-03-19,32.099998474121094
