,AFINP
2019-03-22,24.459999084472656
2019-03-25,24.31999969482422
2019-03-26,24.520000457763672
2019-03-27,24.329999923706055
2019-03-28,24.5
2019-03-29,24.549999237060547
2019-04-01,24.450000762939453
2019-04-02,24.893999099731445
2019-04-03,24.850000381469727
2019-04-04,25.040000915527344
2019-04-05,25.1200008392334
2019-04-08,25.110000610351562
2019-04-09,25.316999435424805
2019-04-10,25.700000762939453
2019-04-11,25.625
2019-04-12,25.59000015258789
2019-04-15,25.600000381469727
2019-04-16,25.65999984741211
2019-04-17,25.31999969482422
2019-04-18,25.429000854492188
2019-04-22,25.270000457763672
2019-04-23,25.34000015258789
2019-04-24,25.25
2019-04-25,25.200000762939453
2019-04-26,25.110000610351562
2019-04-29,25.049999237060547
2019-04-30,25.229999542236328
2019-05-01,25.25
2019-05-02,25.23900032043457
2019-05-03,25.25
2019-05-06,25.309999465942383
2019-05-07,25.260000228881836
2019-05-08,25.38800048828125
2019-05-09,25.229999542236328
2019-05-10,25.100000381469727
2019-05-13,25.200000762939453
2019-05-14,25.16900062561035
2019-05-15,25.295000076293945
2019-05-16,25.299999237060547
2019-05-17,25.299999237060547
2019-05-20,25.263999938964844
2019-05-21,25.239999771118164
2019-05-22,25.225000381469727
2019-05-23,25.225000381469727
2019-05-24,25.149999618530273
2019-05-28,25.229999542236328
2019-05-29,25.200000762939453
2019-05-30,25.200000762939453
2019-05-31,25.149999618530273
2019-06-03,25.149999618530273
2019-06-04,25.176000595092773
2019-06-05,25.270000457763672
2019-06-06,25.290000915527344
2019-06-07,25.31999969482422
2019-06-10,25.378999710083008
2019-06-11,25.280000686645508
2019-06-12,25.284000396728516
2019-06-13,25.180999755859375
2019-06-14,25.139999389648438
2019-06-17,25.190000534057617
2019-06-18,25.170000076293945
2019-06-19,25.200000762939453
2019-06-20,25.200000762939453
2019-06-21,25.3700008392334
2019-06-24,25.389999389648438
2019-06-25,25.389999389648438
2019-06-26,25.450000762939453
2019-06-27,25.399999618530273
2019-06-28,25.5
2019-07-01,25.450000762939453
2019-07-02,25.184999465942383
2019-07-03,25.209999084472656
2019-07-05,25.15999984741211
2019-07-08,25.209999084472656
2019-07-09,25.190000534057617
2019-07-10,25.299999237060547
2019-07-11,25.329999923706055
2019-07-12,25.3700008392334
2019-07-15,25.409000396728516
2019-07-16,25.440000534057617
2019-07-17,25.549999237060547
2019-07-18,25.514999389648438
2019-07-19,25.549999237060547
2019-07-22,25.530000686645508
2019-07-23,25.5
2019-07-24,25.610000610351562
2019-07-25,25.639999389648438
2019-07-26,25.75
2019-07-29,25.573999404907227
2019-07-30,25.700000762939453
2019-07-31,25.5
2019-08-01,25.610000610351562
2019-08-02,25.639999389648438
2019-08-05,25.540000915527344
2019-08-06,25.549999237060547
2019-08-07,25.527000427246094
2019-08-08,25.530000686645508
2019-08-09,25.549999237060547
2019-08-12,25.540000915527344
2019-08-13,25.540000915527344
2019-08-14,25.530000686645508
2019-08-15,25.674999237060547
2019-08-16,25.600000381469727
2019-08-19,25.600000381469727
2019-08-20,25.579999923706055
2019-08-21,25.575000762939453
2019-08-22,25.579999923706055
2019-08-23,25.579999923706055
2019-08-26,25.649999618530273
2019-08-27,25.940000534057617
2019-08-28,25.940000534057617
2019-08-29,25.920000076293945
2019-08-30,25.875
2019-09-03,25.950000762939453
2019-09-04,25.270000457763672
2019-09-05,25.235000610351562
2019-09-06,25.389999389648438
2019-09-09,25.510000228881836
2019-09-10,25.43000030517578
2019-09-11,25.610000610351562
2019-09-12,25.56999969482422
2019-09-13,25.40999984741211
2019-09-16,25.469999313354492
2019-09-17,25.5
2019-09-18,25.559999465942383
2019-09-19,25.59000015258789
2019-09-20,25.65999984741211
2019-09-23,25.709999084472656
2019-09-24,25.65999984741211
2019-09-25,25.649999618530273
2019-09-26,25.6200008392334
2019-09-27,25.600000381469727
2019-09-30,25.68000030517578
2019-10-01,25.690000534057617
2019-10-02,25.610000610351562
2019-10-03,25.219999313354492
2019-10-04,25.299999237060547
2019-10-07,25.280000686645508
2019-10-08,25.204999923706055
2019-10-09,25.239999771118164
2019-10-10,25.260000228881836
2019-10-11,25.239999771118164
2019-10-14,25.290000915527344
2019-10-15,25.3700008392334
2019-10-16,25.350000381469727
2019-10-17,25.399999618530273
2019-10-18,25.3799991607666
2019-10-21,25.408000946044922
2019-10-22,25.389999389648438
2019-10-23,25.43000030517578
2019-10-24,25.389999389648438
2019-10-25,25.43000030517578
2019-10-28,25.420000076293945
2019-10-29,25.329999923706055
2019-10-30,25.360000610351562
2019-10-31,25.309999465942383
2019-11-01,25.309999465942383
2019-11-04,25.3799991607666
2019-11-05,25.360000610351562
2019-11-06,25.374000549316406
2019-11-07,25.299999237060547
2019-11-08,25.280000686645508
2019-11-11,25.350000381469727
2019-11-12,25.280000686645508
2019-11-13,25.309999465942383
2019-11-14,25.347000122070312
2019-11-15,25.34000015258789
2019-11-18,25.360000610351562
2019-11-19,25.350000381469727
2019-11-20,25.350000381469727
2019-11-21,25.31999969482422
2019-11-22,25.350000381469727
2019-11-25,25.3799991607666
2019-11-26,25.399999618530273
2019-11-27,25.549999237060547
2019-11-29,25.549999237060547
2019-12-02,25.540000915527344
2019-12-03,25.540000915527344
2019-12-04,25.440000534057617
2019-12-05,25.280000686645508
2019-12-06,25.270000457763672
2019-12-09,25.280000686645508
2019-12-10,25.2549991607666
2019-12-11,25.260000228881836
2019-12-12,25.25
2019-12-13,25.270000457763672
2019-12-16,25.25
2019-12-17,25.209999084472656
2019-12-18,25.239999771118164
2019-12-19,25.239999771118164
2019-12-20,25.229999542236328
2019-12-23,25.260000228881836
2019-12-24,25.260000228881836
2019-12-26,25.270000457763672
2019-12-27,25.260000228881836
2019-12-30,25.260000228881836
2019-12-31,25.25
2020-01-02,25.030000686645508
2020-01-03,25.06999969482422
2020-01-06,25.079999923706055
2020-01-07,25.06999969482422
2020-01-08,25.09000015258789
2020-01-09,25.09000015258789
2020-01-10,25.100000381469727
2020-01-13,25.18000030517578
2020-01-14,25.239999771118164
2020-01-15,25.190000534057617
2020-01-16,25.190000534057617
2020-01-17,25.25
2020-01-21,25.229999542236328
2020-01-22,25.229999542236328
2020-01-23,25.239999771118164
2020-01-24,25.219999313354492
2020-01-27,25.229999542236328
2020-01-28,25.31999969482422
2020-01-29,25.350000381469727
2020-01-30,25.389999389648438
2020-01-31,25.399999618530273
2020-02-03,25.56999969482422
2020-02-04,25.5
2020-02-05,25.6200008392334
2020-02-06,25.639999389648438
2020-02-07,25.709999084472656
2020-02-10,25.709999084472656
2020-02-11,25.700000762939453
2020-02-12,25.75
2020-02-13,25.8700008392334
2020-02-14,25.75
2020-02-18,25.860000610351562
2020-02-19,25.8799991607666
2020-02-20,26.06999969482422
2020-02-21,26.010000228881836
2020-02-24,25.68000030517578
2020-02-25,25.290000915527344
2020-02-26,25.3700008392334
2020-02-27,25.06999969482422
2020-02-28,24.93000030517578
2020-03-02,25.190000534057617
2020-03-03,25.049999237060547
2020-03-04,25.433000564575195
2020-03-05,25.18000030517578
2020-03-06,25.010000228881836
2020-03-09,22.81999969482422
2020-03-10,22.149999618530273
2020-03-11,20.209999084472656
2020-03-12,15.069999694824219
2020-03-13,17.530000686645508
2020-03-16,14.5
2020-03-17,14.5
2020-03-18,11.079999923706055
2020-03-19,13.699999809265137
2020-03-20,14.694000244140625
2020-03-23,12.899999618530273
2020-03-24,14.109999656677246
2020-03-25,14.260000228881836
2020-03-26,17.760000228881836
2020-03-27,17.950000762939453
2020-03-30,17.75
2020-03-31,17.8700008392334
2020-04-01,16.690000534057617
2020-04-02,16.0
2020-04-03,15.0
2020-04-06,15.300000190734863
2020-04-07,16.25
2020-04-08,17.200000762939453
2020-04-09,19.399999618530273
2020-04-13,19.469999313354492
2020-04-14,19.5
2020-04-15,19.190000534057617
