,BPYU
2018-08-28,20.799999237060547
2018-08-29,20.639999389648438
2018-08-30,20.25
2018-08-31,20.020000457763672
2018-09-04,19.459999084472656
2018-09-05,19.260000228881836
2018-09-06,19.450000762939453
2018-09-07,19.489999771118164
2018-09-10,19.639999389648438
2018-09-11,19.610000610351562
2018-09-12,19.75
2018-09-13,19.65999984741211
2018-09-14,20.0
2018-09-17,20.15999984741211
2018-09-18,20.200000762939453
2018-09-19,20.15999984741211
2018-09-20,20.510000228881836
2018-09-21,20.84000015258789
2018-09-24,20.59000015258789
2018-09-25,20.809999465942383
2018-09-26,20.450000762939453
2018-09-27,20.649999618530273
2018-09-28,20.93000030517578
2018-10-01,20.6299991607666
2018-10-02,20.68000030517578
2018-10-03,20.459999084472656
2018-10-04,20.149999618530273
2018-10-05,19.90999984741211
2018-10-08,20.34000015258789
2018-10-09,20.239999771118164
2018-10-10,19.979999542236328
2018-10-11,19.450000762939453
2018-10-12,19.530000686645508
2018-10-15,19.780000686645508
2018-10-16,20.049999237060547
2018-10-17,19.889999389648438
2018-10-18,19.68000030517578
2018-10-19,19.700000762939453
2018-10-22,19.530000686645508
2018-10-23,19.360000610351562
2018-10-24,19.229999542236328
2018-10-25,19.309999465942383
2018-10-26,18.8700008392334
2018-10-29,18.940000534057617
2018-10-30,19.170000076293945
2018-10-31,19.290000915527344
2018-11-01,18.739999771118164
2018-11-02,18.5
2018-11-05,18.760000228881836
2018-11-06,18.760000228881836
2018-11-07,18.93000030517578
2018-11-08,19.110000610351562
2018-11-09,19.260000228881836
2018-11-12,19.15999984741211
2018-11-13,19.15999984741211
2018-11-14,18.709999084472656
2018-11-15,18.469999313354492
2018-11-16,18.420000076293945
2018-11-19,18.260000228881836
2018-11-20,17.829999923706055
2018-11-21,18.020000457763672
2018-11-23,18.079999923706055
2018-11-26,18.079999923706055
2018-11-27,17.950000762939453
2018-11-28,18.079999923706055
2018-11-29,17.489999771118164
2018-11-30,18.010000228881836
2018-12-03,17.6299991607666
2018-12-04,17.43000030517578
2018-12-06,17.5
2018-12-07,17.15999984741211
2018-12-10,16.530000686645508
2018-12-11,16.709999084472656
2018-12-12,16.760000228881836
2018-12-13,16.649999618530273
2018-12-14,16.440000534057617
2018-12-17,15.75
2018-12-18,15.760000228881836
2018-12-19,15.329999923706055
2018-12-20,15.210000038146973
2018-12-21,15.25
2018-12-24,15.010000228881836
2018-12-26,15.4399995803833
2018-12-27,15.5
2018-12-28,15.630000114440918
2018-12-31,16.100000381469727
2019-01-02,16.09000015258789
2019-01-03,16.520000457763672
2019-01-04,16.90999984741211
2019-01-07,17.170000076293945
2019-01-08,17.0
2019-01-09,17.09000015258789
2019-01-10,17.360000610351562
2019-01-11,17.549999237060547
2019-01-14,17.68000030517578
2019-01-15,17.56999969482422
2019-01-16,17.549999237060547
2019-01-17,17.559999465942383
2019-01-18,17.450000762939453
2019-01-22,17.25
2019-01-23,17.309999465942383
2019-01-24,17.579999923706055
2019-01-25,17.809999465942383
2019-01-28,17.81999969482422
2019-01-29,17.739999771118164
2019-01-30,18.049999237060547
2019-01-31,18.200000762939453
2019-02-01,18.190000534057617
2019-02-04,18.56999969482422
2019-02-05,18.690000534057617
2019-02-06,18.690000534057617
2019-02-07,19.770000457763672
2019-02-08,19.950000762939453
2019-02-11,20.06999969482422
2019-02-12,19.969999313354492
2019-02-13,20.0
2019-02-14,19.969999313354492
2019-02-15,20.010000228881836
2019-02-19,20.030000686645508
2019-02-20,19.8799991607666
2019-02-21,19.860000610351562
2019-02-22,20.040000915527344
2019-02-25,19.969999313354492
2019-02-26,19.84000015258789
2019-02-27,19.40999984741211
2019-02-28,19.6200008392334
2019-03-01,19.239999771118164
2019-03-04,19.3700008392334
2019-03-05,19.440000534057617
2019-03-06,19.450000762939453
2019-03-07,19.530000686645508
2019-03-08,19.260000228881836
2019-03-11,19.520000457763672
2019-03-12,19.799999237060547
2019-03-13,19.989999771118164
2019-03-14,20.0
2019-03-15,19.979999542236328
2019-03-18,19.920000076293945
2019-03-19,20.079999923706055
2019-03-20,20.18000030517578
2019-03-21,20.479999542236328
2019-03-22,20.40999984741211
2019-03-25,20.15999984741211
2019-03-26,20.0
2019-03-27,20.690000534057617
2019-03-28,20.709999084472656
2019-03-29,20.489999771118164
2019-04-01,20.770000457763672
2019-04-02,20.84000015258789
2019-04-03,21.0
2019-04-04,20.950000762939453
2019-04-05,20.899999618530273
2019-04-08,21.079999923706055
2019-04-09,20.75
2019-04-10,21.06999969482422
2019-04-11,21.139999389648438
2019-04-12,20.93000030517578
2019-04-15,21.1299991607666
2019-04-16,20.940000534057617
2019-04-17,20.780000686645508
2019-04-18,20.8700008392334
2019-04-22,20.809999465942383
2019-04-23,20.729999542236328
2019-04-24,20.75
2019-04-25,21.030000686645508
2019-04-26,21.049999237060547
2019-04-29,20.829999923706055
2019-04-30,20.829999923706055
2019-05-01,20.8700008392334
2019-05-02,20.829999923706055
2019-05-03,20.969999313354492
2019-05-06,20.81999969482422
2019-05-07,20.139999389648438
2019-05-08,20.100000381469727
2019-05-09,19.93000030517578
2019-05-10,19.959999084472656
2019-05-13,19.940000534057617
2019-05-14,19.760000228881836
2019-05-15,19.90999984741211
2019-05-16,19.93000030517578
2019-05-17,19.829999923706055
2019-05-20,19.459999084472656
2019-05-21,19.940000534057617
2019-05-22,19.829999923706055
2019-05-23,19.540000915527344
2019-05-24,19.6299991607666
2019-05-28,19.5
2019-05-29,18.979999542236328
2019-05-30,18.31999969482422
2019-05-31,18.440000534057617
2019-06-03,18.209999084472656
2019-06-04,18.84000015258789
2019-06-05,18.940000534057617
2019-06-06,19.149999618530273
2019-06-07,19.100000381469727
2019-06-10,18.790000915527344
2019-06-11,18.90999984741211
2019-06-12,18.700000762939453
2019-06-13,18.8799991607666
2019-06-14,18.530000686645508
2019-06-17,18.649999618530273
2019-06-18,18.84000015258789
2019-06-19,19.219999313354492
2019-06-20,19.610000610351562
2019-06-21,19.56999969482422
2019-06-24,19.459999084472656
2019-06-25,19.15999984741211
2019-06-26,18.68000030517578
2019-06-27,18.850000381469727
2019-06-28,18.889999389648438
2019-07-01,18.770000457763672
2019-07-02,19.0
2019-07-03,19.229999542236328
2019-07-05,19.309999465942383
2019-07-08,19.34000015258789
2019-07-09,19.360000610351562
2019-07-10,19.290000915527344
2019-07-11,18.90999984741211
2019-07-12,19.09000015258789
2019-07-15,19.0
2019-07-16,18.809999465942383
2019-07-17,18.829999923706055
2019-07-18,18.93000030517578
2019-07-19,18.709999084472656
2019-07-22,18.579999923706055
2019-07-23,18.90999984741211
2019-07-24,19.059999465942383
2019-07-25,19.040000915527344
2019-07-26,19.110000610351562
2019-07-29,19.25
2019-07-30,19.420000076293945
2019-07-31,19.309999465942383
2019-08-01,19.299999237060547
2019-08-02,19.0
2019-08-05,18.280000686645508
2019-08-06,18.709999084472656
2019-08-07,19.1299991607666
2019-08-08,19.549999237060547
2019-08-09,19.309999465942383
2019-08-12,19.100000381469727
2019-08-13,19.1200008392334
2019-08-14,18.709999084472656
2019-08-15,18.760000228881836
2019-08-16,19.100000381469727
2019-08-19,19.40999984741211
2019-08-20,19.3799991607666
2019-08-21,19.34000015258789
2019-08-22,19.010000228881836
2019-08-23,18.670000076293945
2019-08-26,18.90999984741211
2019-08-27,18.90999984741211
2019-08-28,19.18000030517578
2019-08-29,18.950000762939453
2019-08-30,18.81999969482422
2019-09-03,18.709999084472656
2019-09-04,18.940000534057617
2019-09-05,19.299999237060547
2019-09-06,19.389999389648438
2019-09-09,19.8799991607666
2019-09-10,20.1200008392334
2019-09-11,20.15999984741211
2019-09-12,20.280000686645508
2019-09-13,20.06999969482422
2019-09-16,20.219999313354492
2019-09-17,19.969999313354492
2019-09-18,19.8799991607666
2019-09-19,19.8700008392334
2019-09-20,19.899999618530273
2019-09-23,19.889999389648438
2019-09-24,19.850000381469727
2019-09-25,20.079999923706055
2019-09-26,20.399999618530273
2019-09-27,20.34000015258789
2019-09-30,20.389999389648438
2019-10-01,19.520000457763672
2019-10-02,19.06999969482422
2019-10-03,19.020000457763672
2019-10-04,19.030000686645508
2019-10-07,19.219999313354492
2019-10-08,18.860000610351562
2019-10-09,18.84000015258789
2019-10-10,18.889999389648438
2019-10-11,19.209999084472656
2019-10-14,19.149999618530273
2019-10-15,19.270000457763672
2019-10-16,19.049999237060547
2019-10-17,19.09000015258789
2019-10-18,19.020000457763672
2019-10-21,19.3799991607666
2019-10-22,19.559999465942383
2019-10-23,19.510000228881836
2019-10-24,19.209999084472656
2019-10-25,19.200000762939453
2019-10-28,19.25
2019-10-29,19.389999389648438
2019-10-30,19.1200008392334
2019-10-31,18.899999618530273
2019-11-01,19.0
2019-11-04,19.1299991607666
2019-11-05,18.989999771118164
2019-11-06,19.170000076293945
2019-11-07,18.989999771118164
2019-11-08,19.040000915527344
2019-11-11,18.950000762939453
2019-11-12,18.93000030517578
2019-11-13,18.920000076293945
2019-11-14,19.1299991607666
2019-11-15,19.59000015258789
2019-11-18,19.440000534057617
2019-11-19,19.40999984741211
2019-11-20,19.100000381469727
2019-11-21,19.18000030517578
2019-11-22,19.139999389648438
2019-11-25,19.260000228881836
2019-11-26,19.350000381469727
2019-11-27,19.219999313354492
2019-11-29,19.020000457763672
2019-12-02,18.8700008392334
2019-12-03,18.719999313354492
2019-12-04,18.729999542236328
2019-12-05,18.719999313354492
2019-12-06,18.799999237060547
2019-12-09,18.670000076293945
2019-12-10,18.6200008392334
2019-12-11,18.440000534057617
2019-12-12,18.309999465942383
2019-12-13,18.309999465942383
2019-12-16,18.5
2019-12-17,18.40999984741211
2019-12-18,18.479999542236328
2019-12-19,18.43000030517578
2019-12-20,18.389999389648438
2019-12-23,18.15999984741211
2019-12-24,18.239999771118164
2019-12-26,18.209999084472656
2019-12-27,18.229999542236328
2019-12-30,18.299999237060547
2019-12-31,18.450000762939453
2020-01-02,18.149999618530273
2020-01-03,18.15999984741211
2020-01-06,18.440000534057617
2020-01-07,18.239999771118164
2020-01-08,18.420000076293945
2020-01-09,18.360000610351562
2020-01-10,18.360000610351562
2020-01-13,18.5
2020-01-14,18.690000534057617
2020-01-15,19.0
2020-01-16,19.200000762939453
2020-01-17,19.829999923706055
2020-01-21,19.950000762939453
2020-01-22,19.510000228881836
2020-01-23,19.3700008392334
2020-01-24,19.170000076293945
2020-01-27,18.93000030517578
2020-01-28,19.139999389648438
2020-01-29,19.010000228881836
2020-01-30,18.799999237060547
2020-01-31,18.459999084472656
2020-02-03,18.600000381469727
2020-02-04,18.81999969482422
2020-02-05,18.670000076293945
2020-02-06,18.639999389648438
2020-02-07,18.270000457763672
2020-02-10,18.270000457763672
2020-02-11,18.219999313354492
2020-02-12,18.299999237060547
2020-02-13,18.639999389648438
2020-02-14,18.360000610351562
2020-02-18,18.459999084472656
2020-02-19,18.489999771118164
2020-02-20,18.719999313354492
2020-02-21,18.670000076293945
2020-02-24,18.5
2020-02-25,17.790000915527344
2020-02-26,17.6299991607666
2020-02-27,16.6299991607666
2020-02-28,16.309999465942383
2020-03-02,16.950000762939453
2020-03-03,16.760000228881836
2020-03-04,17.399999618530273
2020-03-05,17.350000381469727
2020-03-06,16.799999237060547
2020-03-09,15.180000305175781
2020-03-10,15.75
2020-03-11,14.229999542236328
2020-03-12,11.760000228881836
2020-03-13,13.600000381469727
2020-03-16,11.430000305175781
2020-03-17,10.680000305175781
2020-03-18,8.270000457763672
2020-03-19,8.829999923706055
2020-03-20,8.75
2020-03-23,7.46999979019165
2020-03-24,8.029999732971191
2020-03-25,9.210000038146973
2020-03-26,9.680000305175781
2020-03-27,9.0600004196167
2020-03-30,8.65999984741211
2020-03-31,8.489999771118164
2020-04-01,7.96999979019165
2020-04-02,7.960000038146973
2020-04-03,7.699999809265137
2020-04-06,8.520000457763672
2020-04-07,8.880000114440918
2020-04-08,10.079999923706055
2020-04-09,10.770000457763672
2020-04-13,10.350000381469727
2020-04-14,10.520000457763672
2020-04-15,9.520000457763672
2020-04-16,9.130000114440918
2020-04-17,9.510000228881836
2020-04-20,9.149999618530273
2020-04-21,8.40999984741211
2020-04-22,8.270000457763672
2020-04-23,8.359999656677246
2020-04-24,8.3100004196167
2020-04-27,9.140000343322754
2020-04-28,9.529999732971191
2020-04-29,10.420000076293945
2020-04-30,9.800000190734863
2020-05-01,9.15999984741211
2020-05-04,9.1899995803833
2020-05-05,9.069999694824219
2020-05-06,8.6899995803833
2020-05-07,9.079999923706055
2020-05-08,9.550000190734863
2020-05-11,9.399999618530273
2020-05-12,8.979999542236328
2020-05-13,8.489999771118164
2020-05-14,9.029999732971191
2020-05-15,8.75
2020-05-18,9.630000114440918
2020-05-19,9.510000228881836
2020-05-20,9.59000015258789
2020-05-21,9.569999694824219
2020-05-22,9.470000267028809
2020-05-26,10.619999885559082
2020-05-27,11.460000038146973
2020-05-28,10.699999809265137
2020-05-29,10.390000343322754
2020-06-01,10.529999732971191
2020-06-02,10.569999694824219
2020-06-03,11.609999656677246
2020-06-04,11.989999771118164
2020-06-05,13.430000305175781
2020-06-08,14.510000228881836
2020-06-09,13.970000267028809
2020-06-10,12.550000190734863
2020-06-11,11.220000267028809
2020-06-12,11.779999732971191
2020-06-15,11.609999656677246
2020-06-16,11.779999732971191
2020-06-17,11.210000038146973
2020-06-18,11.100000381469727
2020-06-19,10.930000305175781
2020-06-22,10.779999732971191
2020-06-23,10.850000381469727
2020-06-24,10.420000076293945
2020-06-25,10.279999732971191
2020-06-26,9.770000457763672
2020-06-29,10.180000305175781
2020-06-30,9.960000038146973
2020-07-01,10.229999542236328
2020-07-02,11.470000267028809
2020-07-06,11.720000267028809
2020-07-07,11.390000343322754
2020-07-08,11.350000381469727
2020-07-09,10.960000038146973
2020-07-10,11.130000114440918
2020-07-13,11.039999961853027
2020-07-14,11.100000381469727
2020-07-15,11.5600004196167
2020-07-16,11.15999984741211
2020-07-17,11.25
2020-07-20,11.050000190734863
2020-07-21,11.180000305175781
2020-07-22,11.260000228881836
2020-07-23,11.1899995803833
2020-07-24,11.170000076293945
2020-07-27,11.3100004196167
2020-07-28,11.550000190734863
2020-07-29,11.8100004196167
2020-07-30,11.720000267028809
