,FITB
1980-03-17,0.5430070161819458
1980-03-18,0.5397549867630005
1980-03-19,0.5365039706230164
1980-03-20,0.5332520008087158
1980-03-21,0.5332520008087158
1980-03-24,0.5267490148544312
1980-03-25,0.5169939994812012
1980-03-26,0.5104910135269165
1980-03-27,0.5104910135269165
1980-03-28,0.5072399973869324
1980-03-31,0.5104910135269165
1980-04-01,0.5072399973869324
1980-04-02,0.5072399973869324
1980-04-03,0.5039880275726318
1980-04-07,0.5039880275726318
1980-04-08,0.487731009721756
1980-04-09,0.487731009721756
1980-04-10,0.487731009721756
1980-04-11,0.487731009721756
1980-04-14,0.4909819960594177
1980-04-15,0.49423399567604065
1980-04-16,0.49423399567604065
1980-04-17,0.487731009721756
1980-04-18,0.487731009721756
1980-04-21,0.487731009721756
1980-04-22,0.487731009721756
1980-04-23,0.487731009721756
1980-04-24,0.487731009721756
1980-04-25,0.487731009721756
1980-04-28,0.487731009721756
1980-04-29,0.48447901010513306
1980-04-30,0.48447901010513306
1980-05-01,0.48447901010513306
1980-05-02,0.48447901010513306
1980-05-05,0.48447901010513306
1980-05-06,0.48447901010513306
1980-05-07,0.48447901010513306
1980-05-08,0.48447901010513306
1980-05-09,0.48447901010513306
1980-05-12,0.477975994348526
1980-05-13,0.477975994348526
1980-05-14,0.477975994348526
1980-05-15,0.477975994348526
1980-05-16,0.477975994348526
1980-05-19,0.477975994348526
1980-05-20,0.477975994348526
1980-05-21,0.477975994348526
1980-05-22,0.477975994348526
1980-05-23,0.477975994348526
1980-05-27,0.477975994348526
1980-05-28,0.477975994348526
1980-05-29,0.477975994348526
1980-05-30,0.477975994348526
1980-06-02,0.477975994348526
1980-06-03,0.477975994348526
1980-06-04,0.477975994348526
1980-06-05,0.477975994348526
1980-06-06,0.477975994348526
1980-06-09,0.477975994348526
1980-06-10,0.477975994348526
1980-06-11,0.477975994348526
1980-06-12,0.477975994348526
1980-06-13,0.477975994348526
1980-06-16,0.477975994348526
1980-06-17,0.477975994348526
1980-06-18,0.477975994348526
1980-06-19,0.477975994348526
1980-06-20,0.477975994348526
1980-06-23,0.477975994348526
1980-06-24,0.477975994348526
1980-06-25,0.477975994348526
1980-06-26,0.4747239947319031
1980-06-27,0.4747239947319031
1980-06-30,0.4747239947319031
1980-07-01,0.4747239947319031
1980-07-02,0.4747239947319031
1980-07-03,0.4747239947319031
1980-07-07,0.4747239947319031
1980-07-08,0.477975994348526
1980-07-09,0.477975994348526
1980-07-10,0.477975994348526
1980-07-11,0.477975994348526
1980-07-14,0.48447901010513306
1980-07-15,0.48447901010513306
1980-07-16,0.48447901010513306
1980-07-17,0.48447901010513306
1980-07-18,0.487731009721756
