,BVS
2021-02-11,19.209999084472656
2021-02-12,17.219999313354492
2021-02-16,16.280000686645508
2021-02-17,14.75
2021-02-18,13.600000381469727
2021-02-19,13.989999771118164
2021-02-22,13.829999923706055
2021-02-23,13.260000228881836
2021-02-24,13.210000038146973
2021-02-25,12.989999771118164
2021-02-26,12.180000305175781
2021-03-01,12.989999771118164
2021-03-02,13.0
2021-03-03,13.0
2021-03-04,11.970000267028809
2021-03-05,11.489999771118164
2021-03-08,11.510000228881836
2021-03-09,12.34000015258789
2021-03-10,12.520000457763672
2021-03-11,14.0
2021-03-12,14.350000381469727
2021-03-15,14.8100004196167
2021-03-16,14.25
2021-03-17,14.0
2021-03-18,14.779999732971191
2021-03-19,14.920000076293945
2021-03-22,15.579999923706055
2021-03-23,15.829999923706055
2021-03-24,15.5
2021-03-25,16.309999465942383
2021-03-26,14.75
2021-03-29,15.149999618530273
2021-03-30,15.4399995803833
2021-03-31,15.279999732971191
2021-04-01,15.229999542236328
2021-04-05,15.369999885559082
2021-04-06,14.600000381469727
2021-04-07,13.75
2021-04-08,13.979999542236328
2021-04-09,13.75
2021-04-12,13.800000190734863
2021-04-13,14.319999694824219
2021-04-14,14.609999656677246
2021-04-15,14.770000457763672
2021-04-16,14.819999694824219
2021-04-19,14.779999732971191
2021-04-20,15.220000267028809
2021-04-21,14.739999771118164
2021-04-22,14.300000190734863
2021-04-23,14.09000015258789
2021-04-26,14.270000457763672
2021-04-27,14.869999885559082
2021-04-28,14.739999771118164
2021-04-29,14.399999618530273
2021-04-30,14.399999618530273
2021-05-03,14.050000190734863
2021-05-04,14.079999923706055
2021-05-05,14.09000015258789
2021-05-06,14.550000190734863
2021-05-07,14.649999618530273
2021-05-10,14.899999618530273
2021-05-11,15.75
2021-05-12,15.430000305175781
2021-05-13,15.90999984741211
2021-05-14,15.850000381469727
