,DFH
2021-01-21,20.950000762939453
2021-01-22,21.389999389648438
2021-01-25,21.5
2021-01-26,23.059999465942383
2021-01-27,22.479999542236328
2021-01-28,20.600000381469727
2021-01-29,23.149999618530273
2021-02-01,25.940000534057617
2021-02-02,24.649999618530273
2021-02-03,26.0
2021-02-04,27.600000381469727
2021-02-05,29.90999984741211
2021-02-08,29.90999984741211
2021-02-09,29.799999237060547
2021-02-10,29.56999969482422
2021-02-11,28.959999084472656
2021-02-12,28.860000610351562
2021-02-16,24.899999618530273
2021-02-17,26.139999389648438
2021-02-18,25.790000915527344
2021-02-19,26.510000228881836
2021-02-22,25.079999923706055
2021-02-23,24.610000610351562
2021-02-24,25.170000076293945
2021-02-25,23.90999984741211
2021-02-26,23.43000030517578
2021-03-01,22.360000610351562
2021-03-02,23.219999313354492
2021-03-03,23.239999771118164
2021-03-04,23.200000762939453
2021-03-05,21.559999465942383
2021-03-08,22.170000076293945
2021-03-09,23.6200008392334
2021-03-10,25.059999465942383
2021-03-11,26.079999923706055
2021-03-12,26.5
2021-03-15,26.969999313354492
2021-03-16,25.760000228881836
2021-03-17,25.030000686645508
2021-03-18,22.760000228881836
2021-03-19,22.190000534057617
2021-03-22,22.770000457763672
2021-03-23,22.15999984741211
2021-03-24,22.0
2021-03-25,21.8799991607666
2021-03-26,23.239999771118164
2021-03-29,22.579999923706055
2021-03-30,23.489999771118164
2021-03-31,24.06999969482422
2021-04-01,24.940000534057617
2021-04-05,24.90999984741211
2021-04-06,24.600000381469727
2021-04-07,23.780000686645508
2021-04-08,23.450000762939453
2021-04-09,23.899999618530273
2021-04-12,23.959999084472656
2021-04-13,23.600000381469727
2021-04-14,23.950000762939453
2021-04-15,23.15999984741211
2021-04-16,23.260000228881836
2021-04-19,22.530000686645508
2021-04-20,22.139999389648438
2021-04-21,23.030000686645508
2021-04-22,23.299999237060547
2021-04-23,23.889999389648438
2021-04-26,24.65999984741211
2021-04-27,25.25
2021-04-28,25.790000915527344
2021-04-29,25.940000534057617
2021-04-30,25.280000686645508
2021-05-03,26.079999923706055
2021-05-04,26.110000610351562
2021-05-05,26.959999084472656
2021-05-06,26.290000915527344
2021-05-07,27.540000915527344
2021-05-10,28.149999618530273
2021-05-11,27.950000762939453
2021-05-12,24.93000030517578
2021-05-13,25.479999542236328
2021-05-14,25.899999618530273
