,EBON
2020-06-26,5.0
2020-06-29,4.5
2020-06-30,4.730000019073486
2020-07-01,3.9700000286102295
2020-07-02,4.369999885559082
2020-07-06,4.239999771118164
2020-07-07,4.110000133514404
2020-07-08,4.210000038146973
2020-07-09,4.150000095367432
2020-07-10,4.199999809265137
2020-07-13,4.590000152587891
2020-07-14,4.75
2020-07-15,5.5
2020-07-16,5.059999942779541
2020-07-17,4.860000133514404
2020-07-20,4.440000057220459
2020-07-21,4.5
2020-07-22,4.409999847412109
2020-07-23,4.389999866485596
2020-07-24,4.199999809265137
2020-07-27,4.789999961853027
2020-07-28,4.659999847412109
2020-07-29,4.800000190734863
2020-07-30,4.570000171661377
2020-07-31,4.570000171661377
2020-08-03,4.880000114440918
2020-08-04,4.570000171661377
2020-08-05,4.670000076293945
2020-08-06,4.829999923706055
2020-08-07,4.820000171661377
2020-08-10,4.78000020980835
2020-08-11,4.710000038146973
2020-08-12,4.619999885559082
2020-08-13,4.739999771118164
2020-08-14,6.71999979019165
2020-08-17,6.320000171661377
2020-08-18,6.059999942779541
2020-08-19,5.769999980926514
2020-08-20,5.829999923706055
2020-08-21,5.809999942779541
2020-08-24,5.829999923706055
2020-08-25,5.980000019073486
2020-08-26,6.230000019073486
2020-08-27,6.150000095367432
2020-08-28,6.28000020980835
2020-08-31,6.099999904632568
2020-09-01,6.0
2020-09-02,6.050000190734863
2020-09-03,6.96999979019165
2020-09-04,7.440000057220459
2020-09-08,7.070000171661377
2020-09-09,7.400000095367432
2020-09-10,7.820000171661377
2020-09-11,7.710000038146973
2020-09-14,7.909999847412109
2020-09-15,7.860000133514404
2020-09-16,7.989999771118164
2020-09-17,10.59000015258789
2020-09-18,9.850000381469727
2020-09-21,9.869999885559082
2020-09-22,9.630000114440918
2020-09-23,9.960000038146973
2020-09-24,9.609999656677246
2020-09-25,9.850000381469727
2020-09-28,9.800000190734863
2020-09-29,10.380000114440918
2020-09-30,10.430000305175781
2020-10-01,10.5600004196167
2020-10-02,9.380000114440918
2020-10-05,9.199999809265137
2020-10-06,9.420000076293945
2020-10-07,9.619999885559082
2020-10-08,9.729999542236328
2020-10-09,9.760000228881836
2020-10-12,9.199999809265137
2020-10-13,10.220000267028809
2020-10-14,9.850000381469727
2020-10-15,9.319999694824219
2020-10-16,9.34000015258789
2020-10-19,9.199999809265137
2020-10-20,9.039999961853027
2020-10-21,9.140000343322754
2020-10-22,9.770000457763672
2020-10-23,9.229999542236328
2020-10-26,9.3100004196167
2020-10-27,9.15999984741211
