,CMPS
2020-09-18,29.0
2020-09-21,28.829999923706055
2020-09-22,38.38999938964844
2020-09-23,36.75
2020-09-24,39.939998626708984
2020-09-25,43.16999816894531
2020-09-28,37.0
2020-09-29,35.61000061035156
2020-09-30,34.900001525878906
2020-10-01,33.79999923706055
2020-10-02,36.81999969482422
2020-10-05,40.099998474121094
2020-10-06,39.599998474121094
2020-10-07,42.45000076293945
2020-10-08,38.099998474121094
2020-10-09,34.61000061035156
2020-10-12,35.15999984741211
2020-10-13,38.81999969482422
2020-10-14,38.650001525878906
2020-10-15,37.959999084472656
2020-10-16,38.83000183105469
2020-10-19,36.83000183105469
2020-10-20,37.93000030517578
2020-10-21,35.16999816894531
2020-10-22,34.20000076293945
2020-10-23,38.38999938964844
2020-10-26,35.70000076293945
2020-10-27,35.619998931884766
2020-10-28,32.810001373291016
2020-10-29,33.130001068115234
2020-10-30,32.0
2020-11-02,32.58000183105469
2020-11-03,32.9900016784668
2020-11-04,35.939998626708984
2020-11-05,39.849998474121094
2020-11-06,38.709999084472656
2020-11-09,37.11000061035156
2020-11-10,35.310001373291016
2020-11-11,35.79999923706055
2020-11-12,34.810001373291016
2020-11-13,35.72999954223633
2020-11-16,35.9900016784668
2020-11-17,36.310001373291016
2020-11-18,34.290000915527344
2020-11-19,33.939998626708984
2020-11-20,33.83000183105469
2020-11-23,35.72999954223633
2020-11-24,37.29999923706055
2020-11-25,40.83000183105469
2020-11-27,47.45000076293945
2020-11-30,49.84000015258789
2020-12-01,44.61000061035156
2020-12-02,48.08000183105469
2020-12-03,53.470001220703125
2020-12-04,49.0
2020-12-07,54.83000183105469
2020-12-08,54.779998779296875
2020-12-09,55.54999923706055
2020-12-10,54.29999923706055
2020-12-11,57.849998474121094
2020-12-14,55.15999984741211
2020-12-15,55.45000076293945
2020-12-16,56.689998626708984
2020-12-17,56.95000076293945
2020-12-18,56.9900016784668
2020-12-21,55.470001220703125
2020-12-22,55.11000061035156
2020-12-23,59.20000076293945
2020-12-24,55.029998779296875
2020-12-28,52.5
2020-12-29,51.290000915527344
2020-12-30,48.47999954223633
2020-12-31,47.63999938964844
2021-01-04,43.599998474121094
2021-01-05,44.220001220703125
2021-01-06,46.849998474121094
2021-01-07,46.650001525878906
2021-01-08,45.209999084472656
2021-01-11,44.15999984741211
2021-01-12,42.09000015258789
2021-01-13,42.0
2021-01-14,42.83000183105469
2021-01-15,42.5
2021-01-19,45.33000183105469
2021-01-20,44.81999969482422
2021-01-21,44.93000030517578
2021-01-22,48.31999969482422
2021-01-25,44.959999084472656
2021-01-26,44.5
2021-01-27,43.560001373291016
2021-01-28,43.970001220703125
2021-01-29,43.83000183105469
2021-02-01,42.5
2021-02-02,42.7599983215332
2021-02-03,45.63999938964844
2021-02-04,46.18000030517578
2021-02-05,45.25
2021-02-08,45.79999923706055
2021-02-09,44.720001220703125
2021-02-10,44.68000030517578
2021-02-11,49.97999954223633
2021-02-12,48.75
2021-02-16,47.65999984741211
2021-02-17,49.90999984741211
2021-02-18,47.970001220703125
2021-02-19,53.119998931884766
2021-02-22,57.5
2021-02-23,51.43000030517578
2021-02-24,50.11000061035156
2021-02-25,48.209999084472656
2021-02-26,45.119998931884766
2021-03-01,49.86000061035156
2021-03-02,47.81999969482422
2021-03-03,45.59000015258789
2021-03-04,39.61000061035156
2021-03-05,41.08000183105469
2021-03-08,39.5099983215332
2021-03-09,44.25
2021-03-10,39.02000045776367
2021-03-11,40.91999816894531
2021-03-12,41.29999923706055
2021-03-15,42.36000061035156
2021-03-16,41.68000030517578
2021-03-17,42.7599983215332
2021-03-18,39.810001373291016
2021-03-19,39.25
2021-03-22,38.439998626708984
2021-03-23,36.7599983215332
2021-03-24,35.5
2021-03-25,35.79999923706055
2021-03-26,34.75
2021-03-29,35.0
2021-03-30,35.29999923706055
2021-03-31,36.81999969482422
2021-04-01,37.5
2021-04-05,37.439998626708984
2021-04-06,36.349998474121094
2021-04-07,37.0
2021-04-08,37.15999984741211
2021-04-09,35.79999923706055
2021-04-12,38.189998626708984
2021-04-13,36.369998931884766
2021-04-14,35.95000076293945
2021-04-15,34.029998779296875
2021-04-16,34.349998474121094
2021-04-19,34.34000015258789
2021-04-20,32.290000915527344
2021-04-21,33.59000015258789
2021-04-22,34.220001220703125
2021-04-23,35.29999923706055
2021-04-26,37.400001525878906
2021-04-27,39.0
2021-04-28,35.91999816894531
2021-04-29,38.959999084472656
2021-04-30,36.290000915527344
2021-05-03,36.20000076293945
2021-05-04,34.779998779296875
2021-05-05,34.849998474121094
2021-05-06,34.65999984741211
2021-05-07,34.06999969482422
2021-05-10,35.77000045776367
2021-05-11,35.58000183105469
2021-05-12,35.0
2021-05-13,32.790000915527344
2021-05-14,34.38999938964844
