,CONN
2003-11-25,15.039999961853027
2003-11-26,15.600000381469727
2003-11-28,15.899999618530273
2003-12-01,16.190000534057617
2003-12-02,16.100000381469727
2003-12-03,16.0
2003-12-04,15.550000190734863
2003-12-05,15.579999923706055
2003-12-08,15.75
2003-12-09,15.609999656677246
2003-12-10,15.649999618530273
2003-12-11,15.069999694824219
2003-12-12,15.010000228881836
2003-12-15,14.170000076293945
2003-12-16,14.850000381469727
2003-12-17,15.050000190734863
2003-12-18,15.5
2003-12-19,15.5
2003-12-22,15.300000190734863
2003-12-23,15.600000381469727
2003-12-24,15.739999771118164
2003-12-26,15.880000114440918
2003-12-29,16.0
2003-12-30,16.0
2003-12-31,16.100000381469727
2004-01-02,16.0
2004-01-05,16.100000381469727
2004-01-06,16.059999465942383
2004-01-07,15.920000076293945
2004-01-08,15.899999618530273
2004-01-09,15.9399995803833
2004-01-12,15.9399995803833
2004-01-13,15.84000015258789
2004-01-14,16.149999618530273
2004-01-15,16.200000762939453
2004-01-16,15.9399995803833
2004-01-20,16.040000915527344
2004-01-21,16.549999237060547
2004-01-22,16.450000762939453
2004-01-23,16.479999542236328
2004-01-26,16.489999771118164
2004-01-27,16.25
2004-01-28,16.149999618530273
2004-01-29,16.170000076293945
2004-01-30,16.0
2004-02-02,16.440000534057617
2004-02-03,16.049999237060547
2004-02-04,16.25
2004-02-05,16.780000686645508
2004-02-06,16.649999618530273
2004-02-09,16.969999313354492
2004-02-10,16.59000015258789
2004-02-11,16.770000457763672
2004-02-12,17.06999969482422
2004-02-13,16.700000762939453
2004-02-17,16.25
2004-02-18,16.399999618530273
2004-02-19,16.510000228881836
2004-02-20,16.700000762939453
2004-02-23,16.34000015258789
2004-02-24,16.5
2004-02-25,16.350000381469727
2004-02-26,16.34000015258789
2004-02-27,16.34000015258789
2004-03-01,16.700000762939453
2004-03-02,16.25
2004-03-03,16.350000381469727
2004-03-04,16.520000457763672
2004-03-05,16.200000762939453
2004-03-08,16.200000762939453
2004-03-09,15.920000076293945
2004-03-10,15.90999984741211
2004-03-11,15.970000267028809
2004-03-12,15.760000228881836
2004-03-15,15.5
2004-03-16,15.449999809265137
2004-03-17,15.229999542236328
2004-03-18,15.350000381469727
2004-03-19,15.210000038146973
2004-03-22,14.720000267028809
2004-03-23,15.029999732971191
2004-03-24,15.460000038146973
2004-03-25,15.869999885559082
2004-03-26,15.789999961853027
2004-03-29,15.899999618530273
2004-03-30,15.819999694824219
2004-03-31,15.739999771118164
2004-04-01,15.5
2004-04-02,15.5
2004-04-05,15.9399995803833
2004-04-06,15.9399995803833
2004-04-07,16.049999237060547
2004-04-08,15.920000076293945
2004-04-12,16.389999389648438
2004-04-13,16.530000686645508
2004-04-14,16.440000534057617
2004-04-15,16.889999389648438
2004-04-16,16.979999542236328
2004-04-19,17.0
2004-04-20,17.0
2004-04-21,16.989999771118164
2004-04-22,17.059999465942383
2004-04-23,17.450000762939453
2004-04-26,17.649999618530273
2004-04-27,17.610000610351562
2004-04-28,17.549999237060547
2004-04-29,17.510000228881836
2004-04-30,16.600000381469727
2004-05-03,17.059999465942383
2004-05-04,17.520000457763672
2004-05-05,17.860000610351562
2004-05-06,18.469999313354492
2004-05-07,18.93000030517578
2004-05-10,18.31999969482422
2004-05-11,17.559999465942383
2004-05-12,17.489999771118164
2004-05-13,17.360000610351562
2004-05-14,17.0
2004-05-17,16.3799991607666
2004-05-18,16.489999771118164
2004-05-19,16.459999084472656
2004-05-20,17.020000457763672
2004-05-21,16.200000762939453
2004-05-24,16.489999771118164
2004-05-25,16.399999618530273
2004-05-26,16.799999237060547
2004-05-27,17.190000534057617
2004-05-28,17.0
2004-06-01,17.670000076293945
2004-06-02,17.100000381469727
2004-06-03,17.34000015258789
2004-06-04,17.540000915527344
2004-06-07,17.149999618530273
2004-06-08,17.049999237060547
2004-06-09,17.09000015258789
2004-06-10,17.25
2004-06-14,17.049999237060547
2004-06-15,17.350000381469727
2004-06-16,17.18000030517578
2004-06-17,17.25
2004-06-18,16.969999313354492
2004-06-21,17.190000534057617
2004-06-22,17.200000762939453
2004-06-23,17.219999313354492
2004-06-24,17.059999465942383
2004-06-25,16.600000381469727
2004-06-28,16.06999969482422
