,AMSF
2005-11-18,9.0
2005-11-21,9.300000190734863
2005-11-22,9.1899995803833
2005-11-23,9.220000267028809
2005-11-25,9.5
2005-11-28,9.779999732971191
2005-11-29,9.850000381469727
2005-11-30,9.829999923706055
2005-12-01,9.899999618530273
2005-12-02,9.9399995803833
2005-12-05,10.050000190734863
2005-12-06,9.960000038146973
2005-12-07,9.9399995803833
2005-12-08,9.989999771118164
2005-12-09,10.380000114440918
2005-12-12,10.399999618530273
2005-12-13,10.199999809265137
2005-12-14,10.300000190734863
2005-12-15,9.899999618530273
2005-12-16,10.449999809265137
2005-12-19,10.4399995803833
2005-12-20,10.0
2005-12-21,10.239999771118164
2005-12-22,9.800000190734863
2005-12-23,9.579999923706055
2005-12-27,9.550000190734863
2005-12-28,10.100000381469727
2005-12-29,10.130000114440918
2005-12-30,10.069999694824219
2006-01-03,9.800000190734863
2006-01-04,9.75
2006-01-05,9.90999984741211
2006-01-06,10.100000381469727
2006-01-09,10.15999984741211
2006-01-10,10.170000076293945
2006-01-11,10.020000457763672
2006-01-12,10.050000190734863
2006-01-13,10.140000343322754
2006-01-17,9.970000267028809
2006-01-18,10.0
2006-01-19,10.100000381469727
2006-01-20,10.0
2006-01-23,9.960000038146973
2006-01-24,10.09000015258789
2006-01-25,10.0
2006-01-26,11.640000343322754
2006-01-27,10.279999732971191
2006-01-30,10.1899995803833
2006-01-31,10.239999771118164
2006-02-01,10.050000190734863
2006-02-02,10.1899995803833
2006-02-03,10.300000190734863
2006-02-06,10.029999732971191
2006-02-07,10.010000228881836
2006-02-08,9.960000038146973
2006-02-09,9.899999618530273
2006-02-10,9.550000190734863
2006-02-13,9.399999618530273
2006-02-14,9.0600004196167
2006-02-15,9.289999961853027
2006-02-16,9.350000381469727
2006-02-17,9.350000381469727
2006-02-21,8.970000267028809
2006-02-22,9.029999732971191
2006-02-23,9.0
2006-02-24,8.75
2006-02-27,8.6899995803833
2006-02-28,9.59000015258789
2006-03-01,9.949999809265137
2006-03-02,10.5
2006-03-03,10.770000457763672
2006-03-06,11.0
2006-03-07,10.699999809265137
2006-03-08,10.390000343322754
2006-03-09,10.600000381469727
2006-03-10,10.65999984741211
2006-03-13,10.5
2006-03-14,10.25
2006-03-15,10.319999694824219
2006-03-16,10.600000381469727
2006-03-17,11.0600004196167
2006-03-20,10.979999542236328
2006-03-21,10.899999618530273
2006-03-22,11.0600004196167
2006-03-23,10.859999656677246
2006-03-24,11.100000381469727
2006-03-27,10.729999542236328
2006-03-28,10.75
2006-03-29,10.699999809265137
2006-03-30,11.489999771118164
2006-03-31,12.0
2006-04-03,12.0
2006-04-04,12.470000267028809
2006-04-05,12.050000190734863
2006-04-06,12.0
2006-04-07,12.220000267028809
2006-04-10,12.15999984741211
2006-04-11,12.0
2006-04-12,11.989999771118164
2006-04-13,12.0
2006-04-17,12.5
2006-04-18,12.0
2006-04-19,12.289999961853027
2006-04-20,11.949999809265137
2006-04-21,11.920000076293945
2006-04-24,12.0
2006-04-25,12.0
2006-04-26,12.09000015258789
2006-04-27,12.449999809265137
2006-04-28,11.699999809265137
2006-05-01,11.520000457763672
2006-05-02,11.100000381469727
2006-05-03,11.520000457763672
2006-05-04,11.300000190734863
2006-05-05,11.25
2006-05-08,11.640000343322754
2006-05-09,12.25
2006-05-10,12.890000343322754
2006-05-11,12.5
2006-05-12,13.0
2006-05-15,12.270000457763672
2006-05-16,12.270000457763672
2006-05-17,12.0
2006-05-18,11.75
2006-05-19,11.680000305175781
2006-05-22,11.470000267028809
2006-05-23,11.600000381469727
2006-05-24,11.180000305175781
2006-05-25,11.710000038146973
2006-05-26,11.789999961853027
2006-05-30,11.300000190734863
2006-05-31,11.25
2006-06-01,11.529999732971191
2006-06-02,11.319999694824219
2006-06-05,11.8100004196167
2006-06-06,11.899999618530273
2006-06-07,11.279999732971191
2006-06-08,11.489999771118164
2006-06-09,11.3100004196167
2006-06-12,11.5
2006-06-13,11.220000267028809
2006-06-14,10.850000381469727
2006-06-15,11.25
2006-06-16,10.670000076293945
2006-06-19,11.010000228881836
2006-06-20,11.09000015258789
2006-06-21,11.34000015258789
2006-06-22,11.34000015258789
2006-06-23,10.970000267028809
2006-06-26,10.899999618530273
2006-06-27,11.350000381469727
2006-06-28,11.710000038146973
2006-06-29,11.899999618530273
2006-06-30,12.4399995803833
2006-07-03,12.729999542236328
2006-07-05,12.279999732971191
2006-07-06,12.5
2006-07-07,12.0
2006-07-10,12.5
2006-07-11,13.0
2006-07-12,13.289999961853027
2006-07-13,13.180000305175781
2006-07-14,12.989999771118164
2006-07-17,12.399999618530273
2006-07-18,12.869999885559082
2006-07-19,12.300000190734863
2006-07-20,12.369999885559082
2006-07-21,11.949999809265137
2006-07-24,11.529999732971191
2006-07-25,11.149999618530273
2006-07-26,11.100000381469727
2006-07-27,11.180000305175781
2006-07-28,11.100000381469727
2006-07-31,11.199999809265137
2006-08-01,12.319999694824219
2006-08-02,12.449999809265137
2006-08-03,12.399999618530273
2006-08-04,11.619999885559082
2006-08-07,11.020000457763672
2006-08-08,11.0
2006-08-09,12.149999618530273
2006-08-10,12.0
2006-08-11,12.039999961853027
2006-08-14,12.5
2006-08-15,12.399999618530273
2006-08-16,12.109999656677246
2006-08-17,12.260000228881836
2006-08-18,11.9399995803833
2006-08-21,12.210000038146973
2006-08-22,11.880000114440918
2006-08-23,11.880000114440918
2006-08-24,11.850000381469727
2006-08-25,11.640000343322754
2006-08-28,12.0
2006-08-29,11.25
2006-08-30,10.9399995803833
2006-08-31,10.75
2006-09-01,10.9399995803833
2006-09-05,10.989999771118164
2006-09-06,11.0
2006-09-07,10.789999961853027
2006-09-08,10.729999542236328
2006-09-11,10.739999771118164
2006-09-12,10.739999771118164
2006-09-13,10.899999618530273
2006-09-14,11.210000038146973
2006-09-15,10.989999771118164
2006-09-18,10.819999694824219
2006-09-19,10.5600004196167
2006-09-20,10.390000343322754
2006-09-21,10.1899995803833
2006-09-22,9.770000457763672
2006-09-25,9.979999542236328
2006-09-26,9.880000114440918
2006-09-27,9.75
2006-09-28,9.4399995803833
2006-09-29,9.800000190734863
2006-10-02,9.529999732971191
2006-10-03,9.569999694824219
2006-10-04,9.59000015258789
2006-10-05,10.859999656677246
2006-10-06,10.800000190734863
2006-10-09,10.5600004196167
2006-10-10,10.430000305175781
2006-10-11,11.1899995803833
2006-10-12,11.350000381469727
2006-10-13,11.59000015258789
2006-10-16,11.859999656677246
2006-10-17,12.399999618530273
2006-10-18,12.329999923706055
2006-10-19,12.199999809265137
2006-10-20,11.65999984741211
2006-10-23,11.34000015258789
2006-10-24,11.5
2006-10-25,11.5
2006-10-26,11.619999885559082
2006-10-27,12.199999809265137
2006-10-30,12.399999618530273
2006-10-31,12.460000038146973
2006-11-01,12.039999961853027
2006-11-02,12.430000305175781
2006-11-03,12.010000228881836
2006-11-06,12.0
2006-11-07,11.75
2006-11-08,12.109999656677246
2006-11-09,12.149999618530273
2006-11-10,11.5
2006-11-13,11.25
2006-11-14,11.510000228881836
2006-11-15,12.050000190734863
2006-11-16,12.75
2006-11-17,13.0
2006-11-20,12.9399995803833
2006-11-21,12.75
2006-11-22,12.8100004196167
2006-11-24,13.140000343322754
2006-11-27,13.100000381469727
2006-11-28,13.850000381469727
2006-11-29,14.140000343322754
2006-11-30,13.65999984741211
2006-12-01,13.6899995803833
2006-12-04,13.859999656677246
2006-12-05,13.699999809265137
2006-12-06,13.630000114440918
2006-12-07,13.699999809265137
2006-12-08,13.770000457763672
2006-12-11,13.649999618530273
2006-12-12,13.510000228881836
2006-12-13,13.59000015258789
2006-12-14,14.1899995803833
2006-12-15,13.979999542236328
2006-12-18,14.25
