,CSII
2006-06-28,101.0
2006-06-29,101.0
2006-06-30,103.80000305175781
2006-07-03,103.80000305175781
2006-07-05,103.19999694824219
2006-07-06,101.80000305175781
2006-07-07,102.0999984741211
2006-07-10,101.80000305175781
2006-07-11,102.0
2006-07-12,100.5999984741211
2006-07-13,100.0
2006-07-14,100.0
2006-07-17,100.0
2006-07-18,100.0
2006-07-19,100.0
2006-07-20,100.0
2006-07-21,100.0
2006-07-24,100.0
2006-07-25,101.0
2006-07-26,101.19999694824219
2006-07-27,101.0
2006-07-28,100.30000305175781
2006-07-31,96.0
2006-08-01,96.30000305175781
2006-08-02,100.0
2006-08-03,101.80000305175781
2006-08-04,100.30000305175781
2006-08-07,100.0
2006-08-08,104.0
2006-08-09,100.69999694824219
2006-08-10,101.0
2006-08-11,100.0
2006-08-14,100.30000305175781
2006-08-15,100.9000015258789
2006-08-16,101.5
2006-08-17,102.5
2006-08-18,101.80000305175781
2006-08-21,100.0
2006-08-22,100.0
2006-08-23,102.0
2006-08-24,99.0
2006-08-25,99.19999694824219
2006-08-28,97.30000305175781
2006-08-29,98.4000015258789
2006-08-30,100.0
2006-08-31,100.5
2006-09-01,100.0
2006-09-05,98.5
2006-09-06,98.19999694824219
2006-09-07,94.4000015258789
2006-09-08,100.5
2006-09-11,100.9000015258789
2006-09-12,103.0
2006-09-13,101.0
2006-09-14,100.5
2006-09-15,97.5
2006-09-18,98.0
2006-09-19,98.0
2006-09-20,92.80000305175781
2006-09-21,93.9000015258789
2006-09-22,93.0999984741211
2006-09-25,90.0
2006-09-26,88.19999694824219
2006-09-27,94.19999694824219
2006-09-28,93.4000015258789
2006-09-29,94.0999984741211
2006-10-02,90.0
2006-10-03,90.80000305175781
2006-10-04,92.9000015258789
2006-10-05,92.0
2006-10-06,93.0999984741211
2006-10-09,94.0999984741211
2006-10-10,93.80000305175781
2006-10-11,93.30000305175781
2006-10-12,96.4000015258789
2006-10-13,95.0999984741211
2006-10-16,101.30000305175781
2006-10-17,96.69999694824219
2006-10-18,96.19999694824219
2006-10-19,97.0999984741211
2006-10-20,102.4000015258789
2006-10-23,55.900001525878906
2006-10-24,54.099998474121094
2006-10-25,52.400001525878906
2006-10-26,51.900001525878906
2006-10-27,52.0
2006-10-30,51.900001525878906
2006-10-31,52.29999923706055
2006-11-01,52.5
2006-11-02,52.0
2006-11-03,52.29999923706055
2006-11-06,52.20000076293945
2006-11-07,55.5
2006-11-08,54.5
2006-11-09,56.79999923706055
2006-11-10,60.20000076293945
2006-11-13,67.69999694824219
2006-11-14,63.70000076293945
2006-11-15,66.5999984741211
2006-11-16,64.19999694824219
2006-11-17,64.0
2006-11-20,61.900001525878906
2006-11-21,61.400001525878906
2006-11-22,60.400001525878906
2006-11-24,58.20000076293945
2006-11-27,57.099998474121094
2006-11-28,60.0
2006-11-29,61.70000076293945
2006-11-30,61.400001525878906
2006-12-01,60.70000076293945
2006-12-04,61.599998474121094
2006-12-05,62.0
2006-12-06,61.79999923706055
2006-12-07,61.29999923706055
2006-12-08,61.5
2006-12-11,61.5
2006-12-12,61.29999923706055
2006-12-13,61.29999923706055
2006-12-14,61.79999923706055
2006-12-15,63.5
2006-12-18,61.79999923706055
2006-12-19,61.70000076293945
2006-12-20,62.79999923706055
2006-12-21,64.9000015258789
2006-12-22,63.0
2006-12-26,62.5
2006-12-27,59.79999923706055
2006-12-28,59.79999923706055
2006-12-29,57.400001525878906
2007-01-03,56.5
2007-01-04,54.900001525878906
2007-01-05,53.0
2007-01-08,52.70000076293945
2007-01-09,51.099998474121094
2007-01-10,52.5
2007-01-11,52.70000076293945
2007-01-12,51.400001525878906
2007-01-16,52.20000076293945
2007-01-17,51.29999923706055
2007-01-18,48.900001525878906
2007-01-19,48.70000076293945
2007-01-22,48.5
2007-01-23,49.900001525878906
2007-01-24,49.70000076293945
2007-01-25,49.5
2007-01-26,47.900001525878906
2007-01-29,47.599998474121094
2007-01-30,49.599998474121094
2007-01-31,49.5
2007-02-01,49.400001525878906
2007-02-02,48.5
2007-02-05,48.400001525878906
2007-02-06,47.29999923706055
2007-02-07,47.5
2007-02-08,47.79999923706055
2007-02-09,47.900001525878906
2007-02-12,50.099998474121094
2007-02-13,50.0
2007-02-14,50.0
2007-02-15,50.0
2007-02-16,50.099998474121094
2007-02-20,49.900001525878906
2007-02-21,50.70000076293945
2007-02-22,50.400001525878906
2007-02-23,51.20000076293945
2007-02-26,51.79999923706055
2007-02-27,54.900001525878906
2007-02-28,56.5
2007-03-01,57.5
2007-03-02,54.29999923706055
2007-03-05,51.400001525878906
2007-03-06,54.20000076293945
2007-03-07,53.5
2007-03-08,52.70000076293945
2007-03-09,55.599998474121094
2007-03-12,57.099998474121094
2007-03-13,57.20000076293945
2007-03-14,57.20000076293945
2007-03-15,56.0
2007-03-16,56.29999923706055
2007-03-19,54.29999923706055
2007-03-20,55.0
2007-03-21,56.79999923706055
2007-03-22,56.79999923706055
2007-03-23,57.900001525878906
2007-03-26,58.0
2007-03-27,55.0
2007-03-28,56.20000076293945
2007-03-29,56.400001525878906
2007-03-30,55.599998474121094
2007-04-02,57.400001525878906
2007-04-03,57.0
2007-04-04,54.900001525878906
2007-04-05,54.099998474121094
2007-04-09,53.5
2007-04-10,54.20000076293945
2007-04-11,52.20000076293945
2007-04-12,52.70000076293945
2007-04-13,52.0
2007-04-16,55.0
2007-04-17,54.29999923706055
2007-04-18,53.400001525878906
2007-04-19,53.29999923706055
2007-04-20,54.099998474121094
2007-04-23,54.0
2007-04-24,53.599998474121094
2007-04-25,54.29999923706055
2007-04-26,53.5
2007-04-27,53.0
2007-04-30,51.79999923706055
2007-05-01,51.20000076293945
2007-05-02,51.5
2007-05-03,51.5
2007-05-04,54.400001525878906
2007-05-07,53.70000076293945
2007-05-08,52.900001525878906
2007-05-09,54.599998474121094
2007-05-10,55.400001525878906
2007-05-11,55.400001525878906
2007-05-14,53.5
2007-05-15,55.099998474121094
2007-05-16,55.20000076293945
2007-05-17,53.099998474121094
2007-05-18,55.0
2007-05-21,54.599998474121094
2007-05-22,55.0
2007-05-23,58.0
2007-05-24,57.900001525878906
2007-05-25,57.70000076293945
2007-05-29,57.29999923706055
2007-05-30,56.70000076293945
2007-05-31,56.099998474121094
2007-06-01,56.5
2007-06-04,56.5
2007-06-05,56.900001525878906
2007-06-06,58.0
2007-06-07,56.5
2007-06-08,57.20000076293945
2007-06-11,57.400001525878906
2007-06-12,57.70000076293945
2007-06-13,59.5
2007-06-14,58.79999923706055
2007-06-15,60.0
2007-06-18,57.099998474121094
2007-06-19,58.099998474121094
2007-06-20,56.0
2007-06-21,55.29999923706055
2007-06-22,59.0
2007-06-25,59.29999923706055
2007-06-26,56.29999923706055
2007-06-27,57.900001525878906
2007-06-28,56.599998474121094
2007-06-29,58.0
2007-07-02,57.5
2007-07-03,55.099998474121094
