,BSJS
2020-09-16,24.889999389648438
2020-09-17,24.812999725341797
2020-09-18,24.799999237060547
2020-09-21,24.511999130249023
2020-09-22,24.600000381469727
2020-09-23,24.381000518798828
2020-09-24,24.360000610351562
2020-09-25,24.336000442504883
2020-09-28,24.336000442504883
2020-09-29,24.336000442504883
2020-09-30,24.5
2020-10-01,24.649999618530273
2020-10-02,24.6200008392334
2020-10-05,24.81999969482422
2020-10-06,24.75
2020-10-07,24.940000534057617
2020-10-08,24.940000534057617
2020-10-09,25.06999969482422
2020-10-12,25.06999969482422
2020-10-13,25.100000381469727
2020-10-14,25.030000686645508
2020-10-15,25.030000686645508
2020-10-16,25.030000686645508
2020-10-19,24.899999618530273
2020-10-20,24.989999771118164
2020-10-21,24.989999771118164
2020-10-22,24.989999771118164
2020-10-23,24.989999771118164
2020-10-26,24.777999877929688
2020-10-27,24.760000228881836
2020-10-28,24.579999923706055
2020-10-29,24.559999465942383
2020-10-30,24.674999237060547
2020-11-02,24.73900032043457
2020-11-03,24.920000076293945
2020-11-04,25.0
2020-11-05,25.25
2020-11-06,25.25
2020-11-09,25.43899917602539
2020-11-10,25.450000762939453
2020-11-11,25.450000762939453
2020-11-12,25.350000381469727
2020-11-13,25.30500030517578
2020-11-16,25.30500030517578
2020-11-17,25.42099952697754
2020-11-18,25.469999313354492
2020-11-19,25.469999313354492
2020-11-20,25.429000854492188
2020-11-23,25.450000762939453
2020-11-24,25.469999313354492
2020-11-25,25.469999313354492
2020-11-27,25.469999313354492
2020-11-30,25.469999313354492
2020-12-01,25.510000228881836
2020-12-02,25.510000228881836
2020-12-03,25.594999313354492
2020-12-04,25.65999984741211
2020-12-07,25.64900016784668
2020-12-08,25.690000534057617
2020-12-09,25.579999923706055
2020-12-10,25.579999923706055
2020-12-11,25.593000411987305
2020-12-14,25.584999084472656
2020-12-15,25.665000915527344
2020-12-16,25.645000457763672
2020-12-17,25.65999984741211
2020-12-18,25.663999557495117
2020-12-21,25.4689998626709
2020-12-22,25.489999771118164
2020-12-23,25.59000015258789
2020-12-24,25.579999923706055
2020-12-28,25.66699981689453
2020-12-29,25.70400047302246
2020-12-30,25.70400047302246
2020-12-31,25.70400047302246
2021-01-04,25.702999114990234
2021-01-05,25.739999771118164
2021-01-06,25.65999984741211
2021-01-07,25.709999084472656
2021-01-08,25.729000091552734
2021-01-11,25.729000091552734
2021-01-12,25.610000610351562
2021-01-13,25.674999237060547
2021-01-14,25.68000030517578
2021-01-15,25.68000030517578
2021-01-19,25.594999313354492
2021-01-20,25.6200008392334
2021-01-21,25.639999389648438
2021-01-22,25.645000457763672
2021-01-25,25.604999542236328
2021-01-26,25.606000900268555
2021-01-27,25.469999313354492
2021-01-28,25.565000534057617
2021-01-29,25.530000686645508
2021-02-01,25.59000015258789
2021-02-02,25.642000198364258
2021-02-03,25.674999237060547
2021-02-04,25.716999053955078
2021-02-05,25.716999053955078
2021-02-08,25.833999633789062
2021-02-09,25.833999633789062
2021-02-10,25.780000686645508
2021-02-11,25.81999969482422
2021-02-12,25.8700008392334
2021-02-16,25.78499984741211
2021-02-17,25.799999237060547
2021-02-18,25.770000457763672
2021-02-19,25.756999969482422
2021-02-22,25.604999542236328
2021-02-23,25.600000381469727
2021-02-24,25.618999481201172
2021-02-25,25.440000534057617
2021-02-26,25.3700008392334
2021-03-01,25.607999801635742
2021-03-02,25.607999801635742
2021-03-03,25.44499969482422
2021-03-04,25.290000915527344
2021-03-05,25.295000076293945
2021-03-08,25.170000076293945
2021-03-09,25.229999542236328
2021-03-10,25.290000915527344
2021-03-11,25.34000015258789
2021-03-12,25.309999465942383
2021-03-15,25.290000915527344
2021-03-16,25.18000030517578
2021-03-17,25.200000762939453
2021-03-18,25.0
2021-03-19,25.049999237060547
2021-03-22,25.072999954223633
2021-03-23,25.072999954223633
2021-03-24,25.139999389648438
2021-03-25,25.139999389648438
2021-03-26,25.236000061035156
2021-03-29,25.26099967956543
2021-03-30,25.200000762939453
2021-03-31,25.200000762939453
2021-04-01,25.364999771118164
2021-04-05,25.415000915527344
2021-04-06,25.483999252319336
2021-04-07,25.469999313354492
2021-04-08,25.489999771118164
2021-04-09,25.485000610351562
2021-04-12,25.459999084472656
2021-04-13,25.43600082397461
2021-04-14,25.424999237060547
2021-04-15,25.5049991607666
2021-04-16,25.489999771118164
2021-04-19,25.333999633789062
2021-04-20,25.27199935913086
2021-04-21,25.323999404907227
2021-04-22,25.31999969482422
2021-04-23,25.36400032043457
2021-04-26,25.3700008392334
2021-04-27,25.3700008392334
2021-04-28,25.3700008392334
2021-04-29,25.399999618530273
2021-04-30,25.43000030517578
2021-05-03,25.447999954223633
2021-05-04,25.420000076293945
2021-05-05,25.469999313354492
2021-05-06,25.44499969482422
2021-05-07,25.468000411987305
2021-05-10,25.48900032043457
2021-05-11,25.374000549316406
2021-05-12,25.256999969482422
2021-05-13,25.329999923706055
2021-05-14,25.38800048828125
