,BCYPU
2021-01-12,10.399999618530273
2021-01-13,10.399999618530273
2021-01-14,10.479999542236328
2021-01-15,10.390000343322754
2021-01-19,10.359999656677246
2021-01-20,10.399999618530273
2021-01-21,10.375
2021-01-22,10.40999984741211
2021-01-25,10.460000038146973
2021-01-26,10.319999694824219
2021-01-27,10.369999885559082
2021-01-28,10.295000076293945
2021-01-29,10.329999923706055
2021-02-01,10.300000190734863
2021-02-02,10.3100004196167
2021-02-03,10.399999618530273
2021-02-04,10.40999984741211
2021-02-05,10.430000305175781
2021-02-08,10.550000190734863
2021-02-09,10.75
2021-02-10,10.699999809265137
2021-02-11,10.670000076293945
2021-02-12,10.729999542236328
2021-02-16,10.710000038146973
2021-02-17,10.699999809265137
2021-02-18,10.916999816894531
2021-02-19,10.680000305175781
2021-02-22,10.829999923706055
2021-02-23,10.800000190734863
2021-02-24,10.920000076293945
2021-02-25,10.649999618530273
2021-02-26,10.649999618530273
2021-03-01,10.619999885559082
2021-03-02,10.449999809265137
2021-03-03,10.279999732971191
2021-03-04,10.210000038146973
2021-03-05,10.199999809265137
2021-03-08,10.329999923706055
2021-03-09,10.300000190734863
2021-03-10,10.210000038146973
2021-03-11,10.210000038146973
2021-03-12,10.210000038146973
2021-03-15,10.289999961853027
2021-03-16,10.289999961853027
2021-03-17,10.3100004196167
2021-03-18,10.260000228881836
2021-03-19,10.3100004196167
2021-03-22,10.260000228881836
2021-03-23,10.220000267028809
2021-03-24,10.130000114440918
2021-03-25,10.140000343322754
2021-03-26,10.003999710083008
2021-03-29,10.109999656677246
2021-03-30,10.098999977111816
2021-03-31,10.098999977111816
2021-04-01,10.15999984741211
2021-04-05,10.15999984741211
2021-04-06,10.15999984741211
2021-04-07,10.199999809265137
2021-04-08,10.300000190734863
2021-04-09,10.289999961853027
2021-04-12,10.300000190734863
2021-04-13,10.24899959564209
2021-04-14,10.300000190734863
2021-04-15,10.317999839782715
2021-04-16,10.270000457763672
2021-04-19,10.270000457763672
2021-04-20,10.217000007629395
2021-04-21,10.217000007629395
2021-04-22,10.217000007629395
2021-04-23,10.289999961853027
2021-04-26,10.211000442504883
2021-04-27,10.211000442504883
2021-04-28,10.270000457763672
2021-04-29,10.369999885559082
2021-04-30,10.369999885559082
2021-05-03,10.369999885559082
2021-05-04,10.300000190734863
2021-05-05,10.270000457763672
2021-05-06,10.270000457763672
2021-05-07,10.25
2021-05-10,10.25
2021-05-11,10.220000267028809
2021-05-12,10.293999671936035
2021-05-13,10.229999542236328
2021-05-14,10.1899995803833
