,CRSR
2020-09-23,14.25
2020-09-24,15.579999923706055
2020-09-25,17.25
2020-09-28,18.469999313354492
2020-09-29,18.780000686645508
2020-09-30,20.100000381469727
2020-10-01,20.950000762939453
2020-10-02,20.899999618530273
2020-10-05,20.030000686645508
2020-10-06,18.290000915527344
2020-10-07,19.110000610351562
2020-10-08,18.3700008392334
2020-10-09,18.110000610351562
2020-10-12,18.56999969482422
2020-10-13,18.559999465942383
2020-10-14,18.790000915527344
2020-10-15,18.40999984741211
2020-10-16,19.200000762939453
2020-10-19,20.059999465942383
2020-10-20,22.969999313354492
2020-10-21,24.639999389648438
2020-10-22,24.020000457763672
2020-10-23,24.670000076293945
2020-10-26,24.479999542236328
2020-10-27,25.790000915527344
2020-10-28,25.079999923706055
2020-10-29,24.799999237060547
2020-10-30,24.040000915527344
2020-11-02,22.969999313354492
2020-11-03,24.989999771118164
2020-11-04,26.579999923706055
2020-11-05,27.780000686645508
2020-11-06,27.079999923706055
2020-11-09,26.31999969482422
2020-11-10,27.989999771118164
2020-11-11,29.139999389648438
2020-11-12,28.350000381469727
2020-11-13,29.18000030517578
2020-11-16,30.260000228881836
2020-11-17,32.099998474121094
2020-11-18,35.09000015258789
2020-11-19,37.900001525878906
2020-11-20,40.33000183105469
2020-11-23,45.31999969482422
2020-11-24,51.2599983215332
2020-11-25,42.79999923706055
2020-11-27,38.77000045776367
2020-11-30,37.97999954223633
2020-12-01,40.22999954223633
2020-12-02,34.599998474121094
2020-12-03,36.29999923706055
2020-12-04,35.68000030517578
2020-12-07,37.66999816894531
2020-12-08,37.099998474121094
2020-12-09,35.5
2020-12-10,34.869998931884766
2020-12-11,33.2599983215332
2020-12-14,35.90999984741211
2020-12-15,35.15999984741211
2020-12-16,37.470001220703125
2020-12-17,39.7599983215332
2020-12-18,38.70000076293945
2020-12-21,41.599998474121094
2020-12-22,40.95000076293945
2020-12-23,38.83000183105469
2020-12-24,36.349998474121094
2020-12-28,38.959999084472656
2020-12-29,35.52000045776367
2020-12-30,36.88999938964844
2020-12-31,36.220001220703125
2021-01-04,34.75
2021-01-05,35.900001525878906
2021-01-06,37.88999938964844
2021-01-07,39.43000030517578
2021-01-08,38.310001373291016
2021-01-11,39.189998626708984
2021-01-12,41.9900016784668
2021-01-13,42.20000076293945
2021-01-14,40.29999923706055
2021-01-15,38.130001068115234
2021-01-19,37.72999954223633
2021-01-20,36.0
2021-01-21,36.72999954223633
2021-01-22,38.380001068115234
2021-01-25,39.2599983215332
2021-01-26,38.43000030517578
2021-01-27,40.9900016784668
2021-01-28,38.18000030517578
2021-01-29,37.779998779296875
2021-02-01,37.27000045776367
2021-02-02,38.290000915527344
2021-02-03,42.84000015258789
2021-02-04,44.97999954223633
2021-02-05,45.22999954223633
2021-02-08,45.9900016784668
2021-02-09,44.70000076293945
2021-02-10,42.67499923706055
2021-02-11,42.25
2021-02-12,43.04999923706055
2021-02-16,40.040000915527344
2021-02-17,40.529998779296875
2021-02-18,38.470001220703125
2021-02-19,39.02000045776367
2021-02-22,40.709999084472656
2021-02-23,38.349998474121094
2021-02-24,38.65999984741211
2021-02-25,36.310001373291016
2021-02-26,35.84000015258789
2021-03-01,36.95000076293945
2021-03-02,35.45000076293945
2021-03-03,34.40999984741211
2021-03-04,32.70000076293945
2021-03-05,31.84000015258789
2021-03-08,31.829999923706055
2021-03-09,33.599998474121094
2021-03-10,33.13999938964844
2021-03-11,33.86000061035156
2021-03-12,34.08000183105469
2021-03-15,34.45000076293945
2021-03-16,34.18000030517578
2021-03-17,34.25
2021-03-18,31.959999084472656
2021-03-19,32.400001525878906
2021-03-22,32.290000915527344
2021-03-23,31.479999542236328
2021-03-24,30.799999237060547
2021-03-25,32.959999084472656
2021-03-26,31.969999313354492
2021-03-29,32.099998474121094
2021-03-30,33.2599983215332
2021-03-31,33.290000915527344
2021-04-01,33.869998931884766
2021-04-05,34.22999954223633
2021-04-06,34.65999984741211
2021-04-07,34.58000183105469
2021-04-08,34.43000030517578
2021-04-09,33.52000045776367
2021-04-12,33.66999816894531
2021-04-13,33.709999084472656
2021-04-14,33.93000030517578
2021-04-15,34.15999984741211
2021-04-16,32.599998474121094
2021-04-19,32.16999816894531
2021-04-20,32.41999816894531
2021-04-21,32.86000061035156
2021-04-22,33.0099983215332
2021-04-23,33.4900016784668
2021-04-26,33.869998931884766
2021-04-27,33.86000061035156
2021-04-28,33.529998779296875
2021-04-29,34.279998779296875
2021-04-30,33.18000030517578
2021-05-03,33.439998626708984
2021-05-04,32.59000015258789
2021-05-05,34.005001068115234
2021-05-06,32.779998779296875
2021-05-07,33.689998626708984
2021-05-10,31.450000762939453
2021-05-11,32.06999969482422
2021-05-12,31.389999389648438
2021-05-13,30.709999084472656
2021-05-14,31.56999969482422
