,CDC
2014-07-02,34.83000183105469
2014-07-03,34.900001525878906
2014-07-07,34.939998626708984
2014-07-08,34.91899871826172
2014-07-09,34.939998626708984
2014-07-10,34.900001525878906
2014-07-11,34.87699890136719
2014-07-14,34.87799835205078
2014-07-15,34.79999923706055
2014-07-16,34.90999984741211
2014-07-17,34.611000061035156
2014-07-18,34.88999938964844
2014-07-21,34.75
2014-07-22,34.900001525878906
2014-07-23,34.83000183105469
2014-07-24,34.91999816894531
2014-07-25,34.7400016784668
2014-07-28,34.86800003051758
2014-07-29,34.75
2014-07-30,34.56999969482422
2014-07-31,34.09000015258789
2014-08-01,34.029998779296875
2014-08-04,33.970001220703125
2014-08-05,33.73899841308594
2014-08-06,33.77000045776367
2014-08-07,33.650001525878906
2014-08-08,33.79999923706055
2014-08-11,34.2599983215332
2014-08-12,34.150001525878906
2014-08-13,34.369998931884766
2014-08-14,34.52000045776367
2014-08-15,34.560001373291016
2014-08-18,34.720001220703125
2014-08-19,34.72999954223633
2014-08-20,34.900001525878906
2014-08-21,34.959999084472656
2014-08-22,34.849998474121094
2014-08-25,35.0099983215332
2014-08-26,34.95000076293945
2014-08-27,34.98099899291992
2014-08-28,35.060001373291016
2014-08-29,35.150001525878906
2014-09-02,35.060001373291016
2014-09-03,35.13999938964844
2014-09-04,35.09000015258789
2014-09-05,35.33000183105469
2014-09-08,35.20000076293945
2014-09-09,34.939998626708984
2014-09-10,34.93000030517578
2014-09-11,35.08000183105469
2014-09-12,34.784000396728516
2014-09-15,34.84000015258789
2014-09-16,35.016998291015625
2014-09-17,35.06999969482422
2014-09-18,35.09000015258789
2014-09-19,35.13999938964844
2014-09-22,34.926998138427734
2014-09-23,34.7599983215332
2014-09-24,34.95000076293945
2014-09-25,34.58000183105469
2014-09-26,34.7400016784668
2014-09-29,34.70000076293945
2014-09-30,34.637001037597656
2014-10-01,34.369998931884766
2014-10-02,34.400001525878906
2014-10-03,34.63999938964844
2014-10-06,34.599998474121094
2014-10-07,34.25
2014-10-08,34.65999984741211
2014-10-09,34.2599983215332
2014-10-10,34.0
2014-10-13,33.65999984741211
2014-10-14,33.75
2014-10-15,33.689998626708984
2014-10-16,33.63999938964844
2014-10-17,33.88999938964844
2014-10-20,34.16999816894531
2014-10-21,34.70399856567383
2014-10-22,34.619998931884766
2014-10-23,34.79999923706055
2014-10-24,35.06999969482422
2014-10-27,35.029998779296875
2014-10-28,35.18000030517578
2014-10-29,35.16400146484375
2014-10-30,35.45000076293945
2014-10-31,35.75
2014-11-03,35.7599983215332
2014-11-04,35.720001220703125
2014-11-05,36.02000045776367
2014-11-06,36.02000045776367
2014-11-07,36.150001525878906
2014-11-10,36.27000045776367
2014-11-11,36.22999954223633
2014-11-12,36.150001525878906
2014-11-13,36.04800033569336
2014-11-14,36.0
2014-11-17,36.19599914550781
2014-11-18,36.22999954223633
2014-11-19,36.1510009765625
