,BOWXU
2020-08-05,10.029999732971191
2020-08-06,10.079999923706055
2020-08-07,10.100000381469727
2020-08-10,10.095000267028809
2020-08-11,10.100000381469727
2020-08-12,10.050000190734863
2020-08-13,10.100000381469727
2020-08-14,10.109999656677246
2020-08-17,10.100000381469727
2020-08-18,10.100000381469727
2020-08-19,10.020000457763672
2020-08-20,10.050000190734863
2020-08-21,10.0
2020-08-24,10.010000228881836
2020-08-25,10.029999732971191
2020-08-26,10.020000457763672
2020-08-27,10.020000457763672
2020-08-28,10.053000450134277
2020-08-31,10.029999732971191
2020-09-01,10.050000190734863
2020-09-02,10.050000190734863
2020-09-03,10.149999618530273
2020-09-04,10.199999809265137
2020-09-08,10.199999809265137
2020-09-09,10.300000190734863
2020-09-10,10.25
2020-09-11,10.3100004196167
2020-09-14,10.335000038146973
2020-09-15,10.399999618530273
2020-09-16,10.4399995803833
2020-09-17,10.359999656677246
2020-09-18,10.390000343322754
2020-09-21,10.359999656677246
2020-09-22,10.449999809265137
2020-09-23,10.359999656677246
2020-09-24,10.300000190734863
2020-09-25,10.329999923706055
2020-09-28,10.399999618530273
2020-09-29,10.329999923706055
2020-09-30,10.260000228881836
2020-10-01,10.199999809265137
2020-10-02,10.239999771118164
2020-10-05,10.140000343322754
2020-10-06,10.149999618530273
2020-10-07,10.100000381469727
2020-10-08,10.199999809265137
2020-10-09,10.170000076293945
2020-10-12,10.140000343322754
2020-10-13,10.1899995803833
2020-10-14,10.1899995803833
2020-10-15,10.180000305175781
2020-10-16,10.154999732971191
2020-10-19,10.15999984741211
2020-10-20,10.15999984741211
2020-10-21,10.15999984741211
2020-10-22,10.149999618530273
2020-10-23,10.255000114440918
2020-10-26,10.0600004196167
2020-10-27,10.135000228881836
2020-10-28,10.0600004196167
2020-10-29,10.020000457763672
2020-10-30,9.979999542236328
2020-11-02,10.020000457763672
2020-11-03,10.010000228881836
2020-11-04,10.010000228881836
2020-11-05,10.045000076293945
2020-11-06,10.095000267028809
2020-11-09,10.149999618530273
2020-11-10,10.25
2020-11-11,10.149999618530273
2020-11-12,10.079999923706055
2020-11-13,10.100000381469727
2020-11-16,10.050000190734863
2020-11-17,10.069999694824219
2020-11-18,10.069999694824219
2020-11-19,10.15999984741211
