,CBNK
2018-09-26,12.800000190734863
2018-09-27,12.829999923706055
2018-09-28,12.720000267028809
2018-10-01,12.789999961853027
2018-10-02,12.75
2018-10-03,12.850000381469727
2018-10-04,12.770000457763672
2018-10-05,12.729999542236328
2018-10-08,12.899999618530273
2018-10-09,12.899999618530273
2018-10-10,12.850000381469727
2018-10-11,12.800000190734863
2018-10-12,12.800000190734863
2018-10-15,12.800000190734863
2018-10-16,12.829999923706055
2018-10-17,12.829999923706055
2018-10-18,12.75
2018-10-19,12.609999656677246
2018-10-22,12.609999656677246
2018-10-23,12.59000015258789
2018-10-24,11.970000267028809
2018-10-25,11.949999809265137
2018-10-26,11.899999618530273
2018-10-29,11.800000190734863
2018-10-30,11.40999984741211
2018-10-31,11.199999809265137
2018-11-01,11.890000343322754
2018-11-02,11.789999961853027
2018-11-05,11.6899995803833
2018-11-06,12.489999771118164
2018-11-07,11.960000038146973
2018-11-08,12.25
2018-11-09,12.600000381469727
2018-11-12,12.510000228881836
2018-11-13,12.760000228881836
2018-11-14,12.520000457763672
2018-11-15,12.229999542236328
2018-11-16,12.699999809265137
2018-11-19,12.569999694824219
2018-11-20,12.520000457763672
2018-11-21,12.520000457763672
2018-11-23,12.550000190734863
2018-11-26,12.520000457763672
2018-11-27,12.3100004196167
2018-11-28,12.319999694824219
2018-11-29,12.289999961853027
2018-11-30,12.420000076293945
2018-12-03,13.5
2018-12-04,13.800000190734863
2018-12-06,12.40999984741211
2018-12-07,13.5
2018-12-10,13.09000015258789
2018-12-11,13.050000190734863
2018-12-12,13.430000305175781
2018-12-13,13.199999809265137
2018-12-14,12.220000267028809
2018-12-17,12.569999694824219
2018-12-18,12.399999618530273
2018-12-19,12.550000190734863
2018-12-20,12.15999984741211
2018-12-21,11.850000381469727
2018-12-24,11.210000038146973
2018-12-26,11.470000267028809
2018-12-27,12.0
2018-12-28,11.380000114440918
2018-12-31,11.40999984741211
2019-01-02,10.9399995803833
2019-01-03,10.970000267028809
2019-01-04,11.100000381469727
2019-01-07,11.289999961853027
2019-01-08,11.399999618530273
2019-01-09,11.829999923706055
2019-01-10,11.329999923706055
2019-01-11,11.510000228881836
2019-01-14,11.0600004196167
2019-01-15,11.319999694824219
2019-01-16,11.489999771118164
2019-01-17,11.729999542236328
2019-01-18,11.729999542236328
2019-01-22,11.279999732971191
2019-01-23,11.479999542236328
2019-01-24,11.390000343322754
2019-01-25,11.949999809265137
2019-01-28,11.630000114440918
2019-01-29,11.539999961853027
2019-01-30,11.489999771118164
2019-01-31,11.75
2019-02-01,11.710000038146973
2019-02-04,11.699999809265137
2019-02-05,11.899999618530273
2019-02-06,11.899999618530273
2019-02-07,12.119999885559082
2019-02-08,11.899999618530273
2019-02-11,11.8100004196167
2019-02-12,12.0
2019-02-13,11.899999618530273
2019-02-14,11.75
2019-02-15,11.850000381469727
2019-02-19,12.1899995803833
2019-02-20,11.90999984741211
2019-02-21,11.859999656677246
2019-02-22,11.890000343322754
2019-02-25,11.800000190734863
2019-02-26,11.800000190734863
2019-02-27,11.899999618530273
2019-02-28,11.8100004196167
2019-03-01,11.800000190734863
2019-03-04,11.800000190734863
2019-03-05,11.90999984741211
2019-03-06,11.460000038146973
2019-03-07,11.130000114440918
2019-03-08,11.020000457763672
2019-03-11,11.130000114440918
2019-03-12,11.239999771118164
2019-03-13,11.109999656677246
2019-03-14,11.100000381469727
2019-03-15,11.220000267028809
2019-03-18,11.300000190734863
2019-03-19,11.109999656677246
2019-03-20,11.100000381469727
2019-03-21,11.15999984741211
2019-03-22,11.149999618530273
2019-03-25,11.380000114440918
2019-03-26,11.800000190734863
2019-03-27,11.649999618530273
2019-03-28,11.90999984741211
2019-03-29,11.619999885559082
2019-04-01,11.899999618530273
2019-04-02,12.0
2019-04-03,12.170000076293945
2019-04-04,11.640000343322754
2019-04-05,12.300000190734863
2019-04-08,11.369999885559082
2019-04-09,11.170000076293945
