,COIN
2021-04-14,328.2799987792969
2021-04-15,322.75
2021-04-16,342.0
2021-04-19,333.0
2021-04-20,320.82000732421875
2021-04-21,311.9200134277344
2021-04-22,293.45001220703125
2021-04-23,291.6000061035156
2021-04-26,304.5400085449219
2021-04-27,302.0
2021-04-28,298.04998779296875
2021-04-29,294.7699890136719
2021-04-30,297.6400146484375
2021-05-03,294.2099914550781
2021-05-04,280.6600036621094
2021-05-05,273.0
2021-05-06,256.760009765625
2021-05-07,263.70001220703125
2021-05-10,293.45001220703125
2021-05-11,303.0
2021-05-12,283.6099853515625
2021-05-13,265.1000061035156
2021-05-14,258.3699951171875
