,DGNU
2021-03-23,10.0
2021-03-24,10.010000228881836
2021-03-25,10.010000228881836
2021-03-26,10.100000381469727
2021-03-29,10.350000381469727
2021-03-30,10.079999923706055
2021-03-31,10.109999656677246
2021-04-01,10.170000076293945
2021-04-05,10.25
2021-04-06,10.34000015258789
2021-04-07,10.3100004196167
2021-04-08,10.359999656677246
2021-04-09,10.260000228881836
2021-04-12,10.050000190734863
2021-04-13,10.15999984741211
2021-04-14,10.199999809265137
2021-04-15,10.289999961853027
2021-04-16,10.140000343322754
2021-04-19,10.109999656677246
2021-04-20,10.050000190734863
2021-04-21,10.15999984741211
2021-04-22,10.130000114440918
2021-04-23,10.140000343322754
2021-04-26,10.140000343322754
2021-04-27,10.359999656677246
2021-04-28,10.350000381469727
2021-04-29,10.350000381469727
2021-04-30,10.300000190734863
2021-05-03,10.079999923706055
2021-05-04,10.109999656677246
2021-05-05,10.109999656677246
2021-05-06,10.130000114440918
2021-05-07,10.100000381469727
2021-05-10,10.100000381469727
2021-05-11,10.069999694824219
2021-05-12,10.100000381469727
2021-05-13,10.050000190734863
2021-05-14,10.0
