,AMPH
2014-06-25,8.75
2014-06-26,10.010000228881836
2014-06-27,10.5
2014-06-30,10.010000228881836
2014-07-01,9.75
2014-07-02,9.140000343322754
2014-07-03,9.069999694824219
2014-07-07,8.75
2014-07-08,9.0
2014-07-09,9.050000190734863
2014-07-10,8.6899995803833
2014-07-11,9.289999961853027
2014-07-14,9.829999923706055
2014-07-15,9.489999771118164
2014-07-16,9.649999618530273
2014-07-17,9.579999923706055
2014-07-18,9.550000190734863
2014-07-21,9.350000381469727
2014-07-22,9.5
2014-07-23,9.140000343322754
2014-07-24,9.220000267028809
2014-07-25,8.979999542236328
2014-07-28,8.970000267028809
2014-07-29,9.119999885559082
2014-07-30,9.039999961853027
2014-07-31,8.880000114440918
2014-08-01,8.84000015258789
2014-08-04,8.829999923706055
2014-08-05,8.75
2014-08-06,9.4399995803833
2014-08-07,9.449999809265137
2014-08-08,10.0
2014-08-11,10.0
2014-08-12,10.199999809265137
2014-08-13,10.149999618530273
2014-08-14,10.130000114440918
2014-08-15,10.149999618530273
2014-08-18,10.020000457763672
2014-08-19,10.010000228881836
2014-08-20,10.079999923706055
2014-08-21,10.069999694824219
2014-08-22,10.119999885559082
2014-08-25,11.460000038146973
2014-08-26,11.5
2014-08-27,11.359999656677246
2014-08-28,11.579999923706055
2014-08-29,12.09000015258789
2014-09-02,12.0
2014-09-03,11.989999771118164
2014-09-04,11.859999656677246
2014-09-05,11.920000076293945
2014-09-08,11.90999984741211
2014-09-09,11.970000267028809
2014-09-10,12.229999542236328
2014-09-11,12.140000343322754
2014-09-12,11.90999984741211
2014-09-15,12.1899995803833
2014-09-16,12.180000305175781
2014-09-17,11.989999771118164
2014-09-18,11.960000038146973
2014-09-19,11.279999732971191
2014-09-22,10.949999809265137
2014-09-23,11.489999771118164
2014-09-24,12.0
2014-09-25,12.0
2014-09-26,11.829999923706055
2014-09-29,11.960000038146973
2014-09-30,11.649999618530273
2014-10-01,11.119999885559082
2014-10-02,11.149999618530273
2014-10-03,11.40999984741211
