,DCRNU
2021-02-04,11.34000015258789
2021-02-05,11.470000267028809
2021-02-08,11.550000190734863
2021-02-09,11.470000267028809
2021-02-10,11.4399995803833
2021-02-11,11.399999618530273
2021-02-12,11.170000076293945
2021-02-16,11.350000381469727
2021-02-17,11.369999885559082
2021-02-18,11.369999885559082
2021-02-19,11.4399995803833
2021-02-22,11.34000015258789
2021-02-23,11.0600004196167
2021-02-24,11.050000190734863
2021-02-25,10.75
2021-02-26,10.630000114440918
2021-03-01,10.6899995803833
2021-03-02,10.630000114440918
2021-03-03,10.34000015258789
2021-03-04,10.15999984741211
2021-03-05,10.260000228881836
2021-03-08,10.260000228881836
2021-03-09,10.40999984741211
2021-03-10,10.260000228881836
2021-03-11,10.34000015258789
2021-03-12,10.3100004196167
2021-03-15,10.289999961853027
2021-03-16,10.329999923706055
2021-03-17,10.3100004196167
2021-03-18,10.180000305175781
2021-03-19,10.180000305175781
2021-03-22,10.170000076293945
2021-03-23,10.0
2021-03-24,9.920000076293945
2021-03-25,9.899999618530273
2021-03-26,10.020000457763672
2021-03-29,10.0
2021-03-30,10.0
2021-03-31,10.0600004196167
2021-04-01,10.069999694824219
2021-04-05,10.0600004196167
2021-04-06,10.100000381469727
2021-04-07,10.199999809265137
2021-04-08,10.270000457763672
2021-04-09,10.3100004196167
2021-04-12,10.350000381469727
2021-04-13,10.289999961853027
2021-04-14,10.28499984741211
2021-04-15,10.229999542236328
2021-04-16,10.220000267028809
2021-04-19,10.149999618530273
2021-04-20,10.149999618530273
2021-04-21,10.119999885559082
2021-04-22,10.140000343322754
2021-04-23,10.130000114440918
2021-04-26,10.109999656677246
2021-04-27,10.109999656677246
2021-04-28,10.130000114440918
2021-04-29,10.239999771118164
2021-04-30,10.170000076293945
2021-05-03,10.180000305175781
2021-05-04,10.15999984741211
2021-05-05,10.180000305175781
2021-05-06,10.149999618530273
2021-05-07,10.130000114440918
2021-05-10,10.119999885559082
2021-05-11,10.119999885559082
2021-05-12,10.100000381469727
2021-05-13,10.09000015258789
2021-05-14,10.050000190734863
