,CVAC
2020-08-14,55.900001525878906
2020-08-17,77.19999694824219
2020-08-18,65.69999694824219
2020-08-19,56.900001525878906
2020-08-20,66.0
2020-08-21,67.19999694824219
2020-08-24,62.650001525878906
2020-08-25,63.25
2020-08-26,59.5
2020-08-27,57.709999084472656
2020-08-28,59.150001525878906
2020-08-31,55.08000183105469
2020-09-01,56.849998474121094
2020-09-02,58.459999084472656
2020-09-03,56.91999816894531
2020-09-04,63.45000076293945
2020-09-08,56.90999984741211
2020-09-09,55.209999084472656
2020-09-10,54.7400016784668
2020-09-11,52.68000030517578
2020-09-14,53.130001068115234
2020-09-15,53.86000061035156
2020-09-16,53.97999954223633
2020-09-17,52.900001525878906
2020-09-18,52.09000015258789
2020-09-21,50.08000183105469
2020-09-22,50.0
2020-09-23,47.630001068115234
2020-09-24,43.79999923706055
2020-09-25,44.04999923706055
2020-09-28,45.7599983215332
2020-09-29,45.68000030517578
2020-09-30,46.54999923706055
2020-10-01,47.09000015258789
2020-10-02,47.4900016784668
2020-10-05,50.5
2020-10-06,53.959999084472656
2020-10-07,56.459999084472656
2020-10-08,55.41999816894531
2020-10-09,54.20000076293945
2020-10-12,54.439998626708984
2020-10-13,54.38999938964844
2020-10-14,53.91999816894531
2020-10-15,52.0
2020-10-16,52.439998626708984
2020-10-19,53.5
2020-10-20,52.869998931884766
2020-10-21,49.130001068115234
2020-10-22,49.06999969482422
2020-10-23,50.029998779296875
2020-10-26,48.65999984741211
2020-10-27,49.88999938964844
2020-10-28,46.7599983215332
2020-10-29,49.599998474121094
2020-10-30,48.779998779296875
2020-11-02,47.08000183105469
2020-11-03,48.58000183105469
2020-11-04,48.880001068115234
2020-11-05,50.150001525878906
2020-11-06,50.47999954223633
2020-11-09,54.65999984741211
2020-11-10,61.29999923706055
2020-11-11,61.939998626708984
2020-11-12,69.69000244140625
2020-11-13,75.19999694824219
2020-11-16,85.68000030517578
2020-11-17,76.48999786376953
2020-11-18,74.63999938964844
2020-11-19,75.19999694824219
2020-11-20,79.69000244140625
2020-11-23,85.05999755859375
2020-11-24,82.0999984741211
2020-11-25,81.79000091552734
2020-11-27,86.0
2020-11-30,105.16999816894531
2020-12-01,97.12999725341797
2020-12-02,102.66000366210938
2020-12-03,102.5
2020-12-04,106.1500015258789
2020-12-07,114.33000183105469
2020-12-08,130.0500030517578
2020-12-09,136.27000427246094
2020-12-10,128.9499969482422
2020-12-11,118.08000183105469
2020-12-14,121.05999755859375
2020-12-15,121.37999725341797
2020-12-16,116.22000122070312
2020-12-17,111.27999877929688
2020-12-18,104.33000183105469
2020-12-21,111.30000305175781
2020-12-22,108.83999633789062
2020-12-23,101.13999938964844
2020-12-24,101.7300033569336
2020-12-28,87.87999725341797
2020-12-29,84.87000274658203
2020-12-30,81.76000213623047
2020-12-31,81.06999969482422
2021-01-04,85.0999984741211
2021-01-05,86.0
2021-01-06,86.8499984741211
2021-01-07,101.19000244140625
2021-01-08,107.62000274658203
2021-01-11,103.25
2021-01-12,101.80000305175781
2021-01-13,98.25
2021-01-14,100.58999633789062
2021-01-15,100.3499984741211
2021-01-19,103.2300033569336
2021-01-20,101.05000305175781
2021-01-21,101.06999969482422
2021-01-22,102.69000244140625
2021-01-25,104.5
2021-01-26,98.7300033569336
2021-01-27,94.48999786376953
2021-01-28,84.52999877929688
2021-01-29,89.29000091552734
2021-02-01,94.55000305175781
2021-02-02,98.69999694824219
2021-02-03,105.25
2021-02-04,109.98999786376953
2021-02-05,120.43000030517578
2021-02-08,126.29000091552734
2021-02-09,114.33000183105469
2021-02-10,115.9800033569336
2021-02-11,114.58000183105469
2021-02-12,116.95999908447266
2021-02-16,113.0
2021-02-17,110.0
2021-02-18,106.26000213623047
2021-02-19,104.25
2021-02-22,102.94999694824219
2021-02-23,100.0999984741211
2021-02-24,98.16999816894531
2021-02-25,92.97000122070312
2021-02-26,94.30000305175781
2021-03-01,96.18000030517578
2021-03-02,92.83999633789062
2021-03-03,83.55999755859375
2021-03-04,81.33000183105469
2021-03-05,82.69000244140625
2021-03-08,79.79000091552734
2021-03-09,84.80000305175781
2021-03-10,85.68000030517578
2021-03-11,86.5999984741211
2021-03-12,87.79000091552734
2021-03-15,89.86000061035156
2021-03-16,93.61000061035156
2021-03-17,94.29000091552734
2021-03-18,89.5199966430664
2021-03-19,95.63999938964844
2021-03-22,94.29000091552734
2021-03-23,88.30000305175781
2021-03-24,83.6500015258789
2021-03-25,84.72000122070312
2021-03-26,86.08999633789062
2021-03-29,86.58999633789062
2021-03-30,88.76000213623047
2021-03-31,91.45999908447266
2021-04-01,91.19000244140625
2021-04-05,92.58000183105469
2021-04-06,92.54000091552734
2021-04-07,89.37000274658203
2021-04-08,89.41999816894531
2021-04-09,87.91999816894531
2021-04-12,92.1500015258789
2021-04-13,95.6500015258789
2021-04-14,102.61000061035156
2021-04-15,104.05000305175781
2021-04-16,109.29000091552734
2021-04-19,113.0
2021-04-20,110.77999877929688
2021-04-21,112.94000244140625
2021-04-22,114.0999984741211
2021-04-23,116.37000274658203
2021-04-26,120.88999938964844
2021-04-27,127.52999877929688
2021-04-28,118.29000091552734
2021-04-29,115.01000213623047
2021-04-30,116.94000244140625
2021-05-03,120.19999694824219
2021-05-04,109.12999725341797
2021-05-05,101.19999694824219
2021-05-06,93.94999694824219
2021-05-07,100.4000015258789
2021-05-10,105.79000091552734
2021-05-11,97.97000122070312
2021-05-12,93.95999908447266
2021-05-13,102.3499984741211
2021-05-14,109.98999786376953
