,COGT
2018-03-29,44.439998626708984
2018-04-02,43.0
2018-04-03,43.0
2018-04-04,43.0
2018-04-05,43.91999816894531
2018-04-06,43.15999984741211
2018-04-09,42.91999816894531
2018-04-10,44.20000076293945
2018-04-11,44.36000061035156
2018-04-12,45.2400016784668
2018-04-13,46.560001373291016
2018-04-16,47.0
2018-04-17,47.79999923706055
2018-04-18,48.0
2018-04-19,48.0
2018-04-20,47.91999816894531
2018-04-23,49.0
2018-04-24,47.79999923706055
2018-04-25,46.08000183105469
2018-04-26,47.15999984741211
2018-04-27,47.119998931884766
2018-04-30,45.79999923706055
2018-05-01,44.400001525878906
2018-05-02,45.119998931884766
2018-05-03,43.91999816894531
2018-05-04,43.63999938964844
2018-05-07,43.720001220703125
2018-05-08,43.2400016784668
2018-05-09,42.599998474121094
2018-05-10,42.7599983215332
2018-05-11,41.68000030517578
2018-05-14,42.2400016784668
2018-05-15,43.36000061035156
2018-05-16,46.84000015258789
2018-05-17,46.720001220703125
2018-05-18,46.84000015258789
2018-05-21,46.720001220703125
2018-05-22,46.20000076293945
2018-05-23,46.2400016784668
2018-05-24,45.84000015258789
2018-05-25,45.08000183105469
2018-05-29,45.400001525878906
2018-05-30,45.79999923706055
2018-05-31,49.2400016784668
2018-06-01,50.0
2018-06-04,50.560001373291016
2018-06-05,53.20000076293945
2018-06-06,51.400001525878906
2018-06-07,49.63999938964844
2018-06-08,51.880001068115234
2018-06-11,51.91999816894531
2018-06-12,51.0
2018-06-13,47.36000061035156
2018-06-14,48.279998779296875
2018-06-15,51.47999954223633
2018-06-18,53.31999969482422
2018-06-19,57.959999084472656
2018-06-20,62.279998779296875
2018-06-21,55.31999969482422
2018-06-22,56.36000061035156
2018-06-25,59.040000915527344
2018-06-26,56.36000061035156
2018-06-27,56.47999954223633
2018-06-28,56.47999954223633
2018-06-29,57.400001525878906
2018-07-02,58.36000061035156
2018-07-03,58.880001068115234
2018-07-05,59.599998474121094
2018-07-06,58.79999923706055
2018-07-09,59.63999938964844
2018-07-10,59.119998931884766
2018-07-11,59.439998626708984
2018-07-12,61.279998779296875
2018-07-13,64.63999938964844
2018-07-16,60.20000076293945
2018-07-17,55.2400016784668
2018-07-18,55.91999816894531
2018-07-19,56.2400016784668
2018-07-20,56.2400016784668
2018-07-23,58.84000015258789
2018-07-24,58.15999984741211
2018-07-25,57.439998626708984
2018-07-26,58.279998779296875
2018-07-27,60.91999816894531
2018-07-30,63.279998779296875
2018-07-31,67.08000183105469
2018-08-01,62.040000915527344
2018-08-02,59.36000061035156
2018-08-03,61.720001220703125
2018-08-06,65.80000305175781
2018-08-07,66.68000030517578
2018-08-08,60.08000183105469
2018-08-09,60.119998931884766
2018-08-10,62.880001068115234
2018-08-13,62.47999954223633
2018-08-14,59.20000076293945
2018-08-15,56.79999923706055
2018-08-16,54.91999816894531
2018-08-17,54.79999923706055
2018-08-20,57.400001525878906
2018-08-21,56.47999954223633
2018-08-22,59.720001220703125
2018-08-23,59.68000030517578
2018-08-24,59.599998474121094
2018-08-27,57.79999923706055
2018-08-28,58.439998626708984
2018-08-29,63.91999816894531
2018-08-30,64.44000244140625
2018-08-31,65.23999786376953
2018-09-04,58.08000183105469
2018-09-05,56.63999938964844
2018-09-06,52.63999938964844
2018-09-07,51.599998474121094
2018-09-10,48.7599983215332
2018-09-11,47.84000015258789
2018-09-12,45.720001220703125
2018-09-13,45.20000076293945
2018-09-14,45.0
2018-09-17,44.279998779296875
2018-09-18,45.599998474121094
2018-09-19,49.15999984741211
2018-09-20,49.08000183105469
2018-09-21,48.63999938964844
2018-09-24,50.2400016784668
2018-09-25,49.31999969482422
2018-09-26,42.68000030517578
2018-09-27,42.220001220703125
2018-09-28,41.20000076293945
2018-10-01,41.47999954223633
2018-10-02,44.2400016784668
2018-10-03,41.52000045776367
2018-10-04,37.119998931884766
2018-10-05,38.400001525878906
2018-10-08,39.599998474121094
2018-10-09,41.0
2018-10-10,37.15999984741211
2018-10-11,37.91999816894531
2018-10-12,38.84000015258789
2018-10-15,38.119998931884766
2018-10-16,39.47999954223633
2018-10-17,39.47999954223633
2018-10-18,39.2400016784668
2018-10-19,38.599998474121094
2018-10-22,35.68000030517578
2018-10-23,35.560001373291016
2018-10-24,32.79999923706055
2018-10-25,34.279998779296875
2018-10-26,34.439998626708984
2018-10-29,32.0
2018-10-30,32.47999954223633
2018-10-31,29.920000076293945
2018-11-01,32.119998931884766
2018-11-02,30.559999465942383
2018-11-05,29.0
2018-11-06,29.079999923706055
2018-11-07,30.639999389648438
2018-11-08,30.280000686645508
2018-11-09,28.760000228881836
2018-11-12,27.200000762939453
2018-11-13,31.280000686645508
2018-11-14,32.040000915527344
2018-11-15,32.0
2018-11-16,32.2400016784668
2018-11-19,30.600000381469727
2018-11-20,29.760000228881836
2018-11-21,29.8799991607666
2018-11-23,29.440000534057617
2018-11-26,27.360000610351562
2018-11-27,25.760000228881836
2018-11-28,25.600000381469727
2018-11-29,25.280000686645508
2018-11-30,27.600000381469727
2018-12-03,28.0
2018-12-04,26.600000381469727
2018-12-06,25.84000015258789
2018-12-07,23.520000457763672
2018-12-10,22.31999969482422
2018-12-11,23.0
2018-12-12,21.15999984741211
2018-12-13,20.399999618530273
2018-12-14,20.200000762939453
2018-12-17,20.360000610351562
2018-12-18,18.959999084472656
2018-12-19,17.8799991607666
2018-12-20,17.8799991607666
2018-12-21,18.079999923706055
2018-12-24,17.399999618530273
2018-12-26,16.200000762939453
2018-12-27,14.800000190734863
2018-12-28,18.079999923706055
2018-12-31,17.600000381469727
2019-01-02,17.8799991607666
2019-01-03,17.8799991607666
2019-01-04,17.639999389648438
2019-01-07,17.84000015258789
