,CZR
2014-09-22,4.349999904632568
2014-09-23,4.260000228881836
2014-09-24,4.340000152587891
2014-09-25,4.0
2014-09-26,4.400000095367432
2014-09-29,4.230000019073486
2014-09-30,4.210000038146973
2014-10-01,4.099999904632568
2014-10-02,4.269999980926514
2014-10-03,4.150000095367432
2014-10-06,4.130000114440918
2014-10-07,4.0
2014-10-08,4.25
2014-10-09,4.099999904632568
2014-10-10,4.0
2014-10-13,3.984999895095825
2014-10-14,4.0
2014-10-15,4.0
2014-10-16,3.9600000381469727
2014-10-17,4.0
2014-10-20,4.045000076293945
2014-10-21,4.010000228881836
2014-10-22,4.059999942779541
2014-10-23,4.039999961853027
2014-10-24,4.099999904632568
2014-10-27,4.150000095367432
2014-10-28,4.150000095367432
2014-10-29,4.039999961853027
2014-10-30,4.070000171661377
2014-10-31,4.119999885559082
2014-11-03,4.239999771118164
2014-11-04,4.199999809265137
2014-11-05,4.269999980926514
2014-11-06,4.239999771118164
2014-11-07,4.239999771118164
2014-11-10,4.199999809265137
2014-11-11,4.199999809265137
2014-11-12,4.269999980926514
2014-11-13,4.309999942779541
2014-11-14,4.320000171661377
2014-11-17,4.260000228881836
2014-11-18,4.25
2014-11-19,4.199999809265137
2014-11-20,4.210000038146973
2014-11-21,4.300000190734863
2014-11-24,4.309999942779541
2014-11-25,4.21999979019165
2014-11-26,4.139999866485596
2014-11-28,4.139999866485596
2014-12-01,4.179999828338623
2014-12-02,4.269999980926514
2014-12-03,4.28000020980835
2014-12-04,4.264999866485596
2014-12-05,4.239999771118164
2014-12-08,4.139999866485596
2014-12-09,4.110000133514404
2014-12-10,4.050000190734863
2014-12-11,4.079999923706055
2014-12-12,4.050000190734863
2014-12-15,4.150000095367432
2014-12-16,4.25
2014-12-17,4.239999771118164
2014-12-18,4.300000190734863
2014-12-19,4.239999771118164
2014-12-22,4.340000152587891
2014-12-23,4.329999923706055
2014-12-24,4.380000114440918
2014-12-26,4.210000038146973
2014-12-29,4.24399995803833
2014-12-30,4.139999866485596
2014-12-31,4.050000190734863
2015-01-02,4.039999961853027
2015-01-05,4.25
2015-01-06,4.070000171661377
2015-01-07,4.289999961853027
2015-01-08,4.199999809265137
2015-01-09,4.184999942779541
2015-01-12,4.199999809265137
2015-01-13,4.195000171661377
2015-01-14,4.099999904632568
2015-01-15,4.130000114440918
2015-01-16,4.190000057220459
2015-01-20,4.179999828338623
2015-01-21,4.03000020980835
2015-01-22,4.010000228881836
2015-01-23,4.025000095367432
2015-01-26,3.9800000190734863
2015-01-27,4.0
2015-01-28,4.019999980926514
2015-01-29,3.9700000286102295
2015-01-30,3.9649999141693115
2015-02-02,3.9100000858306885
2015-02-03,3.890000104904175
2015-02-04,3.890000104904175
2015-02-05,4.150000095367432
2015-02-06,4.119999885559082
2015-02-09,4.179999828338623
2015-02-10,4.1579999923706055
2015-02-11,4.159999847412109
2015-02-12,4.190000057220459
2015-02-13,4.199999809265137
2015-02-17,4.25
2015-02-18,4.130000114440918
2015-02-19,4.5
2015-02-20,4.550000190734863
2015-02-23,4.5
2015-02-24,4.650000095367432
2015-02-25,4.5
2015-02-26,4.550000190734863
2015-02-27,4.599999904632568
2015-03-02,4.510000228881836
2015-03-03,4.659999847412109
2015-03-04,4.78000020980835
2015-03-05,4.989999771118164
2015-03-06,5.0
2015-03-09,5.139999866485596
