,ATHA
2020-09-18,17.110000610351562
2020-09-21,16.809999465942383
2020-09-22,16.649999618530273
2020-09-23,16.299999237060547
2020-09-24,16.020000457763672
2020-09-25,16.25
2020-09-28,16.6200008392334
2020-09-29,16.110000610351562
2020-09-30,18.459999084472656
2020-10-01,16.969999313354492
2020-10-02,16.479999542236328
2020-10-05,16.93000030517578
2020-10-06,16.950000762939453
2020-10-07,17.0
2020-10-08,17.0
2020-10-09,16.809999465942383
2020-10-12,17.09000015258789
2020-10-13,18.440000534057617
2020-10-14,17.93000030517578
2020-10-15,18.219999313354492
2020-10-16,18.309999465942383
2020-10-19,20.860000610351562
2020-10-20,21.079999923706055
2020-10-21,20.979999542236328
2020-10-22,20.100000381469727
2020-10-23,19.34000015258789
2020-10-26,18.530000686645508
2020-10-27,18.760000228881836
2020-10-28,17.940000534057617
2020-10-29,18.8799991607666
2020-10-30,18.059999465942383
2020-11-02,18.200000762939453
2020-11-03,19.889999389648438
2020-11-04,24.690000534057617
2020-11-05,22.729999542236328
2020-11-06,22.219999313354492
2020-11-09,22.25
2020-11-10,22.25
2020-11-11,22.329999923706055
2020-11-12,23.459999084472656
2020-11-13,26.5
2020-11-16,24.600000381469727
2020-11-17,25.950000762939453
2020-11-18,24.510000228881836
2020-11-19,23.510000228881836
2020-11-20,23.420000076293945
2020-11-23,23.270000457763672
2020-11-24,23.299999237060547
2020-11-25,22.899999618530273
2020-11-27,24.010000228881836
2020-11-30,24.899999618530273
2020-12-01,23.790000915527344
2020-12-02,23.8700008392334
2020-12-03,24.3799991607666
2020-12-04,25.360000610351562
2020-12-07,26.0
2020-12-08,26.299999237060547
2020-12-09,26.09000015258789
2020-12-10,28.43000030517578
2020-12-11,29.40999984741211
2020-12-14,30.1200008392334
2020-12-15,28.1200008392334
2020-12-16,28.649999618530273
2020-12-17,30.299999237060547
2020-12-18,30.940000534057617
2020-12-21,31.209999084472656
2020-12-22,33.810001373291016
2020-12-23,34.29999923706055
2020-12-24,31.530000686645508
2020-12-28,31.940000534057617
2020-12-29,30.90999984741211
2020-12-30,32.650001525878906
2020-12-31,34.25
2021-01-04,29.770000457763672
2021-01-05,27.940000534057617
2021-01-06,27.450000762939453
2021-01-07,27.790000915527344
2021-01-08,27.06999969482422
2021-01-11,26.81999969482422
2021-01-12,27.809999465942383
2021-01-13,27.989999771118164
2021-01-14,26.790000915527344
2021-01-15,26.549999237060547
2021-01-19,25.889999389648438
2021-01-20,24.31999969482422
2021-01-21,20.270000457763672
2021-01-22,20.059999465942383
2021-01-25,22.040000915527344
2021-01-26,20.670000076293945
2021-01-27,20.06999969482422
2021-01-28,21.209999084472656
2021-01-29,21.31999969482422
2021-02-01,21.6200008392334
2021-02-02,21.719999313354492
2021-02-03,21.540000915527344
2021-02-04,22.190000534057617
2021-02-05,22.959999084472656
2021-02-08,25.0
2021-02-09,24.780000686645508
2021-02-10,22.989999771118164
2021-02-11,22.420000076293945
2021-02-12,21.700000762939453
2021-02-16,20.729999542236328
2021-02-17,21.200000762939453
2021-02-18,21.149999618530273
2021-02-19,21.520000457763672
2021-02-22,23.690000534057617
2021-02-23,22.260000228881836
2021-02-24,22.31999969482422
2021-02-25,20.889999389648438
2021-02-26,22.059999465942383
2021-03-01,21.399999618530273
2021-03-02,20.850000381469727
2021-03-03,20.600000381469727
2021-03-04,19.290000915527344
2021-03-05,19.18000030517578
2021-03-08,19.139999389648438
2021-03-09,20.219999313354492
2021-03-10,20.3700008392334
2021-03-11,21.860000610351562
2021-03-12,21.559999465942383
2021-03-15,20.93000030517578
2021-03-16,20.84000015258789
2021-03-17,20.65999984741211
2021-03-18,20.100000381469727
2021-03-19,19.170000076293945
2021-03-22,19.010000228881836
2021-03-23,18.520000457763672
2021-03-24,17.760000228881836
2021-03-25,17.959999084472656
2021-03-26,18.09000015258789
2021-03-29,17.3700008392334
2021-03-30,16.899999618530273
2021-03-31,18.399999618530273
2021-04-01,18.389999389648438
2021-04-05,18.899999618530273
2021-04-06,18.799999237060547
2021-04-07,18.780000686645508
2021-04-08,18.649999618530273
2021-04-09,19.079999923706055
2021-04-12,16.799999237060547
2021-04-13,16.899999618530273
2021-04-14,17.489999771118164
2021-04-15,16.450000762939453
2021-04-16,16.59000015258789
2021-04-19,16.649999618530273
2021-04-20,17.420000076293945
2021-04-21,18.059999465942383
2021-04-22,18.25
2021-04-23,17.979999542236328
2021-04-26,18.5
2021-04-27,18.479999542236328
2021-04-28,18.84000015258789
2021-04-29,19.219999313354492
2021-04-30,19.68000030517578
2021-05-03,20.549999237060547
2021-05-04,18.639999389648438
2021-05-05,17.739999771118164
2021-05-06,18.049999237060547
2021-05-07,18.479999542236328
2021-05-10,18.56999969482422
2021-05-11,17.670000076293945
2021-05-12,18.0
2021-05-13,18.079999923706055
2021-05-14,18.09000015258789
