,DGRE
2013-08-01,25.729999542236328
2013-08-02,25.760000228881836
2013-08-05,25.43000030517578
2013-08-06,25.118999481201172
2013-08-07,24.860000610351562
2013-08-08,25.299999237060547
2013-08-09,25.520000457763672
2013-08-12,25.459999084472656
2013-08-13,25.649999618530273
2013-08-14,25.780000686645508
2013-08-15,25.43000030517578
2013-08-16,25.059999465942383
2013-08-19,24.190000534057617
2013-08-20,24.200000762939453
2013-08-21,23.649999618530273
2013-08-22,23.809999465942383
2013-08-23,24.100000381469727
2013-08-26,23.700000762939453
2013-08-27,23.0
2013-08-28,23.190000534057617
2013-08-29,23.149999618530273
2013-08-30,23.270000457763672
2013-09-03,23.739999771118164
2013-09-04,23.530000686645508
2013-09-05,23.559999465942383
2013-09-06,24.229999542236328
2013-09-09,24.799999237060547
2013-09-10,25.18000030517578
2013-09-11,25.350000381469727
2013-09-12,25.040000915527344
2013-09-13,25.149999618530273
2013-09-16,25.760000228881836
2013-09-17,25.760000228881836
2013-09-18,26.790000915527344
2013-09-19,26.770000457763672
2013-09-20,26.290000915527344
2013-09-23,26.06999969482422
2013-09-24,25.93000030517578
2013-09-25,25.65999984741211
2013-09-26,25.639999389648438
2013-09-27,25.239999771118164
2013-09-30,24.81999969482422
2013-10-01,25.25
2013-10-02,25.559999465942383
2013-10-03,25.559999465942383
2013-10-04,25.649999618530273
2013-10-07,25.549999237060547
2013-10-08,25.540000915527344
2013-10-09,25.549999237060547
2013-10-10,26.030000686645508
2013-10-11,26.270000457763672
2013-10-14,26.489999771118164
2013-10-15,26.200000762939453
2013-10-16,26.479999542236328
2013-10-17,26.579999923706055
2013-10-18,26.639999389648438
2013-10-21,26.399999618530273
2013-10-22,26.770000457763672
2013-10-23,26.350000381469727
2013-10-24,26.309999465942383
2013-10-25,26.520000457763672
2013-10-28,26.579999923706055
2013-10-29,26.6200008392334
2013-10-30,26.280000686645508
2013-10-31,26.0
2013-11-01,25.81999969482422
2013-11-04,25.809999465942383
2013-11-05,25.3700008392334
2013-11-06,25.479999542236328
2013-11-07,25.110000610351562
2013-11-08,25.09000015258789
2013-11-11,24.90999984741211
2013-11-12,24.530000686645508
2013-11-13,24.8700008392334
2013-11-14,25.299999237060547
2013-11-15,25.459999084472656
2013-11-18,25.579999923706055
2013-11-19,25.6299991607666
