,ACHV
1996-10-30,861300.0
1996-10-31,905850.0
1996-11-01,895950.0
1996-11-04,950400.0
1996-11-05,910800.0
1996-11-06,910800.0
1996-11-07,930600.0
1996-11-08,920700.0
1996-11-11,925650.0
1996-11-12,900900.0
1996-11-13,886050.0
1996-11-14,910800.0
1996-11-15,945450.0
1996-11-18,965250.0
1996-11-19,980100.0
1996-11-20,980100.0
1996-11-21,980100.0
1996-11-22,980100.0
1996-11-25,950400.0
1996-11-26,945450.0
1996-11-27,910800.0
1996-11-29,955350.0
1996-12-02,965250.0
1996-12-03,970200.0
1996-12-04,970200.0
1996-12-05,920700.0
1996-12-06,910800.0
1996-12-09,910800.0
1996-12-10,871200.0
1996-12-11,871200.0
1996-12-12,886050.0
1996-12-13,881100.0
1996-12-16,910800.0
1996-12-17,891000.0
1996-12-18,980100.0
1996-12-19,1049400.0
1996-12-20,1069200.0
1996-12-23,1069200.0
1996-12-24,1113750.0
1996-12-26,1183050.0
1996-12-27,1188000.0
1996-12-30,1207800.0
1996-12-31,1178100.0
1997-01-02,1207800.0
1997-01-03,1237500.0
1997-01-06,1306800.0
1997-01-07,1351350.0
1997-01-08,1207800.0
1997-01-09,1197900.0
1997-01-10,1183050.0
1997-01-13,1138500.0
1997-01-14,1118700.0
1997-01-15,1074150.0
1997-01-16,1059300.0
1997-01-17,1108800.0
1997-01-20,1089000.0
1997-01-21,1113750.0
1997-01-22,1071675.0
1997-01-23,1118700.0
1997-01-24,1089000.0
1997-01-27,1091475.0
1997-01-28,1098900.0
1997-01-29,1108800.0
1997-01-30,1108800.0
1997-01-31,1108800.0
1997-02-03,1108800.0
1997-02-04,1089000.0
1997-02-05,1118700.0
1997-02-06,1079100.0
1997-02-07,1029600.0
1997-02-10,1059300.0
1997-02-11,1108800.0
1997-02-12,1133550.0
1997-02-13,1148400.0
1997-02-14,1277100.0
1997-02-18,1356300.0
1997-02-19,1227600.0
1997-02-20,1192950.0
1997-02-21,1173150.0
1997-02-24,1188000.0
1997-02-25,1212750.0
1997-02-26,1188000.0
1997-02-27,1183050.0
1997-02-28,1143450.0
1997-03-03,1148400.0
1997-03-04,1108800.0
1997-03-05,1118700.0
1997-03-06,1103850.0
1997-03-07,1098900.0
