,FEX
2007-05-10,30.010000228881836
2007-05-11,30.010000228881836
2007-05-14,30.040000915527344
2007-05-15,29.8799991607666
2007-05-16,30.010000228881836
2007-05-17,30.079999923706055
2007-05-18,30.25
2007-05-21,30.25
2007-05-22,30.25
2007-05-23,30.25
2007-05-24,30.389999389648438
2007-05-25,30.389999389648438
2007-05-29,30.209999084472656
2007-05-30,30.139999389648438
2007-05-31,30.510000228881836
2007-06-01,30.690000534057617
2007-06-04,30.709999084472656
2007-06-05,30.579999923706055
2007-06-06,30.260000228881836
2007-06-07,29.809999465942383
2007-06-08,29.729999542236328
2007-06-11,29.729999542236328
2007-06-12,29.729999542236328
2007-06-13,29.979999542236328
2007-06-14,30.329999923706055
2007-06-15,30.530000686645508
2007-06-18,30.510000228881836
2007-06-19,30.459999084472656
2007-06-20,30.079999923706055
2007-06-21,30.270000457763672
2007-06-22,30.1200008392334
2007-06-25,29.850000381469727
2007-06-26,29.68000030517578
2007-06-27,29.81999969482422
2007-06-28,29.989999771118164
2007-06-29,29.8700008392334
2007-07-02,29.8700008392334
2007-07-03,30.3700008392334
2007-07-05,30.420000076293945
2007-07-06,30.6200008392334
2007-07-09,30.649999618530273
2007-07-10,30.209999084472656
2007-07-11,30.270000457763672
2007-07-12,30.799999237060547
2007-07-13,30.920000076293945
2007-07-16,30.81999969482422
2007-07-17,30.84000015258789
2007-07-18,30.829999923706055
2007-07-19,30.829999923706055
2007-07-20,30.5
2007-07-23,30.6299991607666
2007-07-24,29.899999618530273
2007-07-25,29.959999084472656
2007-07-26,29.229999542236328
2007-07-27,28.809999465942383
2007-07-30,29.0
2007-07-31,28.68000030517578
2007-08-01,28.5
2007-08-02,28.8799991607666
2007-08-03,28.670000076293945
2007-08-06,28.049999237060547
2007-08-07,28.649999618530273
2007-08-08,29.100000381469727
2007-08-09,28.1200008392334
2007-08-10,28.299999237060547
2007-08-13,28.3700008392334
2007-08-14,27.799999237060547
2007-08-15,27.139999389648438
2007-08-16,27.190000534057617
2007-08-17,27.829999923706055
2007-08-20,28.049999237060547
2007-08-21,28.209999084472656
2007-08-22,28.520000457763672
2007-08-23,28.690000534057617
2007-08-24,28.690000534057617
2007-08-27,28.56999969482422
2007-08-28,27.989999771118164
2007-08-29,28.049999237060547
2007-08-30,28.43000030517578
2007-08-31,28.739999771118164
2007-09-04,29.0
2007-09-05,28.649999618530273
2007-09-06,28.770000457763672
2007-09-07,28.299999237060547
2007-09-10,28.030000686645508
2007-09-11,28.3700008392334
2007-09-12,28.459999084472656
2007-09-13,28.6299991607666
2007-09-14,28.600000381469727
2007-09-17,28.530000686645508
2007-09-18,29.3700008392334
2007-09-19,29.6299991607666
2007-09-20,29.3799991607666
2007-09-21,29.469999313354492
