,DZSI
2005-01-11,54.25
2005-01-12,53.0
2005-01-13,55.25
2005-01-14,55.0
2005-01-18,55.25
2005-01-19,54.25
2005-01-20,52.25
2005-01-21,51.75
2005-01-24,49.5
2005-01-25,49.75
2005-01-26,50.5
2005-01-27,52.25
2005-01-28,52.25
2005-01-31,52.0
2005-02-01,52.25
2005-02-02,51.5
2005-02-03,50.5
2005-02-04,51.5
2005-02-07,52.5
2005-02-08,56.0
2005-02-09,57.5
2005-02-10,61.25
2005-02-11,64.75
2005-02-14,65.0
2005-02-15,69.5
2005-02-16,69.75
2005-02-17,69.75
2005-02-18,70.25
2005-02-22,67.5
2005-02-23,67.5
2005-02-24,65.0
2005-02-25,69.5
2005-02-28,67.0
2005-03-01,67.0
2005-03-02,66.5
2005-03-03,68.75
2005-03-04,69.0
2005-03-07,67.0
2005-03-08,66.0
2005-03-09,65.0
2005-03-10,62.75
2005-03-11,62.5
2005-03-14,65.0
2005-03-15,66.5
2005-03-16,66.5
2005-03-17,67.5
2005-03-18,66.25
2005-03-21,65.5
2005-03-22,65.25
2005-03-23,65.75
2005-03-24,67.5
2005-03-28,67.5
2005-03-29,66.0
2005-03-30,66.5
2005-03-31,63.75
2005-04-01,56.75
2005-04-04,56.25
2005-04-05,54.5
2005-04-06,54.0
2005-04-07,51.5
2005-04-08,51.5
2005-04-11,53.25
2005-04-12,53.25
2005-04-13,52.0
2005-04-14,51.25
2005-04-15,48.5
2005-04-18,47.5
2005-04-19,48.25
2005-04-20,49.0
2005-04-21,50.5
2005-04-22,46.75
2005-04-25,46.25
2005-04-26,50.25
2005-04-27,57.0
2005-04-28,53.25
2005-04-29,52.5
2005-05-02,54.5
2005-05-03,56.25
2005-05-04,58.5
2005-05-05,59.5
2005-05-06,59.0
2005-05-09,61.75
2005-05-10,61.5
2005-05-11,63.0
2005-05-12,62.0
2005-05-13,62.25
2005-05-16,61.75
2005-05-17,64.25
2005-05-18,65.25
2005-05-19,65.25
2005-05-20,64.5
2005-05-23,66.75
2005-05-24,68.75
2005-05-25,68.5
2005-05-26,69.0
2005-05-27,68.0
2005-05-31,67.75
2005-06-01,64.0
2005-06-02,61.5
2005-06-03,61.0
2005-06-06,61.75
2005-06-07,60.75
2005-06-08,63.25
2005-06-09,65.0
2005-06-10,64.25
2005-06-13,65.75
2005-06-14,66.75
2005-06-15,67.0
2005-06-16,75.25
2005-06-17,78.75
2005-06-20,76.25
2005-06-21,75.5
2005-06-22,74.5
2005-06-23,73.75
2005-06-24,78.5
2005-06-27,75.5
2005-06-28,79.5
2005-06-29,82.5
2005-06-30,83.75
2005-07-01,80.5
2005-07-05,91.5
2005-07-06,81.5
2005-07-07,89.25
2005-07-08,71.75
2005-07-11,76.75
2005-07-12,74.75
2005-07-13,72.0
2005-07-14,70.5
2005-07-15,69.25
2005-07-18,74.25
2005-07-19,78.25
2005-07-20,80.0
2005-07-21,82.0
2005-07-22,81.0
2005-07-25,81.5
2005-07-26,79.75
2005-07-27,77.5
2005-07-28,78.5
2005-07-29,77.75
2005-08-01,77.25
2005-08-02,74.0
2005-08-03,73.5
2005-08-04,72.25
2005-08-05,70.25
2005-08-08,69.75
2005-08-09,73.25
2005-08-10,71.75
2005-08-11,72.5
2005-08-12,71.25
2005-08-15,72.5
2005-08-16,70.0
2005-08-17,70.0
2005-08-18,70.5
2005-08-19,69.75
2005-08-22,71.25
2005-08-23,72.75
2005-08-24,70.25
2005-08-25,69.0
2005-08-26,68.5
2005-08-29,68.0
2005-08-30,65.5
2005-08-31,66.25
2005-09-01,66.25
2005-09-02,70.75
2005-09-06,71.25
2005-09-07,72.5
2005-09-08,70.0
2005-09-09,70.0
2005-09-12,68.25
2005-09-13,67.5
2005-09-14,67.5
2005-09-15,66.25
2005-09-16,64.75
2005-09-19,60.25
2005-09-20,61.0
2005-09-21,60.5
2005-09-22,61.25
2005-09-23,63.5
2005-09-26,64.25
2005-09-27,63.75
2005-09-28,62.0
2005-09-29,62.0
2005-09-30,65.25
2005-10-03,65.5
2005-10-04,65.5
2005-10-05,63.0
2005-10-06,62.75
2005-10-07,63.5
2005-10-10,63.0
2005-10-11,61.0
2005-10-12,60.0
2005-10-13,58.5
2005-10-14,58.25
2005-10-17,60.25
2005-10-18,59.5
2005-10-19,61.25
2005-10-20,60.0
2005-10-21,59.75
2005-10-24,60.0
2005-10-25,60.5
2005-10-26,61.75
2005-10-27,57.5
2005-10-28,56.5
2005-10-31,56.5
2005-11-01,54.25
2005-11-02,53.75
2005-11-03,61.25
2005-11-04,60.25
2005-11-07,60.5
2005-11-08,60.0
2005-11-09,60.25
2005-11-10,59.5
2005-11-11,59.5
2005-11-14,59.75
2005-11-15,55.25
2005-11-16,57.5
2005-11-17,59.0
2005-11-18,59.25
2005-11-21,59.25
2005-11-22,59.0
2005-11-23,59.25
2005-11-25,58.5
2005-11-28,57.0
2005-11-29,56.5
2005-11-30,55.25
2005-12-01,55.0
2005-12-02,56.75
2005-12-05,56.0
2005-12-06,57.0
2005-12-07,55.5
2005-12-08,56.0
2005-12-09,54.25
2005-12-12,55.0
2005-12-13,54.0
2005-12-14,54.25
2005-12-15,54.25
2005-12-16,54.25
2005-12-19,52.5
2005-12-20,53.25
2005-12-21,51.75
2005-12-22,52.0
2005-12-23,52.0
2005-12-27,52.25
2005-12-28,51.5
2005-12-29,50.25
2005-12-30,52.75
2006-01-03,53.25
2006-01-04,55.0
2006-01-05,54.75
2006-01-06,54.5
2006-01-09,55.0
2006-01-10,54.0
2006-01-11,55.0
2006-01-12,57.0
2006-01-13,54.5
2006-01-17,53.25
2006-01-18,52.5
2006-01-19,52.75
2006-01-20,51.75
2006-01-23,51.75
2006-01-24,52.5
2006-01-25,51.5
2006-01-26,52.5
2006-01-27,52.5
2006-01-30,53.0
2006-01-31,57.5
2006-02-01,54.75
2006-02-02,54.5
2006-02-03,54.5
2006-02-06,54.5
2006-02-07,55.0
2006-02-08,56.0
2006-02-09,55.0
2006-02-10,55.0
2006-02-13,57.25
2006-02-14,61.0
2006-02-15,60.25
2006-02-16,63.5
2006-02-17,63.75
2006-02-21,62.75
2006-02-22,62.0
2006-02-23,61.75
2006-02-24,61.5
2006-02-27,61.25
2006-02-28,61.0
2006-03-01,65.25
2006-03-02,65.5
2006-03-03,69.0
2006-03-06,66.75
2006-03-07,65.0
2006-03-08,63.0
2006-03-09,62.25
2006-03-10,61.25
2006-03-13,63.25
2006-03-14,67.25
2006-03-15,68.25
2006-03-16,67.0
2006-03-17,67.5
2006-03-20,68.5
2006-03-21,66.75
2006-03-22,68.25
2006-03-23,68.0
2006-03-24,68.75
2006-03-27,69.5
2006-03-28,68.25
2006-03-29,68.5
2006-03-30,67.75
2006-03-31,67.0
2006-04-03,63.75
2006-04-04,65.0
2006-04-05,65.5
2006-04-06,65.75
2006-04-07,65.0
2006-04-10,61.0
2006-04-11,59.25
2006-04-12,61.0
2006-04-13,61.5
2006-04-17,59.25
2006-04-18,62.0
2006-04-19,67.5
2006-04-20,67.5
2006-04-21,60.75
2006-04-24,59.75
2006-04-25,61.0
2006-04-26,61.25
2006-04-27,61.25
2006-04-28,60.5
2006-05-01,58.75
2006-05-02,58.0
2006-05-03,57.5
2006-05-04,57.5
2006-05-05,59.5
2006-05-08,59.25
2006-05-09,57.75
2006-05-10,58.5
2006-05-11,55.0
2006-05-12,54.0
2006-05-15,52.5
2006-05-16,52.5
2006-05-17,52.5
2006-05-18,51.5
2006-05-19,52.0
2006-05-22,51.5
2006-05-23,52.25
2006-05-24,54.25
2006-05-25,55.25
2006-05-26,54.5
2006-05-30,52.75
2006-05-31,52.5
2006-06-01,54.25
2006-06-02,54.25
2006-06-05,52.75
2006-06-06,52.25
2006-06-07,51.25
2006-06-08,51.25
2006-06-09,50.25
2006-06-12,47.25
2006-06-13,46.5
2006-06-14,46.25
2006-06-15,48.75
2006-06-16,49.75
2006-06-19,47.5
2006-06-20,48.5
2006-06-21,49.75
2006-06-22,48.75
2006-06-23,49.5
2006-06-26,49.5
2006-06-27,47.5
2006-06-28,48.5
2006-06-29,51.0
2006-06-30,51.0
2006-07-03,50.25
2006-07-05,50.25
2006-07-06,52.25
2006-07-07,50.75
2006-07-10,49.0
2006-07-11,50.75
2006-07-12,49.5
2006-07-13,48.25
2006-07-14,47.0
2006-07-17,47.0
2006-07-18,47.5
2006-07-19,49.0
2006-07-20,47.5
2006-07-21,33.5
2006-07-24,33.25
2006-07-25,33.75
2006-07-26,35.25
2006-07-27,33.0
2006-07-28,35.25
2006-07-31,36.75
2006-08-01,34.5
2006-08-02,36.5
2006-08-03,36.0
2006-08-04,35.25
2006-08-07,35.5
2006-08-08,34.5
2006-08-09,34.5
2006-08-10,35.0
2006-08-11,34.0
2006-08-14,33.75
2006-08-15,35.0
2006-08-16,35.75
2006-08-17,36.5
2006-08-18,35.25
2006-08-21,34.75
2006-08-22,35.5
2006-08-23,34.0
2006-08-24,34.75
2006-08-25,34.5
2006-08-28,36.0
2006-08-29,38.25
2006-08-30,40.25
2006-08-31,40.5
2006-09-01,39.25
2006-09-05,40.25
2006-09-06,37.5
2006-09-07,36.25
2006-09-08,37.75
2006-09-11,37.75
2006-09-12,39.75
2006-09-13,38.25
2006-09-14,37.5
2006-09-15,36.25
2006-09-18,37.0
2006-09-19,35.75
2006-09-20,34.25
2006-09-21,34.25
2006-09-22,33.75
2006-09-25,34.75
2006-09-26,34.75
2006-09-27,35.0
2006-09-28,26.5
2006-09-29,26.75
2006-10-02,26.25
2006-10-03,25.75
2006-10-04,26.25
2006-10-05,25.0
2006-10-06,25.25
2006-10-09,25.0
2006-10-10,25.0
2006-10-11,26.75
2006-10-12,27.75
2006-10-13,27.0
2006-10-16,27.75
2006-10-17,27.25
2006-10-18,26.75
2006-10-19,26.75
2006-10-20,25.5
2006-10-23,25.25
2006-10-24,26.75
2006-10-25,26.0
2006-10-26,27.25
2006-10-27,32.0
2006-10-30,34.75
2006-10-31,35.5
2006-11-01,32.25
2006-11-02,32.5
2006-11-03,32.5
2006-11-06,34.25
2006-11-07,32.25
2006-11-08,33.75
2006-11-09,33.75
2006-11-10,34.0
2006-11-13,36.0
2006-11-14,36.0
2006-11-15,37.0
2006-11-16,37.75
2006-11-17,37.0
2006-11-20,35.0
2006-11-21,35.75
2006-11-22,35.5
2006-11-24,34.25
2006-11-27,33.25
2006-11-28,35.0
2006-11-29,34.5
2006-11-30,33.5
2006-12-01,33.0
2006-12-04,33.0
2006-12-05,30.5
2006-12-06,30.25
2006-12-07,31.5
2006-12-08,31.25
2006-12-11,31.0
2006-12-12,31.0
2006-12-13,30.75
2006-12-14,30.75
2006-12-15,32.5
2006-12-18,33.5
2006-12-19,31.75
2006-12-20,33.75
2006-12-21,33.0
2006-12-22,32.5
2006-12-26,33.25
2006-12-27,34.0
2006-12-28,33.25
2006-12-29,32.75
2007-01-03,33.25
2007-01-04,34.0
2007-01-05,33.0
2007-01-08,34.0
2007-01-09,33.0
2007-01-10,32.75
2007-01-11,33.5
2007-01-12,33.0
2007-01-16,33.75
2007-01-17,32.5
2007-01-18,31.75
2007-01-19,33.25
2007-01-22,32.5
2007-01-23,33.0
2007-01-24,33.25
2007-01-25,32.75
2007-01-26,30.75
2007-01-29,30.5
2007-01-30,29.75
2007-01-31,29.5
2007-02-01,29.25
2007-02-02,30.5
2007-02-05,31.0
2007-02-06,30.75
2007-02-07,31.25
2007-02-08,30.75
2007-02-09,30.5
2007-02-12,29.25
2007-02-13,29.25
2007-02-14,29.5
2007-02-15,29.5
2007-02-16,29.5
2007-02-20,30.75
2007-02-21,30.0
2007-02-22,30.25
2007-02-23,29.5
2007-02-26,29.5
2007-02-27,28.25
2007-02-28,29.0
2007-03-01,29.25
2007-03-02,29.25
2007-03-05,29.0
2007-03-06,30.25
2007-03-07,30.75
2007-03-08,33.75
2007-03-09,33.5
2007-03-12,32.5
2007-03-13,32.75
2007-03-14,33.0
2007-03-15,33.25
2007-03-16,32.25
2007-03-19,32.5
2007-03-20,33.0
2007-03-21,33.0
2007-03-22,31.25
2007-03-23,31.5
2007-03-26,32.25
2007-03-27,32.25
2007-03-28,32.5
2007-03-29,31.25
2007-03-30,31.0
2007-04-02,30.25
2007-04-03,30.75
2007-04-04,31.0
2007-04-05,30.0
2007-04-09,31.5
2007-04-10,30.75
2007-04-11,30.75
2007-04-12,29.5
2007-04-13,32.5
2007-04-16,36.5
2007-04-17,35.75
2007-04-18,36.0
2007-04-19,37.0
2007-04-20,34.75
2007-04-23,35.5
2007-04-24,36.5
2007-04-25,37.0
2007-04-26,35.75
2007-04-27,34.25
2007-04-30,35.5
2007-05-01,36.0
2007-05-02,36.0
2007-05-03,36.0
2007-05-04,37.5
2007-05-07,36.5
2007-05-08,36.0
2007-05-09,36.5
2007-05-10,34.5
2007-05-11,35.0
2007-05-14,34.5
2007-05-15,32.25
2007-05-16,32.25
2007-05-17,31.0
2007-05-18,32.25
2007-05-21,31.75
2007-05-22,33.0
2007-05-23,33.0
2007-05-24,32.75
2007-05-25,33.25
2007-05-29,34.0
2007-05-30,36.5
2007-05-31,36.0
2007-06-01,36.75
2007-06-04,37.25
2007-06-05,36.75
2007-06-06,38.25
2007-06-07,36.5
2007-06-08,35.75
2007-06-11,35.0
2007-06-12,35.5
2007-06-13,35.75
2007-06-14,36.0
2007-06-15,37.25
2007-06-18,39.0
2007-06-19,37.0
2007-06-20,37.0
2007-06-21,36.5
2007-06-22,35.75
2007-06-25,35.25
2007-06-26,35.5
2007-06-27,35.25
2007-06-28,35.25
2007-06-29,36.0
2007-07-02,35.5
2007-07-03,35.5
2007-07-05,35.25
2007-07-06,34.75
2007-07-09,34.0
2007-07-10,34.0
2007-07-11,33.25
2007-07-12,35.25
2007-07-13,34.0
2007-07-16,33.75
2007-07-17,32.75
2007-07-18,32.0
2007-07-19,32.5
2007-07-20,32.5
2007-07-23,32.25
2007-07-24,31.5
2007-07-25,28.25
2007-07-26,28.75
2007-07-27,29.0
2007-07-30,28.75
2007-07-31,30.0
2007-08-01,29.5
2007-08-02,29.0
2007-08-03,27.75
2007-08-06,26.75
2007-08-07,28.5
2007-08-08,29.0
2007-08-09,30.25
2007-08-10,28.5
2007-08-13,27.75
2007-08-14,29.0
2007-08-15,29.25
2007-08-16,29.5
2007-08-17,30.25
2007-08-20,30.0
2007-08-21,30.25
2007-08-22,30.0
2007-08-23,29.5
2007-08-24,30.0
2007-08-27,29.75
2007-08-28,30.0
2007-08-29,30.0
2007-08-30,30.75
2007-08-31,30.75
2007-09-04,31.5
2007-09-05,31.25
2007-09-06,31.0
2007-09-07,30.0
2007-09-10,30.25
2007-09-11,30.0
2007-09-12,30.25
2007-09-13,30.0
2007-09-14,30.75
2007-09-17,30.0
2007-09-18,30.5
2007-09-19,31.5
2007-09-20,31.5
2007-09-21,31.25
2007-09-24,30.5
2007-09-25,30.75
2007-09-26,30.25
2007-09-27,31.0
2007-09-28,29.75
2007-10-01,30.75
2007-10-02,30.5
2007-10-03,30.75
2007-10-04,32.25
2007-10-05,33.0
2007-10-08,33.0
2007-10-09,35.5
2007-10-10,35.5
2007-10-11,35.0
2007-10-12,34.75
2007-10-15,36.75
2007-10-16,38.75
2007-10-17,37.5
2007-10-18,37.25
2007-10-19,34.25
2007-10-22,36.75
2007-10-23,36.75
2007-10-24,37.0
2007-10-25,35.75
2007-10-26,36.5
2007-10-29,37.0
2007-10-30,35.25
2007-10-31,34.75
2007-11-01,34.75
2007-11-02,33.5
2007-11-05,31.75
2007-11-06,32.5
2007-11-07,31.25
2007-11-08,30.75
2007-11-09,31.0
2007-11-12,31.25
2007-11-13,31.25
2007-11-14,31.5
2007-11-15,31.0
2007-11-16,31.5
2007-11-19,31.0
2007-11-20,32.25
2007-11-21,31.5
2007-11-23,31.5
2007-11-26,31.0
2007-11-27,31.5
2007-11-28,32.0
2007-11-29,32.0
2007-11-30,31.25
2007-12-03,32.0
2007-12-04,32.0
2007-12-05,32.25
2007-12-06,34.25
2007-12-07,34.75
2007-12-10,36.25
2007-12-11,34.75
2007-12-12,34.0
2007-12-13,33.5
2007-12-14,32.75
2007-12-17,30.0
2007-12-18,29.5
2007-12-19,29.75
2007-12-20,30.25
2007-12-21,30.75
2007-12-24,29.5
2007-12-26,30.0
2007-12-27,29.5
2007-12-28,29.75
2007-12-31,29.25
2008-01-02,28.5
2008-01-03,29.75
2008-01-04,29.0
2008-01-07,28.0
2008-01-08,27.75
2008-01-09,26.25
2008-01-10,26.0
2008-01-11,25.75
2008-01-14,25.0
2008-01-15,24.75
2008-01-16,25.0
2008-01-17,25.5
2008-01-18,25.25
2008-01-22,24.0
2008-01-23,24.5
2008-01-24,25.0
2008-01-25,23.5
2008-01-28,24.0
2008-01-29,26.5
2008-01-30,26.0
2008-01-31,26.0
2008-02-01,27.0
2008-02-04,26.75
2008-02-05,27.0
2008-02-06,26.75
2008-02-07,28.0
2008-02-08,27.5
2008-02-11,25.25
2008-02-12,27.25
2008-02-13,29.0
2008-02-14,29.25
2008-02-15,24.25
2008-02-19,26.25
2008-02-20,27.0
2008-02-21,26.25
2008-02-22,27.5
2008-02-25,28.0
2008-02-26,28.5
2008-02-27,27.25
2008-02-28,28.0
2008-02-29,27.0
2008-03-03,27.5
2008-03-04,25.75
2008-03-05,27.25
2008-03-06,27.25
2008-03-07,27.5
2008-03-10,26.75
2008-03-11,27.25
2008-03-12,27.25
2008-03-13,27.25
2008-03-14,26.5
2008-03-17,26.0
2008-03-18,26.5
2008-03-19,26.0
2008-03-20,26.25
2008-03-24,26.25
2008-03-25,26.5
2008-03-26,25.25
2008-03-27,26.25
2008-03-28,26.0
2008-03-31,24.5
2008-04-01,25.5
2008-04-02,26.25
2008-04-03,25.25
2008-04-04,26.0
2008-04-07,25.25
2008-04-08,25.5
2008-04-09,25.0
2008-04-10,25.75
2008-04-11,25.25
2008-04-14,25.0
2008-04-15,24.5
2008-04-16,26.0
2008-04-17,25.25
2008-04-18,25.5
2008-04-21,25.25
2008-04-22,25.5
2008-04-23,25.5
2008-04-24,25.25
2008-04-25,25.25
2008-04-28,25.5
2008-04-29,25.0
2008-04-30,24.5
2008-05-01,24.25
2008-05-02,24.75
2008-05-05,24.75
2008-05-06,24.75
2008-05-07,25.0
2008-05-08,24.75
2008-05-09,24.0
2008-05-12,24.75
2008-05-13,24.5
2008-05-14,24.75
2008-05-15,23.75
2008-05-16,23.0
2008-05-19,23.75
2008-05-20,24.0
2008-05-21,24.5
2008-05-22,23.25
2008-05-23,23.75
2008-05-27,23.75
2008-05-28,23.75
2008-05-29,23.5
2008-05-30,24.25
2008-06-02,23.75
2008-06-03,24.0
2008-06-04,23.25
2008-06-05,23.5
2008-06-06,23.75
2008-06-09,23.0
2008-06-10,22.75
2008-06-11,22.25
2008-06-12,22.5
2008-06-13,21.5
2008-06-16,22.0
2008-06-17,22.0
2008-06-18,21.75
2008-06-19,18.25
2008-06-20,19.75
2008-06-23,21.0
2008-06-24,19.75
2008-06-25,19.25
2008-06-26,18.75
2008-06-27,17.5
2008-06-30,19.5
2008-07-01,18.5
2008-07-02,13.5
2008-07-03,13.0
2008-07-07,10.75
2008-07-08,10.75
2008-07-09,10.25
2008-07-10,8.25
2008-07-11,8.25
2008-07-14,9.0
2008-07-15,8.5
2008-07-16,9.25
2008-07-17,9.25
2008-07-18,10.75
2008-07-21,10.5
2008-07-22,10.75
2008-07-23,9.75
2008-07-24,9.5
2008-07-25,10.0
2008-07-28,9.75
2008-07-29,9.5
2008-07-30,9.25
2008-07-31,8.25
2008-08-01,8.5
2008-08-04,8.5
2008-08-05,8.75
2008-08-06,8.25
2008-08-07,8.5
2008-08-08,8.25
2008-08-11,8.75
2008-08-12,8.75
2008-08-13,9.0
2008-08-14,9.25
2008-08-15,9.5
2008-08-18,9.25
2008-08-19,8.75
2008-08-20,9.5
2008-08-21,9.25
2008-08-22,8.75
2008-08-25,8.75
2008-08-26,8.75
2008-08-27,8.75
2008-08-28,7.5
2008-08-29,7.75
2008-09-02,8.25
2008-09-03,7.75
2008-09-04,7.5
2008-09-05,7.5
2008-09-08,7.0
2008-09-09,6.25
2008-09-10,6.5
2008-09-11,6.5
2008-09-12,7.0
2008-09-15,7.0
2008-09-16,6.25
2008-09-17,6.25
2008-09-18,7.25
2008-09-19,7.0
2008-09-22,6.0
2008-09-23,5.75
2008-09-24,5.75
2008-09-25,5.5
2008-09-26,5.25
2008-09-29,5.25
2008-09-30,4.75
2008-10-01,4.5
2008-10-02,3.75
2008-10-03,3.75
2008-10-06,2.75
2008-10-07,3.0
2008-10-08,3.5
2008-10-09,3.25
2008-10-10,3.0
2008-10-13,3.0
2008-10-14,3.0
2008-10-15,3.0
2008-10-16,2.75
2008-10-17,3.0
2008-10-20,3.25
2008-10-21,3.75
2008-10-22,3.75
2008-10-23,3.75
2008-10-24,3.5
2008-10-27,3.5
2008-10-28,3.5
2008-10-29,3.25
2008-10-30,3.0
2008-10-31,3.0
2008-11-03,3.25
2008-11-04,3.25
2008-11-05,3.25
2008-11-06,3.25
2008-11-07,3.0
2008-11-10,2.75
2008-11-11,3.0
2008-11-12,2.5
2008-11-13,2.5
2008-11-14,2.25
2008-11-17,2.5
2008-11-18,2.5
2008-11-19,2.0
2008-11-20,1.5
2008-11-21,1.25
2008-11-24,1.75
2008-11-25,2.0
2008-11-26,2.25
2008-11-28,2.75
2008-12-01,2.25
2008-12-02,2.0
