,BRLI
2020-07-22,9.75
2020-07-23,9.760000228881836
2020-07-24,9.8100004196167
2020-07-27,9.810999870300293
2020-07-28,9.800000190734863
2020-07-29,9.850000381469727
2020-07-30,9.800000190734863
2020-07-31,9.770000457763672
2020-08-03,9.779999732971191
2020-08-04,9.779999732971191
2020-08-05,9.800000190734863
2020-08-06,9.770000457763672
2020-08-07,9.800000190734863
2020-08-10,9.779999732971191
2020-08-11,9.800000190734863
2020-08-12,9.864999771118164
2020-08-13,9.864999771118164
2020-08-14,9.949999809265137
2020-08-17,9.819999694824219
2020-08-18,9.850000381469727
2020-08-19,9.789999961853027
2020-08-20,9.770000457763672
2020-08-21,9.8100004196167
2020-08-24,9.770000457763672
2020-08-25,9.8100004196167
2020-08-26,9.8100004196167
2020-08-27,9.8100004196167
2020-08-28,9.75
2020-08-31,9.84000015258789
2020-09-01,9.84000015258789
2020-09-02,9.779999732971191
2020-09-03,9.770000457763672
2020-09-04,9.781000137329102
2020-09-08,9.8100004196167
2020-09-09,9.779999732971191
2020-09-10,9.85099983215332
2020-09-11,9.770000457763672
2020-09-14,9.800000190734863
2020-09-15,9.770000457763672
2020-09-16,9.770000457763672
2020-09-17,9.770000457763672
2020-09-18,9.800000190734863
2020-09-21,9.8100004196167
2020-09-22,9.75
2020-09-23,9.760000228881836
2020-09-24,9.760000228881836
2020-09-25,9.75
2020-09-28,9.77400016784668
2020-09-29,9.77400016784668
2020-09-30,9.77400016784668
2020-10-01,9.77400016784668
2020-10-02,9.8100004196167
2020-10-05,9.807000160217285
2020-10-06,9.8100004196167
2020-10-07,9.800000190734863
2020-10-08,9.8100004196167
2020-10-09,9.8100004196167
2020-10-12,9.8149995803833
2020-10-13,9.829999923706055
2020-10-14,9.829999923706055
2020-10-15,9.800000190734863
2020-10-16,9.800000190734863
2020-10-19,9.800000190734863
2020-10-20,9.829999923706055
2020-10-21,9.800000190734863
2020-10-22,9.779999732971191
2020-10-23,9.800000190734863
2020-10-26,9.793000221252441
2020-10-27,9.793000221252441
2020-10-28,9.779999732971191
2020-10-29,9.779999732971191
2020-10-30,9.779999732971191
2020-11-02,9.75
2020-11-03,9.75
2020-11-04,9.75
2020-11-05,9.75
2020-11-06,9.75
2020-11-09,9.75
2020-11-10,9.793999671936035
2020-11-11,9.793999671936035
2020-11-12,9.793999671936035
2020-11-13,9.793999671936035
2020-11-16,9.789999961853027
2020-11-17,9.800000190734863
2020-11-18,9.8100004196167
2020-11-19,9.819999694824219
2020-11-20,9.819999694824219
2020-11-23,9.829999923706055
2020-11-24,9.8100004196167
2020-11-25,9.8100004196167
2020-11-27,9.819999694824219
2020-11-30,9.829999923706055
2020-12-01,9.800000190734863
2020-12-02,9.829999923706055
2020-12-03,9.869999885559082
2020-12-04,9.869999885559082
2020-12-07,9.850000381469727
2020-12-08,9.899999618530273
2020-12-09,9.9399995803833
2020-12-10,9.949999809265137
2020-12-11,9.949999809265137
2020-12-14,9.90999984741211
2020-12-15,10.0
2020-12-16,9.979999542236328
2020-12-17,9.920000076293945
2020-12-18,9.989999771118164
2020-12-21,10.050000190734863
2020-12-22,10.029999732971191
2020-12-23,10.050000190734863
2020-12-24,10.09000015258789
2020-12-28,10.079999923706055
2020-12-29,10.050000190734863
2020-12-30,10.029999732971191
2020-12-31,10.010000228881836
2021-01-04,10.069999694824219
2021-01-05,10.079999923706055
2021-01-06,10.09000015258789
2021-01-07,10.020000457763672
2021-01-08,10.199999809265137
2021-01-11,10.1899995803833
2021-01-12,10.1899995803833
2021-01-13,10.420000076293945
2021-01-14,10.350000381469727
2021-01-15,10.25
2021-01-19,10.229999542236328
2021-01-20,10.229999542236328
