,ACVA
2021-03-24,31.25
2021-03-25,30.0
2021-03-26,30.270000457763672
2021-03-29,32.36000061035156
2021-03-30,33.47999954223633
2021-03-31,34.61000061035156
2021-04-01,33.900001525878906
2021-04-05,32.04999923706055
2021-04-06,32.189998626708984
2021-04-07,30.670000076293945
2021-04-08,31.739999771118164
2021-04-09,31.399999618530273
2021-04-12,31.940000534057617
2021-04-13,33.79999923706055
2021-04-14,35.150001525878906
2021-04-15,36.83000183105469
2021-04-16,37.040000915527344
2021-04-19,34.810001373291016
2021-04-20,33.40999984741211
2021-04-21,34.060001373291016
2021-04-22,33.27000045776367
2021-04-23,34.91999816894531
2021-04-26,33.459999084472656
2021-04-27,33.90999984741211
2021-04-28,34.529998779296875
2021-04-29,34.75
2021-04-30,33.9900016784668
2021-05-03,34.189998626708984
2021-05-04,33.08000183105469
2021-05-05,33.45000076293945
2021-05-06,33.0
2021-05-07,33.08000183105469
2021-05-10,33.75
2021-05-11,33.5099983215332
2021-05-12,30.100000381469727
2021-05-13,29.059999465942383
2021-05-14,28.450000762939453
