,CFA
2014-07-02,34.9900016784668
2014-07-03,34.959999084472656
2014-07-07,35.08000183105469
2014-07-08,35.08000183105469
2014-07-09,35.08000183105469
2014-07-10,35.08000183105469
2014-07-11,35.08000183105469
2014-07-14,34.790000915527344
2014-07-15,34.790000915527344
2014-07-16,34.7400016784668
2014-07-17,34.65999984741211
2014-07-18,34.65999984741211
2014-07-21,34.65999984741211
2014-07-22,34.83000183105469
2014-07-23,34.83000183105469
2014-07-24,34.869998931884766
2014-07-25,34.869998931884766
2014-07-28,34.869998931884766
2014-07-29,34.65999984741211
2014-07-30,34.474998474121094
2014-07-31,34.11000061035156
2014-08-01,33.779998779296875
2014-08-04,34.40999984741211
2014-08-05,33.810001373291016
2014-08-06,33.810001373291016
2014-08-07,33.56999969482422
2014-08-08,33.56999969482422
2014-08-11,33.56999969482422
2014-08-12,34.599998474121094
2014-08-13,34.599998474121094
2014-08-14,34.599998474121094
2014-08-15,34.31999969482422
2014-08-18,34.77000045776367
2014-08-19,34.77000045776367
2014-08-20,34.95000076293945
2014-08-21,34.95000076293945
2014-08-22,34.95000076293945
2014-08-25,34.95000076293945
2014-08-26,35.2599983215332
2014-08-27,35.2400016784668
2014-08-28,35.2400016784668
2014-08-29,35.2400016784668
2014-09-02,35.31999969482422
2014-09-03,35.31999969482422
2014-09-04,35.31999969482422
2014-09-05,35.31999969482422
2014-09-08,35.31999969482422
2014-09-09,35.31999969482422
2014-09-10,35.2400016784668
2014-09-11,35.2400016784668
2014-09-12,35.2400016784668
2014-09-15,35.2400016784668
2014-09-16,35.2400016784668
2014-09-17,35.2400016784668
2014-09-18,35.2400016784668
2014-09-19,35.2400016784668
2014-09-22,35.2400016784668
2014-09-23,35.2400016784668
2014-09-24,35.2400016784668
2014-09-25,35.2400016784668
2014-09-26,35.2400016784668
2014-09-29,35.2400016784668
2014-09-30,35.2400016784668
2014-10-01,34.060001373291016
2014-10-02,33.72999954223633
2014-10-03,34.39500045776367
2014-10-06,34.34000015258789
2014-10-07,34.34000015258789
2014-10-08,34.189998626708984
2014-10-09,33.70000076293945
2014-10-10,33.279998779296875
2014-10-13,32.709999084472656
2014-10-14,32.709999084472656
2014-10-15,32.59000015258789
2014-10-16,32.7400016784668
2014-10-17,33.15999984741211
2014-10-20,33.38399887084961
2014-10-21,33.38399887084961
2014-10-22,34.0
2014-10-23,34.279998779296875
2014-10-24,34.47999954223633
2014-10-27,34.40999984741211
2014-10-28,34.40999984741211
2014-10-29,35.43000030517578
2014-10-30,35.43000030517578
2014-10-31,35.43000030517578
2014-11-03,35.43000030517578
2014-11-04,35.32099914550781
2014-11-05,35.47999954223633
2014-11-06,35.47999954223633
2014-11-07,35.47999954223633
2014-11-10,35.91999816894531
2014-11-11,35.91999816894531
2014-11-12,35.91999816894531
2014-11-13,35.90999984741211
2014-11-14,35.90999984741211
2014-11-17,35.849998474121094
2014-11-18,35.849998474121094
2014-11-19,35.849998474121094
2014-11-20,36.150001525878906
2014-11-21,36.400001525878906
2014-11-24,36.45000076293945
2014-11-25,36.439998626708984
2014-11-26,37.08000183105469
2014-11-28,37.08000183105469
2014-12-01,36.09000015258789
2014-12-02,36.29999923706055
2014-12-03,36.56999969482422
2014-12-04,36.4900016784668
2014-12-05,36.4900016784668
2014-12-08,36.59299850463867
2014-12-09,36.59299850463867
2014-12-10,36.119998931884766
2014-12-11,35.90999984741211
2014-12-12,35.375999450683594
2014-12-15,35.119998931884766
2014-12-16,35.119998931884766
2014-12-17,35.119998931884766
2014-12-18,35.83000183105469
2014-12-19,36.4900016784668
2014-12-22,36.63999938964844
2014-12-23,36.63999938964844
2014-12-24,36.790000915527344
2014-12-26,36.849998474121094
2014-12-29,37.02000045776367
2014-12-30,36.849998474121094
2014-12-31,36.40999984741211
2015-01-02,36.220001220703125
2015-01-05,35.70000076293945
2015-01-06,35.38999938964844
2015-01-07,35.79999923706055
2015-01-08,36.459999084472656
2015-01-09,36.13600158691406
2015-01-12,35.790000915527344
2015-01-13,35.68000030517578
2015-01-14,35.47999954223633
2015-01-15,35.22999954223633
2015-01-16,35.689998626708984
2015-01-20,35.494998931884766
2015-01-21,35.494998931884766
2015-01-22,36.459999084472656
2015-01-23,36.459999084472656
2015-01-26,36.459999084472656
2015-01-27,36.22999954223633
2015-01-28,36.22999954223633
2015-01-29,35.650001525878906
2015-01-30,35.77000045776367
2015-02-02,35.77000045776367
2015-02-03,36.111000061035156
2015-02-04,36.33000183105469
2015-02-05,36.709999084472656
2015-02-06,36.599998474121094
2015-02-09,36.40999984741211
2015-02-10,36.58000183105469
2015-02-11,36.79999923706055
2015-02-12,37.130001068115234
2015-02-13,37.27000045776367
2015-02-17,37.310001373291016
2015-02-18,37.43000030517578
2015-02-19,37.38999938964844
2015-02-20,37.63600158691406
2015-02-23,37.619998931884766
2015-02-24,37.75
2015-02-25,37.68000030517578
2015-02-26,37.630001068115234
