,ENNV
2021-04-06,10.199999809265137
2021-04-07,9.954999923706055
2021-04-08,10.149999618530273
2021-04-09,9.949999809265137
2021-04-12,9.869999885559082
2021-04-13,10.010000228881836
2021-04-14,9.989999771118164
2021-04-15,9.869999885559082
2021-04-16,9.904999732971191
2021-04-19,9.9399995803833
2021-04-20,9.859999656677246
2021-04-21,9.899999618530273
2021-04-22,9.899999618530273
2021-04-23,10.0
2021-04-26,9.819999694824219
2021-04-27,9.84000015258789
2021-04-28,9.84000015258789
2021-04-29,9.979999542236328
2021-04-30,9.899999618530273
2021-05-03,9.850000381469727
2021-05-04,10.0
2021-05-05,9.920000076293945
2021-05-06,9.800000190734863
2021-05-07,9.850000381469727
2021-05-10,9.807999610900879
2021-05-11,9.949999809265137
2021-05-12,9.850000381469727
2021-05-13,9.829999923706055
2021-05-14,9.829999923706055
