,BBIO
2019-06-27,27.549999237060547
2019-06-28,26.969999313354492
2019-07-01,27.3700008392334
2019-07-02,27.040000915527344
2019-07-03,28.610000610351562
2019-07-05,28.989999771118164
2019-07-08,28.200000762939453
2019-07-09,27.360000610351562
2019-07-10,27.600000381469727
2019-07-11,29.770000457763672
2019-07-12,28.6200008392334
2019-07-15,27.84000015258789
2019-07-16,25.940000534057617
2019-07-17,26.1200008392334
2019-07-18,26.0
2019-07-19,27.510000228881836
2019-07-22,30.34000015258789
2019-07-23,28.829999923706055
2019-07-24,28.1200008392334
2019-07-25,26.790000915527344
2019-07-26,28.3700008392334
2019-07-29,28.690000534057617
2019-07-30,27.780000686645508
2019-07-31,29.350000381469727
2019-08-01,29.690000534057617
2019-08-02,28.290000915527344
2019-08-05,26.899999618530273
2019-08-06,27.8799991607666
2019-08-07,29.469999313354492
2019-08-08,29.81999969482422
2019-08-09,26.8799991607666
2019-08-12,26.190000534057617
2019-08-13,26.760000228881836
2019-08-14,25.889999389648438
2019-08-15,26.760000228881836
2019-08-16,27.459999084472656
2019-08-19,28.049999237060547
2019-08-20,28.65999984741211
2019-08-21,29.81999969482422
2019-08-22,29.799999237060547
2019-08-23,29.309999465942383
2019-08-26,30.489999771118164
2019-08-27,31.260000228881836
2019-08-28,29.610000610351562
2019-08-29,30.709999084472656
2019-08-30,30.479999542236328
2019-09-03,32.380001068115234
2019-09-04,31.479999542236328
2019-09-05,31.31999969482422
2019-09-06,30.93000030517578
2019-09-09,28.350000381469727
2019-09-10,26.549999237060547
2019-09-11,26.950000762939453
2019-09-12,26.100000381469727
2019-09-13,25.90999984741211
2019-09-16,25.3799991607666
2019-09-17,24.860000610351562
2019-09-18,24.75
2019-09-19,24.530000686645508
2019-09-20,26.270000457763672
2019-09-23,27.604999542236328
2019-09-24,25.459999084472656
2019-09-25,23.389999389648438
2019-09-26,21.239999771118164
2019-09-27,20.1299991607666
2019-09-30,21.469999313354492
2019-10-01,20.899999618530273
2019-10-02,19.56999969482422
2019-10-03,20.170000076293945
2019-10-04,19.43000030517578
2019-10-07,19.6299991607666
2019-10-08,19.110000610351562
2019-10-09,18.350000381469727
2019-10-10,18.75
2019-10-11,18.530000686645508
2019-10-14,18.1200008392334
2019-10-15,18.6200008392334
2019-10-16,17.959999084472656
2019-10-17,18.510000228881836
2019-10-18,18.209999084472656
2019-10-21,18.6299991607666
2019-10-22,18.399999618530273
2019-10-23,18.479999542236328
2019-10-24,18.510000228881836
2019-10-25,18.719999313354492
2019-10-28,19.440000534057617
2019-10-29,20.0
2019-10-30,20.260000228881836
2019-10-31,22.610000610351562
2019-11-01,24.149999618530273
2019-11-04,23.079999923706055
2019-11-05,23.209999084472656
2019-11-06,22.15999984741211
2019-11-07,24.420000076293945
2019-11-08,27.059999465942383
2019-11-11,26.75
2019-11-12,27.959999084472656
2019-11-13,26.280000686645508
2019-11-14,27.56999969482422
2019-11-15,28.260000228881836
2019-11-18,29.06999969482422
2019-11-19,30.290000915527344
2019-11-20,33.290000915527344
2019-11-21,33.540000915527344
2019-11-22,34.0
2019-11-25,31.040000915527344
2019-11-26,28.290000915527344
2019-11-27,29.84000015258789
2019-11-29,29.0
2019-12-02,31.139999389648438
2019-12-03,30.559999465942383
2019-12-04,33.91999816894531
2019-12-05,32.20000076293945
2019-12-06,33.02000045776367
2019-12-09,36.2599983215332
2019-12-10,36.93000030517578
2019-12-11,36.72999954223633
2019-12-12,37.45000076293945
2019-12-13,36.5
2019-12-16,35.15999984741211
2019-12-17,34.939998626708984
2019-12-18,38.459999084472656
2019-12-19,36.75
2019-12-20,41.540000915527344
2019-12-23,46.630001068115234
2019-12-24,45.5
2019-12-26,43.0
2019-12-27,36.84000015258789
2019-12-30,35.439998626708984
2019-12-31,35.04999923706055
2020-01-02,33.220001220703125
2020-01-03,32.220001220703125
2020-01-06,34.849998474121094
2020-01-07,34.61000061035156
2020-01-08,34.18000030517578
2020-01-09,33.560001373291016
2020-01-10,31.020000457763672
2020-01-13,33.61000061035156
2020-01-14,34.58000183105469
2020-01-15,34.5099983215332
2020-01-16,35.0
2020-01-17,34.400001525878906
2020-01-21,32.22999954223633
2020-01-22,34.15999984741211
2020-01-23,34.38999938964844
2020-01-24,34.130001068115234
2020-01-27,34.79999923706055
2020-01-28,34.2599983215332
2020-01-29,34.2400016784668
2020-01-30,34.93000030517578
2020-01-31,34.4900016784668
2020-02-03,34.810001373291016
2020-02-04,34.5
2020-02-05,35.0
2020-02-06,35.400001525878906
2020-02-07,34.994998931884766
2020-02-10,36.22999954223633
2020-02-11,34.84000015258789
2020-02-12,34.650001525878906
2020-02-13,34.04999923706055
2020-02-14,34.650001525878906
2020-02-18,34.06999969482422
2020-02-19,35.16999816894531
2020-02-20,34.9900016784668
2020-02-21,36.13999938964844
2020-02-24,33.25
2020-02-25,31.940000534057617
2020-02-26,32.70000076293945
2020-02-27,30.440000534057617
2020-02-28,31.8799991607666
2020-03-02,32.209999084472656
2020-03-03,32.59000015258789
2020-03-04,31.059999465942383
2020-03-05,29.989999771118164
2020-03-06,28.920000076293945
2020-03-09,26.979999542236328
2020-03-10,28.479999542236328
2020-03-11,23.8799991607666
2020-03-12,20.280000686645508
2020-03-13,23.059999465942383
2020-03-16,17.649999618530273
2020-03-17,16.81999969482422
2020-03-18,16.110000610351562
2020-03-19,20.5
2020-03-20,26.6200008392334
2020-03-23,24.190000534057617
2020-03-24,25.479999542236328
2020-03-25,24.700000762939453
2020-03-26,27.389999389648438
2020-03-27,26.670000076293945
2020-03-30,26.670000076293945
2020-03-31,29.0
2020-04-01,25.079999923706055
2020-04-02,24.739999771118164
2020-04-03,22.219999313354492
2020-04-06,24.9950008392334
2020-04-07,24.420000076293945
2020-04-08,26.93000030517578
2020-04-09,28.3799991607666
2020-04-13,27.18000030517578
2020-04-14,29.040000915527344
2020-04-15,26.540000915527344
2020-04-16,26.540000915527344
2020-04-17,27.389999389648438
2020-04-20,27.6200008392334
2020-04-21,26.950000762939453
2020-04-22,28.559999465942383
2020-04-23,29.700000762939453
