,FBZ
2011-04-19,30.739999771118164
2011-04-20,30.8799991607666
2011-04-21,31.110000610351562
2011-04-25,30.799999237060547
2011-04-26,31.440000534057617
2011-04-27,31.110000610351562
2011-04-28,30.34000015258789
2011-04-29,30.68000030517578
2011-05-02,30.450000762939453
2011-05-03,29.670000076293945
2011-05-04,29.149999618530273
2011-05-05,29.020000457763672
2011-05-06,29.84000015258789
2011-05-09,29.979999542236328
2011-05-10,30.209999084472656
2011-05-11,29.65999984741211
2011-05-12,29.889999389648438
2011-05-13,29.040000915527344
2011-05-16,29.399999618530273
2011-05-17,29.229999542236328
2011-05-18,29.719999313354492
2011-05-19,29.799999237060547
2011-05-20,29.68000030517578
2011-05-23,29.309999465942383
2011-05-24,29.520000457763672
2011-05-25,29.809999465942383
2011-05-26,30.010000228881836
2011-05-27,30.299999237060547
2011-05-31,30.979999542236328
2011-06-01,30.170000076293945
2011-06-02,30.6200008392334
2011-06-03,31.139999389648438
2011-06-06,30.530000686645508
2011-06-07,30.559999465942383
2011-06-08,30.209999084472656
2011-06-09,30.110000610351562
2011-06-10,30.110000610351562
2011-06-13,29.520000457763672
2011-06-14,29.520000457763672
2011-06-15,29.450000762939453
2011-06-16,28.899999618530273
2011-06-17,29.1200008392334
2011-06-20,28.989999771118164
2011-06-21,29.280000686645508
2011-06-22,29.420000076293945
2011-06-23,28.719999313354492
2011-06-24,28.719999313354492
2011-06-27,29.34000015258789
2011-06-28,29.690000534057617
2011-06-29,30.1200008392334
2011-06-30,30.110000610351562
2011-07-01,30.610000610351562
2011-07-05,30.399999618530273
2011-07-06,30.0
2011-07-07,30.09000015258789
2011-07-08,29.40999984741211
2011-07-11,28.790000915527344
2011-07-12,28.899999618530273
2011-07-13,29.31999969482422
2011-07-14,28.93000030517578
2011-07-15,28.920000076293945
2011-07-18,28.920000076293945
2011-07-19,28.770000457763672
2011-07-20,28.920000076293945
2011-07-21,29.399999618530273
2011-07-22,29.200000762939453
2011-07-25,29.709999084472656
2011-07-26,29.559999465942383
2011-07-27,28.889999389648438
2011-07-28,28.3799991607666
2011-07-29,29.219999313354492
2011-08-01,28.950000762939453
2011-08-02,28.459999084472656
2011-08-03,27.709999084472656
2011-08-04,26.309999465942383
2011-08-05,26.389999389648438
2011-08-08,24.219999313354492
2011-08-09,24.09000015258789
2011-08-10,23.739999771118164
2011-08-11,24.350000381469727
2011-08-12,24.729999542236328
2011-08-15,26.1200008392334
2011-08-16,25.700000762939453
2011-08-17,26.209999084472656
2011-08-18,25.510000228881836
2011-08-19,24.850000381469727
2011-08-22,25.350000381469727
2011-08-23,25.93000030517578
2011-08-24,25.6299991607666
2011-08-25,25.299999237060547
2011-08-26,25.479999542236328
2011-08-29,26.360000610351562
2011-08-30,26.43000030517578
2011-08-31,27.280000686645508
2011-09-01,27.739999771118164
2011-09-02,26.940000534057617
2011-09-06,26.229999542236328
2011-09-07,27.09000015258789
2011-09-08,26.829999923706055
2011-09-09,25.459999084472656
2011-09-12,25.010000228881836
2011-09-13,25.190000534057617
2011-09-14,25.1299991607666
2011-09-15,25.889999389648438
2011-09-16,25.299999237060547
2011-09-19,24.31999969482422
2011-09-20,24.6200008392334
2011-09-21,23.549999237060547
2011-09-22,21.209999084472656
2011-09-23,21.719999313354492
2011-09-26,22.18000030517578
2011-09-27,23.010000228881836
2011-09-28,23.010000228881836
2011-09-29,21.799999237060547
2011-09-30,21.030000686645508
2011-10-03,20.920000076293945
2011-10-04,20.920000076293945
2011-10-05,21.209999084472656
2011-10-06,21.90999984741211
2011-10-07,21.90999984741211
2011-10-10,21.90999984741211
2011-10-11,23.3799991607666
2011-10-12,24.329999923706055
2011-10-13,23.290000915527344
2011-10-14,23.649999618530273
2011-10-17,23.0
2011-10-18,23.790000915527344
2011-10-19,23.450000762939453
2011-10-20,23.209999084472656
2011-10-21,23.899999618530273
2011-10-24,23.899999618530273
2011-10-25,24.15999984741211
2011-10-26,24.020000457763672
2011-10-27,25.670000076293945
2011-10-28,25.75
2011-10-31,25.75
2011-11-01,24.239999771118164
2011-11-02,25.219999313354492
2011-11-03,24.649999618530273
2011-11-04,24.649999618530273
2011-11-07,24.649999618530273
2011-11-08,24.639999389648438
2011-11-09,23.719999313354492
2011-11-10,24.049999237060547
2011-11-11,24.68000030517578
2011-11-14,24.559999465942383
2011-11-15,24.559999465942383
2011-11-16,24.479999542236328
2011-11-17,23.65999984741211
2011-11-18,23.65999984741211
2011-11-21,23.25
2011-11-22,23.110000610351562
2011-11-23,22.309999465942383
2011-11-25,21.81999969482422
2011-11-28,22.790000915527344
