,ACTCU
2020-09-23,10.0
2020-09-24,9.979999542236328
2020-09-25,10.020000457763672
2020-09-28,10.100000381469727
2020-09-29,10.050000190734863
2020-09-30,10.039999961853027
2020-10-01,10.0
2020-10-02,9.989999771118164
2020-10-05,9.979999542236328
2020-10-06,9.960000038146973
2020-10-07,9.970000267028809
2020-10-08,10.0
2020-10-09,9.979999542236328
2020-10-12,9.979999542236328
2020-10-13,10.0
2020-10-14,9.989999771118164
2020-10-15,9.979999542236328
2020-10-16,9.956999778747559
2020-10-19,9.979999542236328
2020-10-20,9.984999656677246
2020-10-21,9.930000305175781
2020-10-22,9.9399995803833
2020-10-23,9.949999809265137
2020-10-26,9.9399995803833
2020-10-27,9.9399995803833
2020-10-28,9.9399995803833
2020-10-29,9.949999809265137
2020-10-30,9.949999809265137
2020-11-02,9.899999618530273
2020-11-03,9.930000305175781
2020-11-04,9.989999771118164
2020-11-05,9.949999809265137
2020-11-06,9.949999809265137
2020-11-09,9.970000267028809
2020-11-10,9.949999809265137
2020-11-11,9.960000038146973
2020-11-12,9.989999771118164
2020-11-13,9.989999771118164
2020-11-16,9.899999618530273
2020-11-17,9.979000091552734
2020-11-18,9.960000038146973
2020-11-19,10.029999732971191
2020-11-20,10.039999961853027
2020-11-23,10.09000015258789
2020-11-24,10.100000381469727
2020-11-25,10.210000038146973
2020-11-27,10.260000228881836
2020-11-30,10.359999656677246
2020-12-01,10.380000114440918
2020-12-02,10.380000114440918
2020-12-03,10.380000114440918
2020-12-04,10.600000381469727
2020-12-07,10.800000190734863
2020-12-08,10.75
2020-12-09,10.720000267028809
2020-12-10,10.729999542236328
2020-12-11,10.975000381469727
2020-12-14,11.220000267028809
2020-12-15,11.0
2020-12-16,11.170000076293945
2020-12-17,11.25
2020-12-18,11.399999618530273
2020-12-21,11.175000190734863
2020-12-22,11.25
2020-12-23,11.789999961853027
2020-12-24,12.600000381469727
2020-12-28,12.5
2020-12-29,12.0
2020-12-30,12.199999809265137
2020-12-31,11.899999618530273
2021-01-04,11.899999618530273
2021-01-05,11.899999618530273
2021-01-06,11.960000038146973
2021-01-07,12.390000343322754
2021-01-08,13.039999961853027
2021-01-11,13.350000381469727
2021-01-12,29.25
2021-01-13,26.489999771118164
2021-01-14,29.329999923706055
2021-01-15,30.34000015258789
2021-01-19,33.34000015258789
2021-01-20,32.33000183105469
2021-01-21,29.93000030517578
2021-01-22,29.959999084472656
2021-01-25,29.200000762939453
2021-01-26,28.459999084472656
2021-01-27,26.200000762939453
2021-01-28,26.770000457763672
2021-01-29,27.579999923706055
2021-02-01,30.170000076293945
2021-02-02,30.3700008392334
2021-02-03,29.020000457763672
2021-02-04,29.299999237060547
2021-02-05,28.770000457763672
2021-02-08,29.229999542236328
2021-02-09,29.229999542236328
2021-02-10,29.0
2021-02-11,28.329999923706055
2021-02-12,29.5
2021-02-16,28.979999542236328
2021-02-17,28.989999771118164
2021-02-18,28.219999313354492
2021-02-19,28.93000030517578
2021-02-22,27.520000457763672
2021-02-23,26.059999465942383
2021-02-24,26.90999984741211
2021-02-25,24.829999923706055
2021-02-26,24.399999618530273
2021-03-01,24.959999084472656
2021-03-02,24.829999923706055
2021-03-03,22.3799991607666
2021-03-04,19.1200008392334
2021-03-05,19.0
2021-03-08,17.93000030517578
2021-03-09,19.950000762939453
2021-03-10,20.690000534057617
2021-03-11,22.09000015258789
2021-03-12,22.90999984741211
2021-03-15,22.93000030517578
2021-03-16,21.6299991607666
2021-03-17,21.3700008392334
2021-03-18,20.200000762939453
2021-03-19,20.079999923706055
2021-03-22,20.6200008392334
2021-03-23,20.0
2021-03-24,18.010000228881836
2021-03-25,18.799999237060547
2021-03-26,18.15999984741211
2021-03-29,17.979999542236328
2021-03-30,18.100000381469727
2021-03-31,19.899999618530273
2021-04-01,21.399999618530273
2021-04-05,21.149999618530273
2021-04-06,20.729999542236328
2021-04-07,20.200000762939453
2021-04-08,19.65999984741211
2021-04-09,20.940000534057617
2021-04-12,19.405000686645508
2021-04-13,19.149999618530273
2021-04-14,18.25
2021-04-15,18.5
2021-04-16,18.200000762939453
2021-04-19,16.35300064086914
2021-04-20,18.15999984741211
2021-04-21,18.75
2021-04-22,19.92300033569336
2021-04-23,18.885000228881836
2021-04-26,20.00200080871582
2021-04-27,19.5
2021-04-28,19.549999237060547
2021-04-29,19.260000228881836
2021-04-30,18.520000457763672
2021-05-03,17.729999542236328
2021-05-04,18.06999969482422
2021-05-05,17.899999618530273
2021-05-06,18.06999969482422
2021-05-07,17.979999542236328
2021-05-10,17.979999542236328
2021-05-11,16.600000381469727
2021-05-12,16.280000686645508
2021-05-13,16.152000427246094
2021-05-14,15.720000267028809
