,BKSC
1986-10-23,2.342566967010498
1986-10-24,2.3990139961242676
1986-10-27,2.3990139961242676
1986-10-28,2.3990139961242676
1986-10-29,2.3990139961242676
1986-10-30,2.3990139961242676
1986-10-31,2.3990139961242676
1986-11-03,2.3990139961242676
1986-11-04,2.4272379875183105
1986-11-05,2.4272379875183105
1986-11-06,2.4272379875183105
1986-11-07,2.4272379875183105
1986-11-10,2.4272379875183105
1986-11-11,2.4272379875183105
1986-11-12,2.4272379875183105
1986-11-13,2.4272379875183105
1986-11-14,2.4272379875183105
1986-11-17,2.4272379875183105
1986-11-18,2.4272379875183105
1986-11-19,2.4272379875183105
1986-11-20,2.4272379875183105
1986-11-21,2.4272379875183105
1986-11-24,2.4272379875183105
1986-11-25,2.4272379875183105
1986-11-26,2.4272379875183105
1986-11-28,2.4272379875183105
1986-12-01,2.4272379875183105
1986-12-02,2.441349983215332
1986-12-03,2.441349983215332
1986-12-04,2.441349983215332
1986-12-05,2.441349983215332
1986-12-08,2.441349983215332
1986-12-09,2.441349983215332
1986-12-10,2.441349983215332
1986-12-11,2.441349983215332
1986-12-12,2.441349983215332
1986-12-15,2.441349983215332
1986-12-16,2.441349983215332
1986-12-17,2.441349983215332
1986-12-18,2.441349983215332
1986-12-19,2.441349983215332
1986-12-22,2.441349983215332
1986-12-23,2.441349983215332
1986-12-24,2.441349983215332
1986-12-26,2.441349983215332
1986-12-29,2.441349983215332
1986-12-30,2.441349983215332
1986-12-31,2.441349983215332
1987-01-02,2.441349983215332
1987-01-05,2.4554619789123535
1987-01-06,2.4554619789123535
1987-01-07,2.4554619789123535
1987-01-08,2.4554619789123535
1987-01-09,2.4554619789123535
1987-01-12,2.48368501663208
1987-01-13,2.48368501663208
1987-01-14,2.48368501663208
1987-01-15,2.48368501663208
1987-01-16,2.48368501663208
1987-01-19,2.48368501663208
1987-01-20,2.48368501663208
1987-01-21,2.48368501663208
1987-01-22,2.48368501663208
1987-01-23,2.48368501663208
1987-01-26,2.48368501663208
1987-01-27,2.48368501663208
1987-01-28,2.48368501663208
1987-01-29,2.48368501663208
1987-01-30,2.48368501663208
1987-02-02,2.48368501663208
1987-02-03,2.48368501663208
1987-02-04,2.48368501663208
1987-02-05,2.48368501663208
1987-02-06,2.48368501663208
1987-02-09,2.48368501663208
1987-02-10,2.511909008026123
1987-02-11,2.511909008026123
