,AFIN
2018-07-19,15.0
2018-07-20,13.979999542236328
2018-07-23,14.220000267028809
2018-07-24,14.079999923706055
2018-07-25,14.050000190734863
2018-07-26,14.289999961853027
2018-07-27,14.859999656677246
2018-07-30,14.90999984741211
2018-07-31,14.609999656677246
2018-08-01,14.949999809265137
2018-08-02,14.729999542236328
2018-08-03,14.800000190734863
2018-08-06,14.979999542236328
2018-08-07,14.979999542236328
2018-08-08,14.880000114440918
2018-08-09,14.850000381469727
2018-08-10,15.5
2018-08-13,16.0
2018-08-14,16.309999465942383
2018-08-15,16.34000015258789
2018-08-16,16.43000030517578
2018-08-17,16.420000076293945
2018-08-20,16.489999771118164
2018-08-21,16.399999618530273
2018-08-22,16.489999771118164
2018-08-23,16.6299991607666
2018-08-24,16.739999771118164
2018-08-27,16.520000457763672
2018-08-28,16.469999313354492
2018-08-29,16.350000381469727
2018-08-30,15.859999656677246
2018-08-31,15.75
2018-09-04,15.640000343322754
2018-09-05,15.989999771118164
2018-09-06,15.890000343322754
2018-09-07,15.539999961853027
2018-09-10,16.25
2018-09-11,16.219999313354492
2018-09-12,16.700000762939453
2018-09-13,16.690000534057617
2018-09-14,16.850000381469727
2018-09-17,17.0
2018-09-18,17.510000228881836
2018-09-19,17.690000534057617
2018-09-20,17.760000228881836
2018-09-21,17.530000686645508
2018-09-24,16.31999969482422
2018-09-25,15.619999885559082
2018-09-26,15.220000267028809
2018-09-27,14.949999809265137
2018-09-28,15.260000228881836
2018-10-01,15.289999961853027
2018-10-02,15.109999656677246
2018-10-03,15.0600004196167
2018-10-04,14.770000457763672
2018-10-05,14.149999618530273
2018-10-08,14.350000381469727
2018-10-09,14.789999961853027
2018-10-10,14.960000038146973
2018-10-11,14.550000190734863
2018-10-12,14.489999771118164
2018-10-15,14.510000228881836
2018-10-16,14.0
2018-10-17,14.270000457763672
2018-10-18,14.15999984741211
2018-10-19,14.09000015258789
2018-10-22,13.850000381469727
2018-10-23,14.0
2018-10-24,13.899999618530273
2018-10-25,13.850000381469727
2018-10-26,13.640000343322754
2018-10-29,13.550000190734863
2018-10-30,13.539999961853027
2018-10-31,13.369999885559082
2018-11-01,13.239999771118164
2018-11-02,13.390000343322754
2018-11-05,13.220000267028809
2018-11-06,12.670000076293945
2018-11-07,12.229999542236328
2018-11-08,12.270000457763672
2018-11-09,12.789999961853027
2018-11-12,13.109999656677246
2018-11-13,13.479999542236328
2018-11-14,13.029999732971191
2018-11-15,13.130000114440918
2018-11-16,14.140000343322754
2018-11-19,14.0
2018-11-20,13.920000076293945
2018-11-21,13.770000457763672
2018-11-23,13.859999656677246
2018-11-26,13.859999656677246
2018-11-27,13.649999618530273
2018-11-28,13.720000267028809
2018-11-29,13.390000343322754
2018-11-30,13.84000015258789
2018-12-03,13.579999923706055
2018-12-04,13.279999732971191
2018-12-06,13.489999771118164
2018-12-07,13.489999771118164
2018-12-10,13.710000038146973
2018-12-11,13.569999694824219
2018-12-12,13.5600004196167
2018-12-13,13.9399995803833
2018-12-14,13.119999885559082
2018-12-17,13.199999809265137
2018-12-18,13.850000381469727
2018-12-19,13.859999656677246
2018-12-20,13.899999618530273
2018-12-21,13.520000457763672
2018-12-24,13.319999694824219
2018-12-26,13.670000076293945
2018-12-27,13.539999961853027
2018-12-28,13.460000038146973
2018-12-31,13.319999694824219
2019-01-02,13.170000076293945
2019-01-03,13.40999984741211
2019-01-04,13.369999885559082
2019-01-07,13.510000228881836
2019-01-08,13.779999732971191
2019-01-09,13.600000381469727
2019-01-10,13.1899995803833
2019-01-11,13.09000015258789
2019-01-14,12.970000267028809
2019-01-15,13.210000038146973
2019-01-16,13.260000228881836
2019-01-17,13.380000114440918
2019-01-18,13.100000381469727
2019-01-22,12.930000305175781
2019-01-23,12.890000343322754
2019-01-24,12.729999542236328
2019-01-25,13.020000457763672
2019-01-28,13.1899995803833
2019-01-29,12.75
2019-01-30,13.0
2019-01-31,12.989999771118164
2019-02-01,12.779999732971191
2019-02-04,12.369999885559082
2019-02-05,12.630000114440918
2019-02-06,12.550000190734863
2019-02-07,12.069999694824219
2019-02-08,11.869999885559082
2019-02-11,11.84000015258789
2019-02-12,11.34000015258789
2019-02-13,11.300000190734863
2019-02-14,11.15999984741211
2019-02-15,11.029999732971191
2019-02-19,11.420000076293945
2019-02-20,11.069999694824219
2019-02-21,11.329999923706055
2019-02-22,11.430000305175781
2019-02-25,11.350000381469727
2019-02-26,11.399999618530273
2019-02-27,10.800000190734863
2019-02-28,10.8100004196167
2019-03-01,10.640000343322754
2019-03-04,10.6899995803833
2019-03-05,10.5600004196167
2019-03-06,10.880000114440918
2019-03-07,10.760000228881836
2019-03-08,10.699999809265137
2019-03-11,10.850000381469727
2019-03-12,10.90999984741211
2019-03-13,11.050000190734863
2019-03-14,11.09000015258789
2019-03-15,11.130000114440918
2019-03-18,10.979999542236328
2019-03-19,10.8100004196167
2019-03-20,10.949999809265137
2019-03-21,11.130000114440918
2019-03-22,10.75
2019-03-25,10.680000305175781
2019-03-26,10.699999809265137
2019-03-27,10.699999809265137
2019-03-28,10.770000457763672
2019-03-29,10.800000190734863
2019-04-01,10.8100004196167
2019-04-02,10.710000038146973
2019-04-03,10.720000267028809
2019-04-04,10.619999885559082
2019-04-05,10.619999885559082
2019-04-08,10.529999732971191
2019-04-09,10.119999885559082
2019-04-10,10.460000038146973
2019-04-11,10.1899995803833
2019-04-12,10.15999984741211
2019-04-15,10.020000457763672
2019-04-16,9.8100004196167
2019-04-17,9.720000267028809
2019-04-18,9.65999984741211
2019-04-22,9.520000457763672
2019-04-23,9.609999656677246
2019-04-24,9.59000015258789
2019-04-25,9.65999984741211
2019-04-26,9.739999771118164
2019-04-29,9.6899995803833
2019-04-30,9.8100004196167
2019-05-01,9.6899995803833
2019-05-02,9.760000228881836
2019-05-03,9.930000305175781
2019-05-06,9.829999923706055
2019-05-07,9.520000457763672
2019-05-08,9.899999618530273
2019-05-09,10.109999656677246
2019-05-10,10.3100004196167
2019-05-13,10.3100004196167
2019-05-14,10.729999542236328
2019-05-15,11.260000228881836
2019-05-16,11.789999961853027
2019-05-17,11.520000457763672
2019-05-20,11.359999656677246
2019-05-21,11.390000343322754
2019-05-22,11.289999961853027
2019-05-23,11.449999809265137
2019-05-24,11.619999885559082
2019-05-28,10.619999885559082
2019-05-29,10.34000015258789
2019-05-30,10.15999984741211
2019-05-31,10.460000038146973
2019-06-03,10.09000015258789
2019-06-04,10.15999984741211
2019-06-05,10.430000305175781
2019-06-06,10.260000228881836
2019-06-07,10.430000305175781
2019-06-10,10.319999694824219
2019-06-11,10.350000381469727
2019-06-12,10.449999809265137
2019-06-13,10.65999984741211
2019-06-14,10.770000457763672
2019-06-17,10.899999618530273
2019-06-18,10.989999771118164
2019-06-19,11.079999923706055
2019-06-20,11.15999984741211
2019-06-21,10.670000076293945
2019-06-24,10.6899995803833
2019-06-25,10.640000343322754
2019-06-26,10.329999923706055
