,ANPC
2020-01-31,10.119999885559082
2020-02-03,10.619999885559082
2020-02-04,10.640000343322754
2020-02-05,10.0
2020-02-06,10.010000228881836
2020-02-07,9.819999694824219
2020-02-10,9.949999809265137
2020-02-11,9.9399995803833
2020-02-12,9.649999618530273
2020-02-13,9.899999618530273
2020-02-14,9.699999809265137
2020-02-18,9.550000190734863
2020-02-19,9.600000381469727
2020-02-20,9.4350004196167
2020-02-21,9.65999984741211
2020-02-24,9.449999809265137
2020-02-25,10.479999542236328
2020-02-26,10.001999855041504
2020-02-27,9.869999885559082
2020-02-28,8.5
2020-03-02,9.84000015258789
2020-03-03,9.25
2020-03-04,9.390000343322754
2020-03-05,9.390000343322754
2020-03-06,8.968000411987305
2020-03-09,8.5
2020-03-10,8.5
2020-03-11,8.5
2020-03-12,7.070000171661377
2020-03-13,7.349999904632568
2020-03-16,7.349999904632568
2020-03-17,7.349999904632568
2020-03-18,7.349999904632568
2020-03-19,7.300000190734863
2020-03-20,7.300000190734863
2020-03-23,7.349999904632568
2020-03-24,8.196999549865723
2020-03-25,8.149999618530273
2020-03-26,8.001999855041504
2020-03-27,8.0
2020-03-30,8.229000091552734
2020-03-31,7.699999809265137
2020-04-01,7.447999954223633
2020-04-02,7.447999954223633
2020-04-03,7.119999885559082
2020-04-06,8.220000267028809
2020-04-07,8.220000267028809
2020-04-08,8.42300033569336
2020-04-09,8.489999771118164
2020-04-13,8.300000190734863
2020-04-14,8.0
2020-04-15,8.095000267028809
2020-04-16,8.199999809265137
2020-04-17,8.010000228881836
2020-04-20,8.319000244140625
2020-04-21,8.0
2020-04-22,8.050000190734863
2020-04-23,8.125
2020-04-24,8.199999809265137
2020-04-27,7.360000133514404
2020-04-28,7.360000133514404
2020-04-29,7.699999809265137
2020-04-30,7.5
2020-05-01,7.5
2020-05-04,7.800000190734863
2020-05-05,7.610000133514404
2020-05-06,7.5
2020-05-07,7.763000011444092
2020-05-08,7.510000228881836
2020-05-11,8.289999961853027
2020-05-12,8.027000427246094
2020-05-13,8.0
2020-05-14,8.0
2020-05-15,8.0
2020-05-18,7.920000076293945
2020-05-19,7.539999961853027
2020-05-20,7.900000095367432
2020-05-21,7.730000019073486
2020-05-22,7.699999809265137
2020-05-26,7.699999809265137
2020-05-27,7.599999904632568
2020-05-28,7.599999904632568
2020-05-29,7.699999809265137
2020-06-01,7.699999809265137
2020-06-02,7.599999904632568
2020-06-03,7.599999904632568
2020-06-04,7.5
2020-06-05,7.400000095367432
2020-06-08,7.199999809265137
2020-06-09,7.239999771118164
2020-06-10,7.239999771118164
2020-06-11,6.920000076293945
2020-06-12,7.050000190734863
2020-06-15,7.0
2020-06-16,6.900000095367432
2020-06-17,7.199999809265137
2020-06-18,6.820000171661377
2020-06-19,7.425000190734863
2020-06-22,7.0
2020-06-23,7.070000171661377
2020-06-24,6.809999942779541
2020-06-25,6.269999980926514
2020-06-26,6.010000228881836
2020-06-29,5.090000152587891
2020-06-30,5.139999866485596
2020-07-01,5.880000114440918
2020-07-02,6.164999961853027
2020-07-06,6.760000228881836
2020-07-07,6.119999885559082
2020-07-08,6.25
2020-07-09,5.760000228881836
2020-07-10,5.340000152587891
2020-07-13,5.199999809265137
2020-07-14,5.215000152587891
2020-07-15,5.369999885559082
2020-07-16,5.449999809265137
2020-07-17,5.75
2020-07-20,5.622000217437744
2020-07-21,5.699999809265137
2020-07-22,5.21999979019165
2020-07-23,5.21999979019165
2020-07-24,5.170000076293945
2020-07-27,5.510000228881836
2020-07-28,5.599999904632568
2020-07-29,7.179999828338623
2020-07-30,5.900000095367432
2020-07-31,6.349999904632568
2020-08-03,5.900000095367432
2020-08-04,6.070000171661377
2020-08-05,5.590000152587891
2020-08-06,5.489999771118164
2020-08-07,7.599999904632568
2020-08-10,8.0
2020-08-11,7.369999885559082
2020-08-12,6.849999904632568
2020-08-13,7.050000190734863
2020-08-14,7.239999771118164
2020-08-17,6.920000076293945
2020-08-18,6.75
2020-08-19,6.329999923706055
2020-08-20,6.349999904632568
2020-08-21,5.96999979019165
2020-08-24,5.869999885559082
2020-08-25,5.75
2020-08-26,5.784999847412109
2020-08-27,5.559999942779541
2020-08-28,5.269999980926514
2020-08-31,5.429999828338623
2020-09-01,5.331999778747559
2020-09-02,5.144000053405762
2020-09-03,4.802999973297119
2020-09-04,5.150000095367432
2020-09-08,4.690000057220459
2020-09-09,4.800000190734863
2020-09-10,4.380000114440918
2020-09-11,4.539999961853027
2020-09-14,4.670000076293945
2020-09-15,4.880000114440918
2020-09-16,4.900000095367432
2020-09-17,5.195000171661377
2020-09-18,4.840000152587891
2020-09-21,4.760000228881836
2020-09-22,4.885000228881836
2020-09-23,4.679999828338623
2020-09-24,4.460000038146973
2020-09-25,4.199999809265137
2020-09-28,3.875
2020-09-29,3.950000047683716
2020-09-30,3.740000009536743
2020-10-01,3.9000000953674316
2020-10-02,3.8499999046325684
2020-10-05,3.4100000858306885
2020-10-06,3.808000087738037
2020-10-07,3.7300000190734863
2020-10-08,3.880000114440918
2020-10-09,3.8540000915527344
2020-10-12,3.700000047683716
2020-10-13,3.5799999237060547
2020-10-14,3.5199999809265137
2020-10-15,3.5199999809265137
2020-10-16,3.5
2020-10-19,3.4800000190734863
2020-10-20,3.4200000762939453
2020-10-21,3.380000114440918
2020-10-22,3.5
2020-10-23,3.5899999141693115
2020-10-26,3.4700000286102295
2020-10-27,3.559999942779541
2020-10-28,3.4779999256134033
2020-10-29,3.359999895095825
2020-10-30,3.2079999446868896
2020-11-02,3.9200000762939453
2020-11-03,4.210000038146973
2020-11-04,4.079999923706055
2020-11-05,3.940000057220459
2020-11-06,3.7950000762939453
2020-11-09,3.559999942779541
2020-11-10,3.609999895095825
2020-11-11,3.5399999618530273
2020-11-12,3.5399999618530273
2020-11-13,3.4700000286102295
2020-11-16,3.4800000190734863
2020-11-17,3.4100000858306885
2020-11-18,3.2699999809265137
2020-11-19,3.25
2020-11-20,3.4000000953674316
2020-11-23,3.490000009536743
2020-11-24,3.5
2020-11-25,7.139999866485596
2020-11-27,6.199999809265137
2020-11-30,5.739999771118164
2020-12-01,4.840000152587891
2020-12-02,5.090000152587891
2020-12-03,5.139999866485596
2020-12-04,4.75
2020-12-07,4.429999828338623
2020-12-08,4.840000152587891
2020-12-09,4.550000190734863
2020-12-10,4.539999961853027
2020-12-11,4.21999979019165
2020-12-14,5.699999809265137
2020-12-15,6.119999885559082
2020-12-16,5.880000114440918
2020-12-17,5.840000152587891
2020-12-18,5.78000020980835
2020-12-21,6.03000020980835
2020-12-22,5.574999809265137
2020-12-23,5.5
2020-12-24,5.650000095367432
2020-12-28,5.110000133514404
2020-12-29,5.420000076293945
2020-12-30,5.550000190734863
2020-12-31,5.300000190734863
2021-01-04,5.389999866485596
2021-01-05,5.5
2021-01-06,5.489999771118164
2021-01-07,5.559999942779541
2021-01-08,5.650000095367432
2021-01-11,5.75
2021-01-12,5.809999942779541
2021-01-13,5.940000057220459
2021-01-14,5.710000038146973
2021-01-15,5.739999771118164
2021-01-19,6.184999942779541
2021-01-20,5.849999904632568
2021-01-21,6.0
2021-01-22,5.920000076293945
2021-01-25,5.929999828338623
2021-01-26,5.900000095367432
2021-01-27,5.369999885559082
2021-01-28,5.550000190734863
2021-01-29,5.550000190734863
2021-02-01,5.630000114440918
2021-02-02,5.610000133514404
2021-02-03,5.650000095367432
2021-02-04,5.789999961853027
2021-02-05,5.940000057220459
2021-02-08,6.119999885559082
2021-02-09,6.139999866485596
2021-02-10,6.070000171661377
2021-02-11,5.900000095367432
2021-02-12,5.869999885559082
2021-02-16,6.210000038146973
2021-02-17,7.699999809265137
2021-02-18,7.460000038146973
2021-02-19,7.230000019073486
2021-02-22,7.139999866485596
2021-02-23,6.71999979019165
2021-02-24,6.849999904632568
2021-02-25,6.670000076293945
2021-02-26,6.610000133514404
2021-03-01,6.920000076293945
2021-03-02,6.690000057220459
2021-03-03,6.28000020980835
2021-03-04,5.909999847412109
2021-03-05,5.800000190734863
2021-03-08,5.800000190734863
2021-03-09,8.609999656677246
2021-03-10,6.699999809265137
2021-03-11,6.909999847412109
2021-03-12,6.869999885559082
2021-03-15,7.360000133514404
2021-03-16,6.920000076293945
2021-03-17,7.150000095367432
2021-03-18,6.929999828338623
2021-03-19,7.010000228881836
2021-03-22,6.619999885559082
2021-03-23,6.269999980926514
2021-03-24,6.010000228881836
2021-03-25,5.900000095367432
2021-03-26,5.789999961853027
2021-03-29,5.559999942779541
2021-03-30,5.610000133514404
2021-03-31,5.989999771118164
2021-04-01,6.010000228881836
2021-04-05,5.920000076293945
2021-04-06,6.130000114440918
2021-04-07,5.690000057220459
2021-04-08,5.650000095367432
2021-04-09,5.769999980926514
2021-04-12,5.429999828338623
2021-04-13,5.599999904632568
2021-04-14,5.570000171661377
2021-04-15,5.599999904632568
2021-04-16,5.0
2021-04-19,5.059999942779541
2021-04-20,4.510000228881836
2021-04-21,4.869999885559082
2021-04-22,5.010000228881836
2021-04-23,5.099999904632568
2021-04-26,5.190000057220459
2021-04-27,5.199999809265137
2021-04-28,5.550000190734863
2021-04-29,5.46999979019165
2021-04-30,5.75
2021-05-03,5.570000171661377
2021-05-04,4.989999771118164
2021-05-05,4.989999771118164
2021-05-06,4.849999904632568
2021-05-07,4.690000057220459
2021-05-10,4.329999923706055
2021-05-11,4.409999847412109
2021-05-12,4.289999961853027
2021-05-13,4.090000152587891
2021-05-14,4.110000133514404
