,AFBI
2017-04-28,13.289999961853027
2017-05-01,13.470000267028809
2017-05-02,13.569999694824219
2017-05-03,13.470000267028809
2017-05-04,13.399999618530273
2017-05-05,13.369999885559082
2017-05-08,13.399999618530273
2017-05-09,13.399999618530273
2017-05-10,13.34000015258789
2017-05-11,13.119999885559082
2017-05-12,13.079999923706055
2017-05-15,13.024999618530273
2017-05-16,13.029999732971191
2017-05-17,13.050000190734863
2017-05-18,13.027999877929688
2017-05-19,13.050000190734863
2017-05-22,13.0600004196167
2017-05-23,13.079999923706055
2017-05-24,13.039999961853027
2017-05-25,13.050000190734863
2017-05-26,13.050000190734863
2017-05-30,13.03600025177002
2017-05-31,13.050000190734863
2017-06-01,13.050000190734863
2017-06-02,13.069999694824219
2017-06-05,13.149999618530273
2017-06-06,13.449999809265137
2017-06-07,13.4399995803833
2017-06-08,13.5600004196167
2017-06-09,13.75
2017-06-12,14.960000038146973
2017-06-13,14.680000305175781
2017-06-14,14.890000343322754
2017-06-15,14.270000457763672
2017-06-16,13.020000457763672
2017-06-19,13.739999771118164
2017-06-20,13.729999542236328
2017-06-21,13.710000038146973
2017-06-22,13.430000305175781
2017-06-23,14.1899995803833
2017-06-26,13.550000190734863
2017-06-27,13.710000038146973
2017-06-28,13.470000267028809
2017-06-29,13.470000267028809
2017-06-30,13.529999732971191
2017-07-03,13.640000343322754
2017-07-05,13.609999656677246
2017-07-06,13.75
2017-07-07,13.979999542236328
2017-07-10,13.729999542236328
2017-07-11,13.34000015258789
2017-07-12,13.520000457763672
2017-07-13,13.3100004196167
2017-07-14,13.300000190734863
2017-07-17,13.489999771118164
2017-07-18,13.399999618530273
2017-07-19,13.359999656677246
2017-07-20,13.15999984741211
2017-07-21,13.369999885559082
2017-07-24,13.196999549865723
2017-07-25,13.149999618530273
2017-07-26,13.119999885559082
2017-07-27,13.0600004196167
2017-07-28,13.180000305175781
2017-07-31,13.010000228881836
2017-08-01,13.020000457763672
2017-08-02,13.130000114440918
2017-08-03,13.0600004196167
2017-08-04,13.0600004196167
2017-08-07,13.100000381469727
2017-08-08,13.149999618530273
2017-08-09,13.100000381469727
2017-08-10,12.85099983215332
2017-08-11,12.949999809265137
2017-08-14,12.899999618530273
2017-08-15,12.75
2017-08-16,12.789999961853027
2017-08-17,12.625
2017-08-18,12.670000076293945
2017-08-21,12.800000190734863
2017-08-22,12.79699993133545
2017-08-23,12.979999542236328
2017-08-24,12.960000038146973
2017-08-25,12.859999656677246
2017-08-28,12.859999656677246
2017-08-29,12.579999923706055
2017-08-30,12.539999961853027
2017-08-31,12.5
2017-09-01,12.350000381469727
2017-09-05,12.366999626159668
2017-09-06,12.359999656677246
2017-09-07,12.100000381469727
2017-09-08,12.5600004196167
2017-09-11,12.579999923706055
2017-09-12,12.779999732971191
2017-09-13,13.119999885559082
2017-09-14,13.170000076293945
2017-09-15,13.390000343322754
2017-09-18,13.399999618530273
2017-09-19,13.529999732971191
2017-09-20,13.369999885559082
2017-09-21,13.359999656677246
2017-09-22,13.399999618530273
2017-09-25,13.579999923706055
2017-09-26,13.579999923706055
2017-09-27,13.640000343322754
2017-09-28,13.447999954223633
2017-09-29,13.484999656677246
2017-10-02,13.484999656677246
2017-10-03,13.329999923706055
2017-10-04,13.3100004196167
2017-10-05,13.09000015258789
2017-10-06,13.029999732971191
2017-10-09,13.097999572753906
2017-10-10,12.960000038146973
2017-10-11,12.949999809265137
2017-10-12,13.079999923706055
2017-10-13,13.041999816894531
2017-10-16,13.039999961853027
2017-10-17,13.180000305175781
2017-10-18,13.170000076293945
2017-10-19,13.199999809265137
2017-10-20,13.289999961853027
2017-10-23,13.119999885559082
2017-10-24,13.234999656677246
2017-10-25,13.234999656677246
2017-10-26,13.218000411987305
2017-10-27,13.109000205993652
2017-10-30,13.119999885559082
2017-10-31,13.279999732971191
2017-11-01,13.279999732971191
2017-11-02,13.199999809265137
2017-11-03,13.130000114440918
2017-11-06,13.08899974822998
2017-11-07,12.890000343322754
2017-11-08,12.765000343322754
2017-11-09,12.880000114440918
2017-11-10,12.75
2017-11-13,12.548999786376953
2017-11-14,12.619999885559082
2017-11-15,12.699999809265137
2017-11-16,12.569999694824219
2017-11-17,12.5
2017-11-20,12.437000274658203
2017-11-21,12.5
2017-11-22,12.960000038146973
2017-11-24,13.0
2017-11-27,12.9399995803833
2017-11-28,12.75
