,ANTE
2007-11-07,104.5
2007-11-08,95.0
2007-11-09,97.0
2007-11-12,92.80000305175781
2007-11-13,90.0
2007-11-14,95.5
2007-11-15,92.5
2007-11-16,89.94999694824219
2007-11-19,90.8499984741211
2007-11-20,86.25
2007-11-21,81.25
2007-11-23,82.80000305175781
2007-11-26,84.5
2007-11-27,83.25
2007-11-28,86.1500015258789
2007-11-29,85.0
2007-11-30,88.19999694824219
2007-12-03,89.55000305175781
2007-12-04,87.75
2007-12-05,89.94999694824219
2007-12-06,92.6500015258789
2007-12-07,98.80000305175781
2007-12-10,103.0
2007-12-11,101.80000305175781
2007-12-12,98.94999694824219
2007-12-13,96.5
2007-12-14,96.80000305175781
2007-12-17,93.0999984741211
2007-12-18,95.5
2007-12-19,102.25
2007-12-20,102.3499984741211
2007-12-21,108.1500015258789
2007-12-24,110.75
2007-12-26,109.5999984741211
2007-12-27,109.05000305175781
2007-12-28,117.0999984741211
2007-12-31,111.9000015258789
2008-01-02,108.80000305175781
2008-01-03,114.4000015258789
2008-01-04,118.0
2008-01-07,115.0
2008-01-08,115.0
2008-01-09,116.30000305175781
2008-01-10,119.25
2008-01-11,120.9000015258789
2008-01-14,125.19999694824219
2008-01-15,127.5
2008-01-16,122.0
2008-01-17,120.44999694824219
2008-01-18,120.05000305175781
2008-01-22,110.80000305175781
2008-01-23,103.30000305175781
2008-01-24,114.8499984741211
2008-01-25,116.44999694824219
2008-01-28,116.05000305175781
2008-01-29,111.75
2008-01-30,110.0
2008-01-31,114.44999694824219
2008-02-01,112.1500015258789
2008-02-04,111.3499984741211
2008-02-05,105.25
2008-02-06,101.1500015258789
2008-02-07,94.25
2008-02-08,96.05000305175781
2008-02-11,94.69999694824219
2008-02-12,92.5
2008-02-13,92.5
2008-02-14,92.9000015258789
2008-02-15,93.19999694824219
2008-02-19,95.44999694824219
2008-02-20,95.0
2008-02-21,94.80000305175781
2008-02-22,91.9000015258789
2008-02-25,88.5
2008-02-26,91.75
2008-02-27,90.5
2008-02-28,91.05000305175781
2008-02-29,89.69999694824219
2008-03-03,91.55000305175781
2008-03-04,93.75
2008-03-05,100.5999984741211
2008-03-06,99.94999694824219
2008-03-07,91.80000305175781
2008-03-10,87.5999984741211
2008-03-11,87.5
2008-03-12,89.9000015258789
2008-03-13,85.94999694824219
2008-03-14,83.4000015258789
2008-03-17,78.05000305175781
2008-03-18,79.6500015258789
2008-03-19,78.55000305175781
2008-03-20,79.5
2008-03-24,82.3499984741211
2008-03-25,84.5
2008-03-26,84.1500015258789
2008-03-27,84.30000305175781
2008-03-28,83.5
2008-03-31,79.5
2008-04-01,82.69999694824219
2008-04-02,86.44999694824219
2008-04-03,89.69999694824219
2008-04-04,90.0999984741211
2008-04-07,89.5
2008-04-08,84.44999694824219
2008-04-09,79.5
2008-04-10,81.30000305175781
2008-04-11,78.1500015258789
2008-04-14,74.1500015258789
2008-04-15,78.44999694824219
2008-04-16,84.94999694824219
2008-04-17,84.5
2008-04-18,86.69999694824219
2008-04-21,89.0
2008-04-22,90.0
2008-04-23,89.5
2008-04-24,90.05000305175781
2008-04-25,93.30000305175781
2008-04-28,97.80000305175781
2008-04-29,99.80000305175781
2008-04-30,99.30000305175781
2008-05-01,100.75
2008-05-02,108.55000305175781
2008-05-05,104.80000305175781
2008-05-06,102.30000305175781
2008-05-07,101.25
2008-05-08,94.5
2008-05-09,89.94999694824219
2008-05-12,85.6500015258789
2008-05-13,85.3499984741211
2008-05-14,89.1500015258789
2008-05-15,96.0
2008-05-16,94.75
2008-05-19,99.75
2008-05-20,91.75
2008-05-21,92.75
2008-05-22,90.0
2008-05-23,88.5999984741211
2008-05-27,87.0999984741211
2008-05-28,86.0999984741211
2008-05-29,88.44999694824219
2008-05-30,87.5999984741211
2008-06-02,87.44999694824219
2008-06-03,87.9000015258789
2008-06-04,89.25
2008-06-05,92.80000305175781
2008-06-06,91.0
2008-06-09,87.69999694824219
2008-06-10,84.69999694824219
2008-06-11,82.5
2008-06-12,82.5
2008-06-13,81.80000305175781
2008-06-16,79.9000015258789
2008-06-17,80.0
2008-06-18,77.75
2008-06-19,76.69999694824219
2008-06-20,74.30000305175781
2008-06-23,70.94999694824219
2008-06-24,67.3499984741211
2008-06-25,73.5
2008-06-26,71.94999694824219
2008-06-27,72.80000305175781
2008-06-30,72.19999694824219
2008-07-01,70.19999694824219
2008-07-02,69.0
2008-07-03,70.19999694824219
2008-07-07,70.0
2008-07-08,67.44999694824219
2008-07-09,66.55000305175781
2008-07-10,65.05000305175781
2008-07-11,64.94999694824219
2008-07-14,65.5999984741211
2008-07-15,66.69999694824219
2008-07-16,72.5
2008-07-17,70.3499984741211
2008-07-18,70.6500015258789
2008-07-21,72.8499984741211
2008-07-22,71.30000305175781
2008-07-23,69.25
2008-07-24,67.25
2008-07-25,67.6500015258789
2008-07-28,65.0
2008-07-29,66.8499984741211
