,CLNN
2018-10-18,9.75
2018-10-19,9.75
2018-10-22,9.699999809265137
2018-10-23,9.699999809265137
2018-10-24,9.75
2018-10-25,9.75
2018-10-26,9.75
2018-10-29,9.75
2018-10-30,9.75
2018-10-31,9.75
2018-11-01,9.75
2018-11-02,9.75
2018-11-05,9.75
2018-11-06,9.75
2018-11-07,9.75
2018-11-08,9.75
2018-11-09,9.75
2018-11-12,9.779999732971191
2018-11-13,9.779999732971191
2018-11-14,9.779999732971191
2018-11-15,9.779999732971191
2018-11-16,9.779999732971191
2018-11-19,9.770000457763672
2018-11-20,9.770000457763672
2018-11-21,9.770000457763672
2018-11-23,9.770000457763672
2018-11-26,9.819999694824219
2018-11-27,9.850000381469727
2018-11-28,9.850000381469727
2018-11-29,9.850000381469727
2018-11-30,9.850000381469727
2018-12-03,9.899999618530273
2018-12-04,9.899999618530273
2018-12-06,9.899999618530273
2018-12-07,9.899999618530273
2018-12-10,9.899999618530273
2018-12-11,9.899999618530273
2018-12-12,9.899999618530273
2018-12-13,9.899999618530273
2018-12-14,9.899999618530273
2018-12-17,9.930000305175781
2018-12-18,9.930000305175781
2018-12-19,9.930000305175781
2018-12-20,9.930000305175781
2018-12-21,9.930000305175781
2018-12-24,9.930000305175781
2018-12-26,9.850000381469727
2018-12-27,9.899999618530273
2018-12-28,9.899999618530273
2018-12-31,9.899999618530273
2019-01-02,9.899999618530273
2019-01-03,9.899999618530273
2019-01-04,9.899999618530273
2019-01-07,9.899999618530273
2019-01-08,9.930000305175781
2019-01-09,9.930000305175781
2019-01-10,9.930000305175781
2019-01-11,9.930000305175781
2019-01-14,9.930000305175781
2019-01-15,9.930000305175781
2019-01-16,9.930000305175781
2019-01-17,9.930000305175781
2019-01-18,9.930000305175781
2019-01-22,9.930000305175781
2019-01-23,9.930000305175781
2019-01-24,9.930000305175781
2019-01-25,9.930000305175781
2019-01-28,9.949999809265137
2019-01-29,9.949999809265137
2019-01-30,9.949999809265137
2019-01-31,9.949999809265137
2019-02-01,9.949999809265137
2019-02-04,9.949999809265137
2019-02-05,9.949999809265137
2019-02-06,9.949999809265137
2019-02-07,9.949999809265137
2019-02-08,10.0
2019-02-11,10.0
2019-02-12,10.020000457763672
2019-02-13,10.020000457763672
2019-02-14,10.020000457763672
2019-02-15,10.020000457763672
2019-02-19,10.020000457763672
2019-02-20,10.020000457763672
2019-02-21,10.020000457763672
2019-02-22,10.020000457763672
2019-02-25,10.020000457763672
2019-02-26,10.020000457763672
2019-02-27,10.020000457763672
