,BTWN
2020-12-07,10.699999809265137
2020-12-08,11.149999618530273
2020-12-09,11.210000038146973
2020-12-10,11.039999961853027
2020-12-11,11.149999618530273
2020-12-14,11.079999923706055
2020-12-15,13.579999923706055
2020-12-16,13.100000381469727
2020-12-17,13.350000381469727
2020-12-18,13.0
2020-12-21,13.460000038146973
2020-12-22,13.90999984741211
2020-12-23,14.399999618530273
2020-12-24,16.200000762939453
2020-12-28,17.219999313354492
2020-12-29,15.970000267028809
2020-12-30,16.049999237060547
2020-12-31,15.479999542236328
2021-01-04,14.229999542236328
2021-01-05,13.949999809265137
2021-01-06,13.829999923706055
2021-01-07,14.789999961853027
2021-01-08,14.649999618530273
2021-01-11,15.289999961853027
2021-01-12,15.229999542236328
2021-01-13,16.31999969482422
2021-01-14,15.979999542236328
2021-01-15,15.380000114440918
2021-01-19,15.130000114440918
2021-01-20,15.010000228881836
2021-01-21,14.899999618530273
2021-01-22,14.670000076293945
2021-01-25,14.25
2021-01-26,14.100000381469727
2021-01-27,13.40999984741211
2021-01-28,14.029999732971191
2021-01-29,13.640000343322754
2021-02-01,13.880000114440918
2021-02-02,16.969999313354492
2021-02-03,15.6899995803833
2021-02-04,15.960000038146973
2021-02-05,15.289999961853027
2021-02-08,15.729999542236328
2021-02-09,15.520000457763672
2021-02-10,14.960000038146973
2021-02-11,14.619999885559082
2021-02-12,14.880000114440918
2021-02-16,16.399999618530273
2021-02-17,16.31999969482422
2021-02-18,15.619999885559082
2021-02-19,17.3700008392334
2021-02-22,15.600000381469727
2021-02-23,14.710000038146973
2021-02-24,14.0600004196167
2021-02-25,13.34000015258789
2021-02-26,13.5
2021-03-01,13.880000114440918
2021-03-02,13.550000190734863
2021-03-03,11.90999984741211
2021-03-04,11.5600004196167
2021-03-05,12.59000015258789
2021-03-08,11.770000457763672
2021-03-09,12.239999771118164
2021-03-10,12.09000015258789
2021-03-11,12.239999771118164
2021-03-12,12.710000038146973
2021-03-15,12.640000343322754
2021-03-16,12.460000038146973
2021-03-17,12.25
2021-03-18,11.75
2021-03-19,11.739999771118164
2021-03-22,11.789999961853027
2021-03-23,11.25
2021-03-24,10.8100004196167
2021-03-25,10.579999923706055
2021-03-26,10.5
2021-03-29,10.529999732971191
2021-03-30,10.670000076293945
2021-03-31,10.850000381469727
2021-04-01,10.850000381469727
2021-04-05,10.770000457763672
2021-04-06,10.899999618530273
2021-04-07,10.699999809265137
2021-04-08,12.109999656677246
2021-04-09,11.829999923706055
2021-04-12,11.079999923706055
2021-04-13,10.819999694824219
2021-04-14,10.680000305175781
2021-04-15,10.699999809265137
2021-04-16,10.720000267028809
2021-04-19,10.59000015258789
2021-04-20,10.260000228881836
2021-04-21,10.329999923706055
2021-04-22,10.420000076293945
2021-04-23,10.520000457763672
2021-04-26,10.619999885559082
2021-04-27,10.680000305175781
2021-04-28,10.710000038146973
2021-04-29,10.520000457763672
2021-04-30,10.449999809265137
2021-05-03,10.479999542236328
2021-05-04,10.329999923706055
2021-05-05,10.25
2021-05-06,10.1899995803833
2021-05-07,10.100000381469727
2021-05-10,10.109999656677246
2021-05-11,10.0
2021-05-12,9.960000038146973
2021-05-13,9.9399995803833
2021-05-14,10.020000457763672
