,CLNE
2007-05-25,12.039999961853027
2007-05-29,12.039999961853027
2007-05-30,12.0
2007-05-31,12.350000381469727
2007-06-01,13.109999656677246
2007-06-04,13.170000076293945
2007-06-05,13.229999542236328
2007-06-06,12.699999809265137
2007-06-07,12.75
2007-06-08,12.720000267028809
2007-06-11,12.609999656677246
2007-06-12,12.789999961853027
2007-06-13,12.899999618530273
2007-06-14,13.050000190734863
2007-06-15,13.079999923706055
2007-06-18,13.3100004196167
2007-06-19,13.579999923706055
2007-06-20,13.460000038146973
2007-06-21,13.260000228881836
2007-06-22,12.5600004196167
2007-06-25,11.829999923706055
2007-06-26,11.75
2007-06-27,11.9399995803833
2007-06-28,12.5
2007-06-29,12.5600004196167
2007-07-02,12.800000190734863
2007-07-03,12.880000114440918
2007-07-05,13.069999694824219
2007-07-06,13.109999656677246
2007-07-09,13.300000190734863
2007-07-10,12.75
2007-07-11,13.0
2007-07-12,13.239999771118164
2007-07-13,13.4399995803833
2007-07-16,14.960000038146973
2007-07-17,15.220000267028809
2007-07-18,15.970000267028809
2007-07-19,15.460000038146973
2007-07-20,15.920000076293945
2007-07-23,17.469999313354492
2007-07-24,16.5
2007-07-25,16.0
2007-07-26,15.039999961853027
2007-07-27,14.420000076293945
2007-07-30,13.84000015258789
2007-07-31,15.819999694824219
2007-08-01,14.869999885559082
2007-08-02,15.800000190734863
2007-08-03,15.449999809265137
2007-08-06,16.309999465942383
2007-08-07,16.950000762939453
2007-08-08,17.959999084472656
2007-08-09,18.020000457763672
2007-08-10,17.559999465942383
2007-08-13,17.25
2007-08-14,13.350000381469727
2007-08-15,12.819999694824219
2007-08-16,11.550000190734863
2007-08-17,12.109999656677246
2007-08-20,11.720000267028809
2007-08-21,12.25
2007-08-22,13.510000228881836
2007-08-23,13.289999961853027
2007-08-24,13.6899995803833
2007-08-27,13.199999809265137
2007-08-28,13.1899995803833
2007-08-29,13.569999694824219
2007-08-30,13.800000190734863
2007-08-31,13.75
2007-09-04,14.3100004196167
2007-09-05,14.020000457763672
