,CSQ
2004-04-01,15.199999809265137
2004-04-02,15.149999618530273
2004-04-05,15.109999656677246
2004-04-06,15.010000228881836
2004-04-07,15.100000381469727
2004-04-08,15.069999694824219
2004-04-12,15.050000190734863
2004-04-13,15.0
2004-04-14,15.0
2004-04-15,15.0
2004-04-16,15.0
2004-04-19,15.010000228881836
2004-04-20,15.0
2004-04-21,14.800000190734863
2004-04-22,14.800000190734863
2004-04-23,14.800000190734863
2004-04-26,14.760000228881836
2004-04-27,14.75
2004-04-28,14.75
2004-04-29,14.699999809265137
2004-04-30,14.550000190734863
2004-05-03,14.550000190734863
2004-05-04,13.979999542236328
2004-05-05,14.0
2004-05-06,13.449999809265137
2004-05-07,13.529999732971191
2004-05-10,12.600000381469727
2004-05-11,13.199999809265137
2004-05-12,13.5
2004-05-13,13.489999771118164
2004-05-14,13.649999618530273
2004-05-17,13.100000381469727
2004-05-18,13.260000228881836
2004-05-19,13.140000343322754
2004-05-20,13.0600004196167
2004-05-21,13.180000305175781
2004-05-24,12.930000305175781
2004-05-25,13.199999809265137
2004-05-26,13.470000267028809
2004-05-27,13.550000190734863
2004-05-28,13.789999961853027
2004-06-01,13.979999542236328
2004-06-02,13.819999694824219
2004-06-03,13.949999809265137
2004-06-04,14.029999732971191
2004-06-07,13.970000267028809
2004-06-08,14.0
2004-06-09,13.670000076293945
2004-06-10,13.550000190734863
2004-06-14,13.399999618530273
2004-06-15,13.399999618530273
2004-06-16,13.399999618530273
2004-06-17,13.329999923706055
2004-06-18,13.350000381469727
2004-06-21,13.289999961853027
2004-06-22,13.149999618530273
2004-06-23,13.0
2004-06-24,13.300000190734863
2004-06-25,13.300000190734863
2004-06-28,13.239999771118164
2004-06-29,13.1899995803833
2004-06-30,13.220000267028809
2004-07-01,13.260000228881836
2004-07-02,13.1899995803833
2004-07-06,13.180000305175781
2004-07-07,13.199999809265137
2004-07-08,13.140000343322754
2004-07-09,13.0600004196167
2004-07-12,13.140000343322754
2004-07-13,13.050000190734863
2004-07-14,12.989999771118164
2004-07-15,12.859999656677246
2004-07-16,12.930000305175781
2004-07-19,12.829999923706055
2004-07-20,12.890000343322754
2004-07-21,12.949999809265137
2004-07-22,12.989999771118164
2004-07-23,12.829999923706055
2004-07-26,12.680000305175781
2004-07-27,12.59000015258789
2004-07-28,12.6899995803833
2004-07-29,13.020000457763672
2004-07-30,13.170000076293945
2004-08-02,13.100000381469727
2004-08-03,13.350000381469727
2004-08-04,13.350000381469727
2004-08-05,13.270000457763672
2004-08-06,13.069999694824219
2004-08-09,12.989999771118164
2004-08-10,13.170000076293945
2004-08-11,13.119999885559082
2004-08-12,12.890000343322754
2004-08-13,12.789999961853027
2004-08-16,12.979999542236328
2004-08-17,12.949999809265137
2004-08-18,13.350000381469727
2004-08-19,13.270000457763672
2004-08-20,13.260000228881836
2004-08-23,13.020000457763672
2004-08-24,13.039999961853027
2004-08-25,13.180000305175781
2004-08-26,13.289999961853027
2004-08-27,13.420000076293945
2004-08-30,13.520000457763672
2004-08-31,13.579999923706055
2004-09-01,13.760000228881836
2004-09-02,13.789999961853027
2004-09-03,13.850000381469727
2004-09-07,13.930000305175781
2004-09-08,13.75
2004-09-09,13.920000076293945
2004-09-10,13.930000305175781
2004-09-13,13.770000457763672
2004-09-14,13.739999771118164
2004-09-15,13.550000190734863
2004-09-16,13.579999923706055
2004-09-17,13.760000228881836
2004-09-20,13.550000190734863
2004-09-21,13.399999618530273
2004-09-22,13.329999923706055
2004-09-23,13.260000228881836
2004-09-24,13.270000457763672
2004-09-27,13.329999923706055
2004-09-28,13.460000038146973
2004-09-29,13.579999923706055
2004-09-30,13.729999542236328
2004-10-01,13.760000228881836
2004-10-04,13.75
2004-10-05,13.789999961853027
2004-10-06,13.770000457763672
2004-10-07,13.890000343322754
2004-10-08,13.800000190734863
2004-10-11,13.699999809265137
2004-10-12,13.6899995803833
2004-10-13,13.59000015258789
2004-10-14,13.390000343322754
2004-10-15,13.460000038146973
2004-10-18,13.5
2004-10-19,13.430000305175781
2004-10-20,13.359999656677246
2004-10-21,13.399999618530273
2004-10-22,13.239999771118164
2004-10-25,13.130000114440918
2004-10-26,13.09000015258789
2004-10-27,13.3100004196167
2004-10-28,13.239999771118164
2004-10-29,13.34000015258789
2004-11-01,13.579999923706055
2004-11-02,13.699999809265137
2004-11-03,13.649999618530273
2004-11-04,13.850000381469727
2004-11-05,13.630000114440918
2004-11-08,13.550000190734863
2004-11-09,13.479999542236328
2004-11-10,13.390000343322754
2004-11-11,13.5600004196167
2004-11-12,13.729999542236328
2004-11-15,13.699999809265137
2004-11-16,13.569999694824219
2004-11-17,13.619999885559082
2004-11-18,13.619999885559082
2004-11-19,13.5600004196167
2004-11-22,13.449999809265137
2004-11-23,13.460000038146973
2004-11-24,13.539999961853027
2004-11-26,13.600000381469727
2004-11-29,13.5
2004-11-30,13.5
2004-12-01,13.569999694824219
2004-12-02,13.649999618530273
2004-12-03,13.84000015258789
2004-12-06,13.720000267028809
2004-12-07,13.579999923706055
2004-12-08,13.609999656677246
2004-12-09,13.420000076293945
2004-12-10,13.430000305175781
2004-12-13,13.449999809265137
2004-12-14,13.40999984741211
2004-12-15,13.4399995803833
2004-12-16,13.489999771118164
2004-12-17,13.479999542236328
2004-12-20,13.489999771118164
